# text = Comparing Clinton's and Trump's economic policies:				
Comparing					1	Comparing		
Clinton	other_2	ne	OLD		2	Clinton	set_27	
's					3	's		
and					4	and		
Trump	other_3	ne	OLD		5	Trump	set_32	
's					6	's		
economic					7	economic		
policies	OBJ	def-np.poss	OLD		8	policies		
:				9	:	
		
# text = It's all about the money Both Clinton and Trump want to invest in infrastructure and prevent the TTP trade agreement.	
It	SBJ	pron.pper	OLD					
's								
all								
about								
the								
money	other	def-np.the	OLD					
Both					1	Both		
Clinton	SBJ_2	ne	OLD					
and								
Trump	other_3	ne	OLD		10	Trump	set_32	
want								
to								
invest								
in					14	in		
infrastructure	other_3	indef-np.bare						
and								
prevent								
the								
TTP								
trade								
agreement	OBJ_2	def-np.the	OLD		15	agreement		
.							
	
# text = But the two candidates for the US presidency disagree on taxes and energy policies, as well as on one fundamental issue.				
But					1	But		
the					2	the		
two					3	two		
candidates	other	def-np.quant	OLD		4	candidates	set_39	
for					5	for		
the					6	the		
US					7	US		
presidency					8	presidency		
disagree	other	def-np.the	OLD		9	disagree		
on					10	on		
taxes	other_2	indef-np.bare			11	taxes		
and					12	and		
energy					13	energy		
policies	other_3	indef-np.bare			14	policies		
,					15	,		
as					16	as		
well					17	well		
as					18	as		
on					19	on		
one					20	one		
fundamental					21	fundamental		
issue	other	indef-np.quant			22	issue		
.				23	.	
		
# text = There is a fundamental philosophical reason for the differences between Donald Trump's and Hillary Clinton's economic policies.	
There					1	There		
is					2	is		
a					3	a		
fundamental					4	fundamental		
philosophical					5	philosophical		
reason	SBJ	indef-np.a			6	reason	set_1	
for					7	for		
the					8	the		
differences	other_2	def-np.the	OLD		9	differences		
between					10	between		
Donald	other_4	ne	OLD		11	Donald	set_32	
Trump					12	Trump		
's					13	's		
and					14	and		
Hillary	other_5	ne	OLD		15	Hillary	set_27	
Clinton					16	Clinton		
's					17	's		
economic					18	economic		
policies	other_3	def-np.poss	OLD		19	policies		
.				20	.	
		
# text = This is the role of the state.	
This	SBJ	pron.pds	OLD		1	This	set_1	
is					2	is		
the					3	the		
role	other	def-np.the	OLD		4	role		
of					5	of		
the					6	the		
state	other	def-np.the	OLD		7	state		
.				8	.	
		
# text = If in doubt, Trump wants the state's role to be minor, and warns of how the state can damage the economy with taxes and regulations.	
If					1	If		
in					2	in		
doubt	other	ne	OLD		3	doubt		
,					4	,		
Trump	SBJ	ne	OLD		5	Trump	set_32	
wants					6	wants		
the					7	the		
state	other_2	def-np.the	OLD		8	state		
's					9	's		
role	OBJ	def-np.poss	OLD		10	role		
to					11	to		
be					12	be		
minor					13	minor		
,					14	,		
and					15	and		
warns	other	indef-np.bare			16	warns		
of					17	of		
how					18	how		
the					19	the		
state	SBJ_3	def-np.the	OLD		20	state		
can					21	can		
damage					22	damage		
the					23	the		
economy	OBJ_3	def-np.the	OLD		24	economy		
with					25	with		
taxes	other_3	indef-np.bare			26	taxes		
and					27	and		
regulations	other_4	indef-np.bare			28	regulations		
.				29	.	
		
# text = Clinton wants to lead the economy to its death and regulate it to its death, he says.	
Clinton	SBJ_2	ne	OLD		1	Clinton	set_27	
wants					2	wants		
to					3	to		
lead					4	lead		
the					5	the		
economy	OBJ_3	def-np.the	OLD		6	economy	set_3	
to					7	to		
its	other_4	pron.ppos	OLD		8	its	set_3	
death	other_3	def-np.poss	OLD		9	death		
and					10	and		
regulate					11	regulate		
it	OBJ_3	pron.pper	OLD		12	it	set_3	
to					13	to		
its	other_4	pron.ppos	OLD		14	its	set_3	
death	other_3	def-np.poss	OLD		15	death		
,					16	,		
he	SBJ	pron.pper	OLD		17	he	set_32	
says					18	says		
.				19	.	
		
# text = He would do things totally differently, Trump says.	
He	SBJ_2	pron.pper	OLD		1	He	set_32	
would					2	would		
do					3	do		
things	OBJ_2	indef-np.bare			4	things		
totally					5	totally		
differently					6	differently		
,					7	,		
Trump	SBJ	indef-np.bare			8	Trump	set_32	
says					9	says		
.				10	.	
		
# text = He would repeal regulations, and lead a wide-reaching tax reform with low rates for private individuals and companies.	
He	SBJ	pron.pper	OLD		1	He	set_32	
would					2	would		
repeal					3	repeal		
regulations	OBJ	indef-np.bare			4	regulations		
,					5	,		
and					6	and		
lead					7	lead		
a								
wide					10	wide		
_								
reaching								
tax								
reform	OBJ_2	indef-np.a			11	reform		
with								
low								
rates	other_3	indef-np.bare						
for								
private								
individuals	other_4	indef-np.bare						
and								
companies	other_5	indef-np.bare						
.				20	.	
		
# text = Conversely, Clinton says that the state has particular tasks to fulfil, giving disadvantaged people opportunities - and it needs money to do so.	
Conversely					1	Conversely		
,					2	,		
Clinton	SBJ	ne	OLD		3	Clinton	set_27	
says					4	says		
that					5	that		
the					6	the		
state	SBJ_2	def-np.the	OLD		7	state	set_7	
has					8	has		
particular					9	particular		
tasks	OBJ_2	indef-np.bare			10	tasks		
to					11	to		
fulfil					12	fulfil		
,					13	,		
giving					14	giving	set_37	
disadvantaged					15	disadvantaged		
people					16	people		
opportunities	OBJ_5	indef-np.bare			17	opportunities		
_					18			
and					19	and		
it	SBJ_2	pron.pper	OLD		20	it	set_7	
needs					21	needs		
money	OBJ_2	indef-np.bare			22	money		
to					23	to		
do					24	do		
so					25	so		
.				26	.	
		
# text = This would increase taxes for the rich, she says.	
This	SBJ_2	pron.pds	OLD		1	This	set_37	
would					2	would		
increase					3	increase		
taxes	OBJ_2	indef-np.bare			4	taxes		
for					5	for		
the					6	the		
rich					7	rich		
,					8	,		
she	SBJ	pron.pper	OLD		9	she	set_27	
says					10	says		
.				11	.	
		
# text = Interestingly, they have similar views on infrastructure.	
Interestingly					1	Interestingly		
,					2	,		
they	SBJ	pron.pper	OLD		3	they	set_27	
have					4	have		
similar					5	similar		
views	OBJ	indef-np.bare			6	views		
on					7	on		
infrastructure	other	indef-np.bare			8	infrastructure		
.				9	.	
		
# text = There has to be investment in infrastructure, Trump and Clinton say almost verbatim.	
There					1	There		
has					2	has		
to					3	to		
be					4	be		
investment	other	indef-np.bare			5	investment		
in					6	in		
infrastructure	other_2	indef-np.bare			7	infrastructure		
,					8	,		
Trump	other_2	ne	OLD		9	Trump	set_32	
and					10	and		
Clinton	other_2	ne	OLD		11	Clinton	set_27	
say					12	say		
almost					13	almost		
verbatim	other_3	indef-np.bare			14	verbatim		
.				15	.	
		
# text = The Democratic candidate has even announced the largest investment in jobs since the Second World War.	
The					1	The		
Democratic					2	Democratic		
candidate	SBJ	def-np.the	OLD		3	candidate	set_27	
has					4	has		
even					5	even		
announced					6	announced		
the					7	the		
largest					8	largest		
investment	OBJ	def-np.the	OLD		9	investment		
in					10	in		
jobs	other_2	indef-np.bare			11	jobs		
since					12	since		
the					13	the		
Second					14	Second		
World					15	World		
War	other	ne	OLD		16	War		
.				17	.	
		
# text = State programs investing in infrastructure are classic Democrat policies, and are rejected by the tea party wing of the Republican party, which is critical of the state.	
State					1	State		
programs	SBJ	indef-np.bare			2	programs		
investing					3	investing		
in					4	in		
infrastructure	other_3	indef-np.bare			5	infrastructure		
are					6	are		
classic					7	classic		
Democrat					8	Democrat		
policies	other	indef-np.bare			9	policies		
,					10	,		
and					11	and		
are					12	are		
rejected					13	rejected		
