# ID	TEXT	MARKER	TARGET	RELATION
1	Golfer Langer erhält die Sportpyramide	(kurz gesagt)	5	broad
2	Seine Erfahrungen auf dem Pferd sind überschaubar .	(obwohl)	6	expectation-raiser
4	Für den 58 Jährigen war es eine Premiere .	(anders gesagt)	2	restatement
5	CHIO : &quot; Goldene Sportpyramide &quot; für Bernhard Langer	_	1	restatement
6	Nach einigen Minuten erinnerten sich die Pferde an ihren Feierabend , sie jagten im in dem schnellen Galopp nach Hause zu den Futtertrögen .	(konkret)	2	specific
7	Ein Kilometer bei diesem Tempo , ich habe Angst gehabt .	(währenddessen)	6	synchrony
8	&quot; Es war kein gutes Erlebnis &quot; , sagt Langer .	(folglich)	7	result
9	Und damit endete die Reitkarriere dann auch schon wieder .	und	6	conjunction
11	Er ließ sich mit seiner Familie über die Anlage des ALRV führen , auf ein Pferd schwang er sich nicht mal zu Fotozwecken .	(später)	6	after
12	Langer war das erste Mal in Aachen und damit auch beim bei dem CHIO .	(konkret)	5	specific
13	Der Grund war durchaus überzeugend .	(und)	12	conjunction
14	Die deutsche Sporthilfe überreichte dem Mann aus Anhausen im in dem Rahmen einer kleinen Gala die Goldene Sportpyramide .	(der Grund)	12	reason
15	An Auszeichnungen mangelt es dem sympathischen Sportler nicht .	(allgemein)	14	set
16	Bundesverdienstkreuz , Silbernes Lorbeerblatt , Champions Tour Player of the year ...	(zum Beispiel)	15	instance
17	Selbst die britische Queen hat ihn schon geadelt .	(und)	16	conjunction
18	Langer ist der 18 .	(damit)	14	achievement
19	Preisträger der Sportpyramide .	_	18	fragment
20	In Aachen traf er am an dem Samstag den ersten Preisträger Hans Günter Winkler .	am Samstag (währenddessen)	12	synchrony
21	&quot; Diese Auszeichnung bedeutet mir sehr viel &quot; , sagt Langer , &quot; denn sie wird nicht nur für sportliche Erfolge , sondern auch für gesellschaftliches Engagement vergeben &quot; .	_	18	EntRel
22	Seit Jahrzehnten fördert Langer den Nachwuchs .	(weil)	14	reason
23	Und so gab er auch das Preisgeld von 25.000 Euro gleich weiter .	und so (folglich)	23	result
24	Mit 15 weiteren herausragenden Sportlern wurde der zweifache US Masterssieger am an dem Samstag in die &quot; Hall of Fame des deutschen Sports &quot; aufgenommen .	(dadurch)	14	achievement
25	Zu den Ausgezeichneten gehören die Leichtathleten Hartwig Gauder und Harald Schmitt , der Turner Eberhard Gienger , die Fechter Cornelia Hanisch , Alexander Pusch und Arnd Schmitt , der Ruderer Peter Michael Kolbe , Bob Fahrer Meinhard Nehmer , der Judoka Frank Wieneke , der Springreiter Alwin Schockemöhle und posthum der Handballer Erhard Wunderlich .	(konkret)	24	specific
26	Viele dieser Sportlegenden waren am an dem Samstag nach Aachen gekommen .	(und)	25	conjunction
27	Nach dem offiziellen Teil wanderte die illustre Gesellschaft ins in das Springstadion , wo der Lavazza Preis lief .	nach dem offiziellen Teil	14	after
28	Bernhard Langer hielt Abstand zu den großen Tieren .	(daher)	8	result
