# ID	TEXT	MARKER	TARGET	RELATION
1	Heftige Regenfälle , Überschwemmung gibt Anlass zu Rettungen in Louisiana , Mississippi	(kurz gesagt)	2	broad
2	Heftige Regenfälle und großflächige Überschwemmungen in Louisiana zwangen den Gouverneur dazu , am an dem Freitag den Notstand auszurufen .	(folglich)	4	result
3	Es wird den ganzen Samstag über mit mehr Regenfällen gerechnet .	(außerdem)	2	conjunction
4	Zahlreiche Flüsse im in dem Südosten Louisianas und dem Süden des Mississippis überfluteten ihre Ufer und drohten mit großflächigen Überschwemmungen nach extremen Regenfällen , berichtete der Nationale Wetterdienst .	(zuvor)	3	before
5	Der Gouverneur von Louisiana John Bel Edwards teilte mit , dass Staatsbeamte im in dem ständigen Kontakt mit den örtlichen Behörden stehen und Hilfe zu den betroffenen Gemeinden bereits unterwegs sei .	(konkret)	2	specific
6	Mike Steele , ein Sprecher für das Office of Homeland Security and Emergency Preparedness des Gouverneurs , teilte mit , dass sich die Anfragen für Hochwasserfahrzeuge , Boote und Sandsäcke mehrten .	(außerdem)	5	conjunction
7	Steele sagte , dass allein die Gemeinde Tangipahoa zehntausend Sandsäcke angefordert hätte .	allein (zum Beispiel)	6	instance
8	Ein Überschwemmungswarnsystem wird über weite Teile im in dem Süden Louisianas bis Samstag eingesetzt .	(daher)	3	result
9	Der Wetterdienst ließ verlautbaren , dass in diesem Gebiet zusätzliche 3 bis 5 Zoll an Regen fallen könnten .	(nämlich)	3	restatement
11	Der Fluss Comite in der Nähe Baton Rouges und der Fluss Amite in der Nähe Denham Springs , die sich beide in Louisiana befinden , werden aller Wahrscheinlichkeit nach über das Wochenende Rekordpegel erreichen .	(etwa)	9	instance
12	Der Metereologe Alek Krautmann sagt , dass beide Flüsse viele Häuser in den Vorortgegenden nahe Baton Rouge überschwemmen könnten .	(infolgedessen)	11	result
13	Er sagte auch , dass eine stromabwärts gerichtete Überschwemmung in Ascension Parish eine Gefahr darstellt , da diese über die getretenen Flüsse nur langsam in den Lake Maurepas fließen werden .	auch	12	conjunction
