# ID	TEXT	MARKER	TARGET	RELATION
1	Clintons und Trumps Wirtschaftspolitik im in dem Vergleich : It's all about the money	(zusammenfassend)	2	broad
2	In Infrastruktur investieren und das Handelsabkommen TTP verhindern das wollen sowohl Clinton als auch Trump .	(konkret)	1	specific
3	Uneins sind sich die beiden US Präsidentschaftsbewerber jedoch bei der Steuer und Energiepolitik sowie in einer Grundsatzfrage .	jedoch	2	contra-expectation
4	Den Unterschieden in der Wirtschaftspolitik zwischen Donald Trump und Hillary Clinton liegt ein grundsätzlicher , eher philosophischer Unterschied zugrunde .	(denn)	3	cause
5	Der , über die Rolle des Staates .	(konkret)	4	specific
6	Trump will die im in dem Zweifel eher klein halten und warnt davor , wie der Staat der Wirtschaft schaden kann mit Steuern und Regulierungen .	(konkret)	5	specific
7	Clinton wolle die Wirtschaft zu Tode besteuern und zu Tode regulieren , sagt er .	(dagegen)	6	contrast
8	Er selber dagegen wäre ganz anders , behauptet Trump .	dagegen	7	contrast
9	Er werde Regulierungen massiv zurückfahren , und er macht sich für eine weitreichende Steuerreform mit niedrigeren Steuersätzen stark für Privatleute und für Unternehmen .	(konkret)	8	specific
10	Clinton dagegen sagt : Der Staat hat bestimmte Aufgaben zu erfüllen , er hat Benachteiligten Chancen zu eröffnen und braucht dafür Geld .	dagegen	9	contrast
11	Deshalb würden die Steuern für die Reichen erhöht , sagt sie .	deshalb	10	result
12	Interessanterweise sind sich beide sehr nahe beim bei dem Thema Infrastruktur .	interessanterweise (hingegen)	4	contrast
13	In die müsse investiert werden , sagen Trump und Clinton fast wortgleich .	(konkret)	12	specific
14	Die demokratische Bewerberin kündigt gar die größte Investition in neue Arbeitsplätze seit dem Zweiten Weltkrieg an .	gar (konkret)	13	specific
15	Staatliche Investitionsprogramme in die Infrastruktur sind klassische demokratische Politik und werden etwa vom von dem staatskritischen Teaparty Flügel der Republikaner strikt abgelehnt .	(im Allgemeinen)	12	set
16	Auf Trump könnten also noch parteiinterne Diskussionen zukommen .	also	15	consequence
17	Deutlicher sind die Unterschiede in der Energie und Klimapolitik .	(dagegen)	12	contrast
18	Trump will Kohlekraftwerke bauen und die Kohleförderung in den USA wieder hochfahren .	(konkret)	17	specific
19	Ölförderung soll auch in bislang geschützten Gebieten möglich sein , das Pariser Klimaschutzabkommen will er aufkündigen .	(und)	18	conjunction
20	Clinton dagegen will mit ihrem Investitionsprogramm ausdrücklich die Erneuerbaren Energien ausbauen und fordert : &quot; Ein Land wird die Supermacht der sauberen Energien werden und Millionen Jobs schaffen . &quot;	dagegen	18	contrast
21	&quot; Es wird wohl entweder China , Deutschland oder Amerika sein ich will , dass wir es sind . &quot;	(denn)	20	reason
22	Doch nicht nur bei der Infrastruktur auch bei internationalen Handelsabkommen sind die beiden Konkurrenten nicht allzu weit voneinander entfernt .	doch	13	contrast
23	TPP , das transpazifische Handelsabkommen , wollen beide nicht unterzeichnen .	(konkret)	22	specific
24	Gleichzeitig wollen beide aber die USA nicht vom von dem internationalen Handel isolieren sondern einfach nur amerikanische Jobs besser schützen .	aber	23	contra-expectation
25	Die sollen dann auch besser bezahlt werden , fordert etwa Clinton .	(konkret)	24	specific
26	Der derzeitige Mindestlohn von 7,25 US Dollar sei ein Hungerlohn .	(denn)	25	reason
27	Ihn will sie auf 15 Dollar pro Stunde erhöhen .	(daher)	26	result
28	Was Trump in dieser Frage tun will , ist nicht ganz klar : Einmal sagt er : Der Mindestlohn muss rauf , dann sagt er , er dürfe nicht verändert werden .	in dieser Frage (konkret)	24	specific
29	Doch die große Diskussion der kommenden Monate dürfte sich wohl eher um die Steuerpolitik der beiden Lager entwickeln .	doch	24	contrast
30	Auf der einen Seite steht Trump , der die Wirtschaft und die Bürger entlasten will , um das Wachstum anzukurbeln .	auf der einen Seite	32	expectation-raiser
31	Seine Kritiker halten ihm vor , damit würde das Haushaltsdefizit nur noch größer .	(allerdings)	30	contrast
