# text = Charlie Rose:				
Charlie					1	Charlie	_	
Rose	other	ne	OLD		2	Rose	_	
:				3	:	_
		
# text = So Larry sent me an email and he basically said, we've got to make sure that we don't seem like we're a couple of middle-aged boring men.	
So								
Larry	SBJ	ne	OLD					
sent					3	sent	_	
me	OBJ	pron.pper	OLD					
an					5	an	_	
email	OBJ	indef-np.a						
and								
he	SBJ_2	pron.pper	OLD					
basically								
said								
,								
we	SBJ_3	pron.pper	OLD					
've								
got								
to								
make								
sure								
that								
we	SBJ_6	pron.pper	OLD					
do								
n't								
seem								
like								
we	SBJ_7	pron.pper	OLD					
're								
a								
couple	other_6	indef-np.a						
of								
middle								
_								
aged								
boring								
men	other_7	indef-np.bare						
.							
	
# text = I said, I'm flattered by that -- (Laughter) — because I'm a bit older, and he has a bit more net worth than I do.				
I	SBJ	pron.pper	OLD		1	I	_	
said					2	said	_	
,					3	,	_	
I	SBJ_2	pron.pper	OLD		4	I	_	
'm					5	'm	_	
flattered					6	flattered	_	
by					7	by	_	
that	other_2	pron.pds	OLD		8	that	set_136	
_					9	_	_	
(					10	(	_	
Laughter	other	ne	OLD					
)								
—								
because								
I	SBJ_2	pron.pper	OLD					
'm								
a								
bit	other_2	indef-np.a						
older					16	older	_	
,								
and								
he	SBJ_3	pron.pper	OLD					
has								
a								
bit	other_5	indef-np.a						
more								
net	other_4	indef-np.bare						
worth								
than								
I	SBJ_5	pron.pper	OLD					
do								
.				29	.	_
		
# text = Larry Page:	
Larry	other	ne	OLD		1	Larry	_	
Page					2	Page	_	
:				3	:	_
		
# text = Well, thank you.	
Well								
,								
thank					3	thank	_	
you	OBJ	pron.pper	OLD					
.							
	
# text = CR: So we'll have a conversation about the Internet, and we'll have a conversation Google, and we'll have a conversation about search and privacy, and also about your philosophy and a sense of how you've connected the dots and how this journey that began some time ago has such interesting prospects.				
CR	other	indef-np.bare			1	CR	_	
:					2	:	_	
So					3	So	_	
we	SBJ_2	pron.pper	OLD		4	we	_	
'll					5	'll	_	
have					6	have	_	
a					7	a	_	
conversation	OBJ_2	indef-np.a			8	conversation	_	
about					9	about	_	
the					10	the	_	
Internet	other_3	def-np.the	OLD		11	Internet	_	
,					12	,	_	
and					13	and	_	
we	SBJ_3	pron.pper	OLD		14	we	_	
'll					15	'll	_	
have					16	have	_	
a					17	a	_	
conversation	OBJ_4	indef-np.a			18	conversation	_	
Google	OBJ_3	ne	OLD		19	Google	set_215	
,					20	,	_	
and					21	and	_	
we	SBJ_2	pron.pper	OLD		22	we	_	
'll					23	'll	_	
have					24	have	_	
a					25	a	_	
conversation	OBJ_2	indef-np.a			26	conversation	_	
about					27	about	_	
search	other_3	indef-np.bare			28	search	_	
and					29	and	_	
privacy	other_4	indef-np.bare			30	privacy	_	
,					31	,	_	
and					32	and	_	
also					33	also	_	
about					34	about	_	
your	other_2	pron.ppos	OLD		35	your	_	
philosophy	other	def-np.poss	OLD		36	philosophy	_	
and					37	and	_	
a					38	a	_	
sense	other_2	indef-np.a			39	sense	_	
of					40	of	_	
how					41	how	_	
you	SBJ_4	pron.pper	OLD		42	you	_	
