# text = Russlands Putin feuert Stabschef Sergei Ivanov				
Russlands	other_2	ne	OLD		1	Russlands	set_41	
Putin					2	Putin		
feuert					3	feuert		
Stabschef	other	indef-np.bare			4	Stabschef		
Sergei	other	ne	OLD		5	Sergei		
Ivanov				6	Ivanov	
		
# text = Der russische Präsident Vladimir Putin hat unerwarteterweise seinen Stabschef Sergei Ivanov entlassen.	
Der					1	Der		
russische					2	russische		
Präsident	SBJ	def-np.the	OLD		3	Präsident	set_41	
Vladimir	other_2	ne	OLD		4	Vladimir		
Putin					5	Putin		
hat					6	hat		
unerwarteterweise					7	unerwarteterweise		
seinen					8	seinen	set_41	
Stabschef	SBJ_2	indef-np			9	Stabschef	set_38	
Sergei	other_3	ne	OLD		10	Sergei		
Ivanov					11	Ivanov		
entlassen					12	entlassen		
.				13	.	
		
# text = Ivanov war viele Jahre Teil des engsten Vertrauenskreises von Putin.	
Ivanov	SBJ	ne	OLD		1	Ivanov	set_38	
war					2	war		
viele					3	viele		
Jahre	other	indef-np.quant			4	Jahre		
Teil	other	indef-np.bare			5	Teil		
des					6	des		
engsten					7	engsten		
Vertrauenskreises	other	def-np.the	OLD		8	Vertrauenskreises		
von					9	von		
Putin	other_2	indef-np.bare			10	Putin	set_41	
.				11	.	
		
# text = Der 63-Jährige wurde zum Sonderbeauftragten für Umwelt- und Transportangelegenheiten ernannt.	
Der								
63								
_								
Jährige	SBJ	def-np.quant	OLD					
wurde								
zu	other_2	pron.pind						
dem								
Sonderbeauftragten	other	def-np.the	OLD					
für					6	für		
Umwelt	other_2	indef-np.bare						
_								
und								
Transportangelegenheiten	other_3	indef-np.bare			13	Transportangelegenheiten		
ernannt					10	ernannt		
.							
	
--				
# text = In einer Stellungnahme des Kreml lautet es, dass Putin ohne Angabe von Gründen \"die Entlassung Ivanovs von seinen Pflichten als Vorsitzender der russischen Präsidialverwaltung angeordnet habe\".				
In					1	In		
einer					2	einer		
Stellungnahme	other	indef-np.a			3	Stellungnahme		
des					4	des		
Kreml	other_2	def-np.the	OLD		5	Kreml		
lautet					6	lautet		
es	SBJ	pron.pper	OLD		7	es		
,					8	,		
dass					9	dass		
Putin	SBJ_2	ne	OLD		10	Putin	set_41	
ohne					11	ohne		
Angabe	other_2	indef-np.bare			12	Angabe		
von					13	von		
Gründen	other_3	indef-np.bare			14	Gründen		
&quot;					15	''		
die					16	die		
Entlassung	SBJ_2	def-np.the	OLD		17	Entlassung		
Ivanovs	other_3	ne	OLD		18	Ivanovs	set_38	
von					19	von		
seinen					20	seinen	set_38	
Pflichten	other_2	indef-np			21	Pflichten		
als					22	als		
Vorsitzender	other_2	indef-np.bare			23	Vorsitzender		
der					24	der		
russischen					25	russischen		
Präsidialverwaltung	other_3	def-np.the	OLD		26	Präsidialverwaltung		
angeordnet					27	angeordnet		
habe					28	habe		
&quot;					29	''		
.				30	.	
		
# text = Anton Vaino, der seit 2012 Ivanovs Stellvertreter war, wurde zu seinem Nachfolger ernannt.	
Anton	SBJ	ne	OLD		1	Anton	set_8	
Vaino					2	Vaino		
,					3	,		
der	SBJ_3	pron	OLD		4	der	set_8	
seit					5	seit		
2012					6	2012		
Ivanovs	other_3	indef-np.quant			7	Ivanovs	set_38	
Stellvertreter	other_2	indef-np.bare			8	Stellvertreter		
war					9	war		
,					10	,		
wurde					11	wurde		
zu	other_2	pron.pind			12	zu		
seinem					13	seinem	set_38	
Nachfolger	other	indef-np			14	Nachfolger		
ernannt					15	ernannt		
.				16	.	
		
# text = Vaino, 44, ist ehemaliger Diplomat.	
Vaino	SBJ	ne	OLD		1	Vaino	set_8	
,					2	,		
44					3	44		
,					4	,		
ist					5	ist		
ehemaliger					6	ehemaliger		
Diplomat	other	indef-np.bare			7	Diplomat		
.				8	.	
		
# text = 1972 in der estnischen Hauptstadt Tallinn geboren, machte er seinen Abschluss am renommierten Staatlichen Moskauer Institut für Internationale Beziehungen (MGIMO) und arbeitete in der Botschaft in Tokyo.	
1972					1	1972		
in					2	in		
der					3	der		
estnischen					4	estnischen		
Hauptstadt	other_2	def-np.the	OLD		5	Hauptstadt		
Tallinn	other_3	ne	OLD		6	Tallinn		
geboren					7	geboren		
,					8	,		
machte					9	machte		
er	SBJ	pron.pper	OLD		10	er	set_8	
seinen					11	seinen	set_8	
Abschluss	OBJ	indef-np			12	Abschluss		
an								
dem								
renommierten								
Staatlichen								
Moskauer								
Institut	other	ne	OLD		17	Institut		
für								
Internationale								
Beziehungen	other_2	indef-np.bare						
(								
MGIMO	other_3	ne	OLD					
)								
und					24	und		
arbeitete					25	arbeitete		
in					26	in		
der					27	der		
Botschaft	other_2	def-np.the	OLD		28	Botschaft		
in					29	in		
Tokyo	other_2	ne	OLD		30	Tokyo		
.				31	.	
		
# text = Auf der Website des Kreml heißt es (auf Russisch), dass er später Protokollchef und Stabsleiter des Regierungspersonals war.	
Auf					1	Auf		
der					2	der		
Website	other	def-np.the	OLD		3	Website		
des					4	des		
Kreml	other_2	ne	OLD		5	Kreml		
heißt					6	heißt		
es	SBJ	pron.pper	OLD		7	es		
(					8	(		
auf					9	auf		
Russisch	other	ne	OLD		10	Russisch		
)					11	)		
,					12	,		
dass					13	dass		
er	SBJ_2	pron.pper	OLD		14	er	set_8	
später					15	später		
Protokollchef	other	indef-np.bare			16	Protokollchef		
und					17	und		
Stabsleiter	other_2	indef-np.bare			18	Stabsleiter		
des					19	des		
Regierungspersonals	other_2	def-np.the	OLD		20	Regierungspersonals		
war					21	war		
.				22	.	
		
--	
# text = Über seine Ernennung sagte er zu Putin:"Danke für Ihr Vertrauen."				
Über					1	Über		
seine					2	seine	set_8	
Ernennung	other	indef-np			3	Ernennung		
sagte					4	sagte		
er	SBJ	pron.pper	OLD		5	er	set_8	
zu	other_2	pron.pind			6	zu		
Putin	other	ne	OLD		7	Putin		
:&quot;					8	:''		
Danke								
für					10	für		
Ihr	other_3	pron.ppos	OLD		11	Ihr		
Vertrauen	other_2	indef-np.bare			10	Vertrauen		
.					11	.		
&quot;				12	''	
		
# text = Ich denke, dass es die wichtigste Aufgabe der Regierung ist, Ihre Tätigkeit als Staatschef bezüglich Gesetzesentwürfen und Kontrollen zur Umsetzung Ihrer Anweisungen zu unterstützen.	
Ich	SBJ	pron.pper	OLD		1	Ich		
denke					2	denke		
,					3	,		
dass					4	dass		
es	SBJ_2	pron.pper	OLD		5	es		
die					6	die		
wichtigste					7	wichtigste		
Aufgabe	other	def-np.the	OLD		8	Aufgabe		
der					9	der		
Regierung	other_2	def-np.the	OLD		10	Regierung	set_10	
ist					11	ist		
,					12	,		
Ihre	other_4	pron.ppos	OLD		13	Ihre	set_10	
Tätigkeit	OBJ_3	indef-np.bare			14	Tätigkeit		
als					15	als		
Staatschef	other_5	indef-np.bare			16	Staatschef		
bezüglich					17	bezüglich		
Gesetzesentwürfen	OBJ_3	indef-np.bare			18	Gesetzesentwürfen		
und					19	und		
Kontrollen	other_4	indef-np.bare			20	Kontrollen		
zu	other_5	pron.pind						
der					21	der		
Umsetzung	other_4	def-np.the	OLD		22	Umsetzung		
Ihrer	other_6	pron.ppos	OLD		23	Ihrer	set_10	
Anweisungen	other_5	indef-np.bare			24	Anweisungen		
zu					25	zu		
unterstützen					26	unterstützen		
.				27	.	
		
# text = Putin teilte dem russischen TV Sender am Freitag mit, dass Ivanov darum gebeten habe, seinen Posten zu verlassen und Vaino als seinen Nachfolger empfohlen habe.	
Putin	SBJ	ne	OLD		1	Putin	set_41	
teilte					2	teilte		
dem					3	dem		
russischen					4	russischen		
TV	OBJ_2	def-np.the	OLD		5	TV		
Sender	OBJ	indef-np.bare			6	Sender		
an					7	an		
dem								
Freitag	other_2	ne	OLD		8	Freitag		
mit					10	mit		
,								
dass								
Ivanov	SBJ_2	ne	OLD					
darum								
gebeten					14	gebeten		
habe								
,					16	,		
seinen					17	seinen	set_38	
Posten	OBJ_3	indef-np			18	Posten		
zu					19	zu		
verlassen								
und					21	und		
Vaino	other	ne	OLD		22	Vaino		
als					23	als		
seinen					24	seinen	set_38	
Nachfolger	other	indef-np			25	Nachfolger		
empfohlen					26	empfohlen		
habe								
.				28	.	
		
# text = Überzeugen die lächelnden Gesichter?	
Überzeugen					1	Überzeugen		
die					2	die		
lächelnden					3	lächelnden		
Gesichter	SBJ	def-np.the	OLD		4	Gesichter		
?				5		
		
# text = Dieser Schritt hat Moskau geheimnisumwoben gemacht.	
Dieser	other_2	pron.pds	OLD		1	Dieser		
Schritt	SBJ	def-np.dem	OLD		2	Schritt		
hat					3	hat		
Moskau	other_2	pron.ppos	OLD		4	Moskau		
geheimnisumwoben	OBJ	indef-np.bare			5	geheimnisumwoben		
gemacht					6	gemacht		
.				7	.	
		
# text = Sergei Ivanov war lange Zeit einer der engsten Vertrauten Vladimir Putins und arbeitet wie er für den sowjetischen Geheimdienst, dem KGB.	
Sergei	SBJ	ne	OLD		1	Sergei	set_38	
Ivanov					2	Ivanov		
war					3	war		
lange					4	lange		
Zeit	other	indef-np.bare			5	Zeit	set_16	
einer	other	pron.pind			6	einer		
der					7	der		
engsten					8	engsten		
Vertrauten	other_2	def-np.the	OLD		9	Vertrauten		
Vladimir	other_3	ne	OLD		10	Vladimir	set_41	
Putins					11	Putins		
und					12	und		
arbeitet					13	arbeitet		
wie					14	wie		
er	SBJ_3	pron.pper	OLD		15	er	set_41	
für					16	für		
den					17	den		
sowjetischen					18	sowjetischen		
Geheimdienst	other_2	def-np.the	OLD		19	Geheimdienst		
,					20	,		
dem					21	dem		
KGB	other_3	ne	OLD		22	KGB		
.				23	.	
		
# text = Als Stabschef war er einer der mächtigsten Männer der Landes.	
Als					1	Als		
Stabschef	other	indef-np.bare			2	Stabschef		
war					3	war		
er	SBJ	pron.pper	OLD		4	er	set_38	
einer	other	pron.pind			5	einer		
der					6	der		
mächtigsten					7	mächtigsten		
Männer	other	def-np.the	OLD		8	Männer		
der					9	der		
Landes	other_2	def-np.the	OLD		10	Landes		
.				11	.	
		
# text = Bei einem Treffen mit Präsident Putin, das im Fernsehen ausgestrahlt wurde, behaupteten beide Männer, dass der Stabschef auf eigenen Wunsch zurücktritt.	
Bei								
einem								
Treffen	other	indef-np.a						
mit								
Präsident	other_2	indef-np.bare						
Putin	other_3	ne	OLD					
,								
das	SBJ_3							
in								
dem								
Fernsehen	other_3	def-np.the	OLD					
ausgestrahlt								
wurde								
,								
behaupteten					14	behaupteten		
beide	SBJ	pron.pind						
Männer	OBJ	indef-np.bare						
,								
dass								
der								
Stabschef	SBJ_3	def-np.the	OLD					
auf								
eigenen								
Wunsch	other_3	indef-np.bare						
zurücktritt								
.							
	
# text = Aber trotz des Lächelns für die Kameras, sind hier nur wenige davon überzeugt - vor allem jetzt, kurz vor den Parlamentswahlen.				
Aber					1	Aber		
trotz					2	trotz		
des					3	des		
Lächelns	other	def-np.the	OLD		4	Lächelns		
für					5	für		
die					6	die		
Kameras	other_2	def-np.the	OLD		7	Kameras		
,					8	,		
sind					9	sind		
hier					10	hier		
nur					11	nur		
wenige					12	wenige		
davon					13	davon		
überzeugt					14	überzeugt		
_					15			
vor					16	vor		
allem	other	pron.pind			17	allem		
jetzt					18	jetzt		
,					19	,		
kurz					20	kurz		
vor					21	vor		
den					22	den		
Parlamentswahlen	other	def-np.the	OLD		23	Parlamentswahlen		
.				24	.	
		
# text = Liegt hier also die Folge einer Art Machtkampf vor?	
Liegt					1	Liegt	set_17	
hier					2	hier		
also					3	also		
die					4	die		
Folge	OBJ	def-np.the	OLD		5	Folge		
einer					6	einer		
