# ID	TEXT	MARKER	TARGET	RELATION
1	Russland und Türkei : Eine &quot; Allianz von Außenseitern &quot; ?	_	2	hypophora
2	Es war eine Geste , die eine Krise beendete .	(kurz gesagt)	3	broad
3	Die Anführer Russlands und der Türkei trafen sich am an dem Dienstag , um sich die Hände zu geben und ein offizielles Ende des acht Monate lang andauernden Krieges der Worte und wirtschaftlichen Sanktionen zu verkünden .	(konkret)	2	specific
4	Aber als Vladimir Putin seinen türkischen Gegenspieler im in dem vergoldeten Saal des St. Petersburger Palastes in Empfang nimmt , kann ich mich nicht des Eindrucks verwehren , dass Ankara diese Versöhnung am an dem meisten will .	aber	3	contra-expectation
5	Es gab den Handschlag , ja .	(auch wenn)	6	expectation-raiser
6	Aber Putins Lächeln wirkte schmallippig und er strahlte kaum Wärme aus , selbst für seine zurückhaltenden Verhältnisse .	aber	5	contra-expectation
7	Recep Tayyip Erdogan hingegen sprach wiederholt von seinem &quot; lieben Freund &quot; Putin laut einem Bericht ganze fünf Male .	hingegen	6	contrast
8	Ich konnte es nicht mehr zählen .	_	7	EntRel
9	Er versprach auch , dass die Beziehungen zu Russland nicht nur zu ihrem alten Niveau vor der Krise zurückkehren würden , sondern sich sogar noch verbessern werden .	auch	7	conjunction
11	Mir schien sein Enthusiasmus eher das Gegenteil anzudeuten .	eher das Gegenteil	9	contrast
12	Aber eine von Putin ausstrahlende , nachhaltige Kühle zeigte , dass der Staatschef Russlands nichts vergessen hatte .	aber	9	contra-expectation
13	Vielmehr war die Ursache der Krise das Erste , was er in seinen Einführungsworten erwähnte : der Abschuss eines russischen Kampfflugzeugs an der syrischen Grenze durch die Türkei .	vielmehr	12	favoured-alternative
14	Moskaus Reaktion zu der Zeit war wutentbrannt .	zu der Zeit (damals)	12	before
15	Putin teilte aus und beschuldigte Ankara , Russland in den Rücken gefallen zu sein .	(konkret)	14	specific
16	Das Vergehen war sogar noch größer , da es von einem vermeintlichen Freund begangen wurde .	sogar	15	specific
17	Das Vetrauen wieder aufzubauen wird schwierig , wenn nicht sogar unmöglich werden .	(daher)	16	result
18	Die öffentliche Meinung in Russland hat sich seit November gewandelt .	seit November (später)	15	after
19	Monate lang führten die staatlich kontrollierten Medien einen heftigen , uneingeschränkten Angriff auf Ankara aus .	(zuvor)	18	before
20	Auf einmal schien es , als würden die Türken für alles die Schuld tragen .	(dadurch)	19	achievement
22	Er hat dies vehement bestritten .	(allerdings)	19	contra-expectation
23	Aber in St.Petersburg lautete die offizielle Botschaft , dass es Zeit sei , nach vorne zu blicken .	aber	20	contrast
24	Schließlich fand dieses Treffen nur deshalb statt , weil Putin vom von dem Präsidenten Erdogan die Entschuldigung erhielt , die er hören wollte .	schließlich	23	broad
25	Russland konnte eine Art Sieg verbuchen .	(dadurch)	24	achievement
26	Für Ankara liegen die Vorteile eines Waffenstillstands klar auf der Hand .	(andererseits)	25	contrast
27	Erdogan benötigt in erster Linie alle Freunde , die er bekommen kann , nachdem er letzten Monat bei einem gescheiterten Staatsstreich fast seines Amtes enthoben wurde .	in erster Linie	26	specific
28	Wiederholte Terrorangriffe auf die Türkei haben ihn ebenfalls erschüttert .	ebenfalls	27	conjunction
29	Aber es gibt auch wirtschaftliche Motive .	aber	27	contrast
30	Russische Sanktionen haben die Türkei hart getroffen insbesondere das Verbot von Charterflügen , die jedes Jahr üblicherweise mehrere Millionen russische Touristen an die türkische Küste bringen .	(konkret)	29	specific
31	Die Anzahl ist um fast 90 % zurückgegangen .	(konkret)	30	specific
32	In Russland werden Reiseveranstalter und Chartergesellschaften erleichtert sein , wenn die Flüge wieder aufgenommen werden .	(und auch)	30	conjunction
33	Sie zählen auf einen spätsaisonalen Ansturm ans an das Mittelmeer .	(denn)	32	reason
34	Diese Woche prognostizierte das Staatsfernsehen billigeres Obst und Gemüse , sobald die türkischen Agrarimporte wieder erlaubt werden .	(außerdem)	32	conjunction
35	Ein Bericht in Vedemosti formulierte es folgendermaßen : &quot; Touristen dort lang , Tomaten hier lang . &quot;	(anders gesagt)	34	restatement
36	Aber der Besuch hatte einen zusätzlichen politischen Wert für Moskau .	aber	29	contrast
37	Ankara ist auf den Westen wütend , da es dessen Reaktion auf die versuchte Machtübernahme als schwache Antwort betrachtet .	(konkret)	36	specific
38	Dazu kommen der anhaltende Groll über das Schneckentempo der EU Beitrittsverhandlungen und Putin der erpicht darauf ist , aus der kühlen Stimmung Nutzen zu ziehen und die Beziehung der Türkei zum zu dem Westen zu verringern .	dazu kommen	37	conjunction
39	Der russische Staatschef gewann in Ankara mit Sicherheit einen Bonus dafür , dass er nach dem versuchten Staatsstreich Unterstützung für die gewählten Staatsorgane forderte .	(konkret)	36	specific
40	Das ist für Moskau wohlgemerkt eine Selbstverständlichkeit , das selbst eine tiefsitzende Angst vor Regimewechseln hat .	(wenngleich)	39	concession
41	Das Gipfeltreffen in diesem glanzvollen Palast am an dem Meer ermöglichte es Russland und der Türkei , eine , wie es mir ein Analytiker einst beschrieb , &quot; Allianz von Außenseitern &quot; darzustellen : zwei Länder , die sich vom von dem Westen verstoßen und schlecht behandelt fühlen und sich nun verbünden .	(schließlich)	36	broad
42	Dennoch , trotz der öffentlichen Versöhnung , bestehen zwischen den beiden noch immer große Differenzen .	dennoch	41	contra-expectation
