# text = Blessed is the man who doesn't walk in the counsel of the wicked, nor stand in the way of sinners, nor sit in the seat of scoffers; but his delight is in Yahweh's law.
Blessed	SBJ	ne	?OLD	
is				
the				
man	other	def-np.the	?OLD	
who	SBJ_2			
does				
n't				
walk				
in				
the				
counsel	other_2	def-np.poss	?OLD	
of				
the				
wicked				
,				
nor				
stand				
in				
the				
way	other_6	def-np.the	?OLD	
of				
sinners	other_7	indef-np.bare		
,				
nor				
sit				
in				
the				
seat	other_6	def-np.the	?OLD	
of				
scoffers	other_7	indef-np.bare		
;				
but				
his	other_5	pron.ppos	?OLD	
delight	SBJ_4	def-np.poss	?OLD	
is				
in				
Yahweh	other_4	ne	?OLD	
's				
law	other_3	def-np.poss	?OLD	
.			

# text = On his law he meditates day and night.
On				
his	other_2	pron.ppos	?OLD	
law	other	def-np.poss	?OLD	
he	SBJ	pron.pper	?OLD	
meditates				
day	other	indef-np.bare		
and				
night	other_2	indef-np.bare		
.			

# text = He will be like a tree planted by the streams of water, that brings forth its fruit in its season, whose leaf also does not wither.
He	SBJ	pron.pper	?OLD	
will				
be				
like				
a				
tree	other	indef-np.a		
planted				
by				
the				
streams	other_2	def-np.the	?OLD	
of				
water	other_3	indef-np.bare		
,				
that	SBJ_2	pron.pds	?OLD	
brings				
forth				
its	other_3	pron.ppos	?OLD	
fruit	OBJ_2	def-np.poss	?OLD	
in				
its	other_3	pron.ppos	?OLD	
season	other_2	def-np.poss	?OLD	
,				
whose	other_3	pron.pint		
leaf	SBJ_2	def-np.poss	?OLD	
also				
does				
not				
wither				
.			

# text = Whatever he does shall prosper.
Whatever	other	pron.pint		
he	SBJ_2	pron.pper	?OLD	
does				
shall				
prosper	OBJ_2	indef-np.bare		
.			

# text = The wicked are not so, but are like the chaff which the wind drives away.
The				
wicked	SBJ	def-np.the	?OLD	
are				
not				
so				
,				
but				
are				
like				
the				
chaff	other	def-np.the	?OLD	
which	SBJ_3			
the				
wind				
drives	other_2	def-np.the	?OLD	
away				
.			

# text = Therefore the wicked shall not stand in the judgment, nor sinners in the congregation of the righteous.
Therefore				
the				
wicked				
shall				
not				
stand				
in				
the				
judgment	other	def-np.the	?OLD	
,				
nor				
sinners	other	indef-np.bare		
in				
the				
congregation	other_2	def-np.the	?OLD	
of				
the				
righteous				
.			

# text = For Yahweh knows the way of the righteous, but the way of the wicked shall perish.
For				
Yahweh	SBJ	ne	?OLD	
knows				
the				
way	OBJ	def-np.the	?OLD	
of				
the				
righteous				
,				
but				
the				
way	other	def-np.the	?OLD	
of				
the				
wicked				
shall				
perish	other_2	def-np.the	?OLD	
.			

# text = Why do the nations rage, and the peoples plot a vain thing?
Why				
do				
the				
nations				
rage	other	def-np.the	?OLD	
,				
and				
the				
peoples	SBJ_2	def-np.the	?OLD	
plot				
a				
vain				
thing	OBJ_2	indef-np.a		
?			

--
# text = The kings of the earth take a stand, and the rulers take counsel together, against Yahweh, and against his Anointed, saying, "Let's break their bonds apart, and cast their cords from us."
The				
kings	SBJ	def-np.the	?OLD	
of				
the				
earth	other_2	def-np.the	?OLD	
take				
a				
stand	OBJ	indef-np.a		
,				
and				
the				
rulers	SBJ_2	def-np.the	?OLD	
take				
counsel	OBJ_2	indef-np.bare		
together				
,				
against				
Yahweh	other	ne	?OLD	
,				
and				
against				
his	other_3	pron.ppos	?OLD	
Anointed				
,				
saying				
,				
&quot;				
Let				
's	OBJ_3	pron.pper	?OLD	
break				
their	other_5	pron.ppos	?OLD	
bonds	OBJ_4	def-np.poss	?OLD	
apart				
,				
and				
cast				
their	other_3	pron.ppos	?OLD	
cords	OBJ_2	def-np.poss	?OLD	
from				
us	other_2	pron.pper	?OLD	
.				
&quot;			

# text = He who sits in the heavens will laugh.
He	SBJ	pron.pper	?OLD	
who	SBJ_3			
sits				
in				
the				
heavens	other_3	def-np.the	?OLD	
will				
laugh				
.			

# text = The Lord will have them in derision.
The				
Lord	SBJ	ne	?OLD	
will				
have				
them	OBJ	pron.pper	?OLD	
in				
derision	other	indef-np.bare		
.			

--
# text = Then he will speak to them in his anger, and terrify them in his wrath: "Yet I have set my King on my holy hill of Zion."
Then				
he	SBJ	pron.pper	?OLD	
will				
speak				
to				
them	other	pron.pper	?OLD	
in				
his	other_2	pron.ppos	?OLD	
anger	other	def-np.poss	?OLD	
,				
and				
terrify				
them	OBJ_2	pron.pper	?OLD	
in				
his	other_3	pron.ppos	?OLD	
wrath	other_2	def-np.poss	?OLD	
:				
&quot;				
Yet				
I	SBJ_2	pron.pper	?OLD	
have				
set				
my	other_3	pron.ppos	?OLD	
King	OBJ_2	def-np.poss	?OLD	
on				
my	other_3	pron.ppos	?OLD	
holy				
hill	other_2	def-np.poss	?OLD	
of				
Zion	other_3	ne	?OLD	
.				
&quot;			

# text = I will tell of the decree.
I	SBJ	pron.pper	?OLD	
will				
tell				
of				
the				
decree	other	def-np.the	?OLD	
.			

--
# text = Yahweh said to me, \"You are my son.
Yahweh	SBJ	ne	?OLD	
said				
to				
me	other	pron.pper	?OLD	
,				
&quot;				
You	SBJ_2	pron.pper	?OLD	
are				
my	other_2	pron.ppos	?OLD	
son	other	def-np.poss	?OLD	
.			

# text = Today I have become your father.
Today	other	indef-np.bare		
I	SBJ	pron.pper	?OLD	
have				
become				
your	other_2	pron.ppos	?OLD	
father	OBJ	def-np.poss	?OLD	
.			

# text = Ask of me, and I will give the nations for your inheritance, the uttermost parts of the earth for your possession.
Ask				
of				
me	other	pron.pper	?OLD	
,				
and				
I	SBJ_2	pron.pper	?OLD	
will				
give				
the				
nations	OBJ_2	def-np.the	?OLD	
for				
