# ID	TEXT	MARKER	TARGET	RELATION
1	Die Welt ist im Wandel .	(aktuell)	2	synchrony
2	Sie verändert sich wirklich tiefgreifend .	(nämlich)	1	restatement
3	Und ich befürchte , dass Investoren einigen der größten Veränderungen nicht genügend Aufmerksamkeit schenken .	und	2	Conjunction
4	Insbesondere wenn es um Nachhaltigkeit geht .	insbesondere	3	specific
5	Mit Nachhaltigkeit meine ich die wirklich heißen Themen wie ökologische und soziale Fragen und grundlegende Unternehmensführung .	(konkret)	4	specific
6	Es ist leichtsinnig , diese Dinge zu ignorieren , denn das kann künftige langfristige Renditen gefährden .	(daher)	7	result
7	Vielleicht sind Sie jetzt überrascht : Die ausgleichende Macht , die wirklich Einfluss auf Nachhaltigkeit hat , liegt bei institutionellen Investoren , den großen Investoren wie Pensionsfonds und Stiftungen .	(schließlich)	6	broad
8	Ich glaube , dass nachhaltiges Investieren weniger kompliziert ist , als Sie denken , besser abschneidet , als Sie glauben , und wichtiger ist , als wir uns vorstellen können .	(konkret)	7	specific
9	Halten wir uns einige bekannte Tatsachen vor Augen : Die Bevölkerung wächst und altert ; es gibt 7 Milliarden Menschen auf der Erde , und am Ende des Jahrhunderts werden es 10 Milliarden sein .	einige bekannte Tatsachen	8	set
10	Wir verbrauchen die natürlichen Ressourcen schneller , als sie sich regenerieren können .	(und)	9	Conjunction
11	Und die Emissionen , die für den Klimawandel hauptverantwortlich sind , nehmen weiter zu .	und	10	Conjunction
12	Das sind ganz klar Umweltthemen und soziale Themen , aber das ist noch nicht alles .	(insgesamt)	11	broad
13	Es sind auch Wirtschaftsthemen .	(doch)	12	contrast
14	Und deshalb sind sie für die Risiko- und Renditebewertung sehr wichtig .	und deshalb	13	result
15	Sie sind sehr komplex und scheinen schwer verständlich , sodass die Versuchung groß sein kann , genau das hier zu tun : den Kopf in den Sand zu stecken und nicht darüber nachzudenken .	(und)	14	Conjunction
16	Tun Sie das möglichst nicht .	(aber)	15	Contrast
17	Bitte zu Hause nicht nachmachen .	(anders gesagt)	16	restatement
18	( Gelächter ) Aber ich frage mich wirklich , ob die Anlagestrategien von heute für die Zwecke von morgen geeignet sind .	aber	7	contra-expectation
19	Wir wissen , wenn Investoren sich ein Unternehmen anschauen und entscheiden , ob sie investieren , schauen sie sich Finanzdaten an .	(etwa)	18	instance
20	Metriken wie Umsatzwachstum , Cashflow , Marktanteil , Bewertung -- Sie wissen schon , die wirklich attraktiven Sachen .	(zum Beispiel)	19	instance
21	Diese Dinge sind natürlich wichtig , aber sie sind nicht genug .	(obwohl)	22	expectation-raiser
22	Anleger sollten auch auf Leistungsmetriken wie ESG achten : Umwelt , Soziales und Unternehmensführung .	(daher)	21	result
23	" Umwelt " umfasst Energieverbrauch , Wassernutzung , Abfall und Umweltverschmutzung , kurz : die effiziente Nutzung von Ressourcen .	(konkret)	22	specific
24	" Soziales " beinhaltet Humankapital , Dinge wie Mitarbeiter-Engagement und Innovationsfähigkeit sowie Supply-Chain-Management und Arbeits- und Menschenrechte .	(konkret)	22	specific
25	" Unternehmensführung " bedeutet die Aufsicht über das Unternehmen durch den Vorstand und Investoren .	(konkret)	22	specific
26	Ich habe zuvor gesagt , es geht um die wirklich heißen Dinge .	(anders gesagt)	22	restatement
27	Aber ESG ist das Maß für Nachhaltigkeit , und nachhaltiges Investieren berücksichtigt ESG-Faktoren und finanzielle Faktoren beim Anlageprozess .	aber	26	contra-expectation
28	Damit können künftige Risiken durch Minimierung von Schäden an Personen und am Planeten begrenzt und Kapital für die Nutzer bereitgestellt werden , die es für produktive und nachhaltige Ergebnisse einsetzen .	damit	27	achievement
29	Wenn also Nachhaltigkeit heute ein Finanzthema ist , und es höchstwahrscheinlich immer relevanter wird , achtet der Privatsektor darauf ?	Wenn also	27	Hypophora
30	Wirklich cool ist , dass die meisten CEOs darauf achten .	(ja)	29	answer
31	Sie begannen , Nachhaltigkeit nicht nur als wichtig , sondern als entscheidend für den Geschäftserfolg zu sehen .	(konkret)	30	specific
