1	13	indeed?	call	One of Sherlock Holmes 's defects —if , indeed , one may call it a defect —was that he was exceedingly loath to communicate his full plans to any other person until the instant of their fulfilment .	file://conllu/en/doyle_bask.14.conllu#s1_0	
2	3	_	come	Partly it came no doubt from his own masterful nature , which loved to dominate and surprise those who were around him .	file://conllu/en/doyle_bask.14.conllu#s2_0	
3	6	also?	caution	Partly also from his professional caution , which urged him never to take any chances .	file://conllu/en/doyle_bask.14.conllu#s3_0	
4	8	however?	try	The result , however , was very trying for those who were acting as his agents and assistants .	file://conllu/en/doyle_bask.14.conllu#s4_0	
5	4	but?	suffer	I had often suffered under it , but never more so than during that long drive in the darkness .	file://conllu/en/doyle_bask.14.conllu#s5_0	
6	4	and?	be (be front)	The great ordeal was in front of us ; at last we were about to make our final effort , and yet Holmes had said nothing , and I could only surmise what his course of action would be .	file://conllu/en/doyle_bask.14.conllu#s6_0	
7	3	when?	thrill	My nerves thrilled with anticipation when at last the cold wind upon our faces and the dark , void spaces on either side of the narrow road told me that we were back upon the moor once again .	file://conllu/en/doyle_bask.14.conllu#s7_0	
8	2	_	stride	Every stride of the horses and every turn of the wheels was taking us nearer to our supreme adventure .	file://conllu/en/doyle_bask.14.conllu#s8_0	
9	4	so?	hamper	Our conversation was hampered by the presence of the driver of the hired wagonette , so that we were forced to talk of trivial matters when our nerves were tense with emotion and anticipation .	file://conllu/en/doyle_bask.14.conllu#s9_0	
10	2	after?	be (be relief)	It was a relief to me , after that unnatural restraint , when we at last passed Frankland 's house and knew that we were drawing near to the Hall and to the scene of action .	file://conllu/en/doyle_bask.14.conllu#s10_0	
11	4	but?	drive	We did not drive up to the door but got down near the gate of the avenue .	file://conllu/en/doyle_bask.14.conllu#s11_0	
12	4	while?	pay	The wagonette was paid off and ordered to return to Coombe Tracey forthwith , while we started to walk to Merripit House .	file://conllu/en/doyle_bask.14.conllu#s12_0	
13	2	_	be (be Lestrade)	&quot; Are you armed , Lestrade ? &quot;	file://conllu/en/doyle_bask.14.conllu#s13_0	
14	3	_	detective	The little detective smiled .	file://conllu/en/doyle_bask.14.conllu#s14_0	
15	3	as long as?	long	&quot; As long as I have my trousers I have a hip pocket , and as long as I have my hip pocket I have something in it . &quot;	file://conllu/en/doyle_bask.14.conllu#s15_0	
16	2	_	good	&quot; Good !	file://conllu/en/doyle_bask.14.conllu#s16_0	
17	5	also?	be (be ready)	My friend and I are also ready for emergencies . &quot;	file://conllu/en/doyle_bask.14.conllu#s17_0	
18	10	_	Mr.	&quot; You 're mighty close about this affair , Mr. Holmes .	file://conllu/en/doyle_bask.14.conllu#s18_0	
19	2	_	be (be what)	What 's the game now ? &quot;	file://conllu/en/doyle_bask.14.conllu#s19_0	
20	4	_	game	&quot; A waiting game . &quot;	file://conllu/en/doyle_bask.14.conllu#s20_0	
21	8	_	seem (seem say)	&quot; My word , it does not seem a very cheerful place , &quot; said the detective with a shiver , glancing round him at the gloomy slopes of the hill and at the huge lake of fog which lay over the Grimpen Mire .	file://conllu/en/doyle_bask.14.conllu#s21_0	
22	3	_	see	&quot; I see the lights of a house ahead of us . &quot;	file://conllu/en/doyle_bask.14.conllu#s22_0	
23	3	and?	be (be House)	&quot; That is Merripit House and the end of our journey .	file://conllu/en/doyle_bask.14.conllu#s23_0	
24	3	_	request	I must request you to walk on tiptoe and not to talk above a whisper . &quot;	file://conllu/en/doyle_bask.14.conllu#s24_0	
25	2	as if?	move	We moved cautiously along the track as if we were bound for the house , but Holmes halted us when we were about two hundred yards from it .	file://conllu/en/doyle_bask.14.conllu#s25_0	
26	7	_	say	&quot; This will do , &quot; said he .	file://conllu/en/doyle_bask.14.conllu#s26_0	
27	7	_	make	&quot; These rocks upon the right make an admirable screen . &quot;	file://conllu/en/doyle_bask.14.conllu#s27_0	
28	5	_	wait	&quot; We are to wait here ? &quot;	file://conllu/en/doyle_bask.14.conllu#s28_0	
29	6	_	make	&quot; Yes , we shall make our little ambush here .	file://conllu/en/doyle_bask.14.conllu#s29_0	
30	1	_	get	Get into this hollow , Lestrade .	file://conllu/en/doyle_bask.14.conllu#s30_0	
31	3	_	be (be house)	You have been inside the house , have you not , Watson ?	file://conllu/en/doyle_bask.14.conllu#s31_0	
32	3	_	tell	Can you tell the position of the rooms ?	file://conllu/en/doyle_bask.14.conllu#s32_0	
33	2	_	be (be what)	What are those latticed windows at this end ? &quot;	file://conllu/en/doyle_bask.14.conllu#s33_0	
34	3	_	think	&quot; I think they are the kitchen windows . &quot;	file://conllu/en/doyle_bask.14.conllu#s34_0	
35	5	and?	beyond	&quot; And the one beyond , which shines so brightly ? &quot;	file://conllu/en/doyle_bask.14.conllu#s35_0	
36	3	_	be (be room)	&quot; That is certainly the dining room . &quot;	file://conllu/en/doyle_bask.14.conllu#s36_0	
37	4	_	be (be up)	&quot; The blinds are up .	file://conllu/en/doyle_bask.14.conllu#s37_0	
38	2	_	know	You know the lie of the land best .	file://conllu/en/doyle_bask.14.conllu#s38_0	
39	1	and?	Creep	Creep forward quietly and see what they are doing —but for heaven 's sake do n't let them know that they are watched ! &quot;	file://conllu/en/doyle_bask.14.conllu#s39_0	
40	2	and?	tipto	I tiptoed down the path and stooped behind the low wall which surrounded the stunted orchard .	file://conllu/en/doyle_bask.14.conllu#s40_0	
41	1	_	creepe	Creeping in it s shadow I reached a point whence I could look straight through the uncurtained window .	file://conllu/en/doyle_bask.14.conllu#s41_0	
42	2	_	be	There were only two men in the room , Sir Henry and Stapleton .	file://conllu/en/doyle_bask.14.conllu#s42_0	
43	2	_	sit	They sat with their profiles towards me on either side of the round table .	file://conllu/en/doyle_bask.14.conllu#s43_0	
44	5	and?	smoke	Both of them were smoking cigars , and coffee and wine were in front of them .	file://conllu/en/doyle_bask.14.conllu#s44_0	
45	3	but?	talk	Stapleton was talking with animation , but the baronet looked pale and distrait .	file://conllu/en/doyle_bask.14.conllu#s45_0	
46	15	_	weigh	Perhaps the thought of that lonely walk across the ill omened moor was weighing heavily upon his mind .	file://conllu/en/doyle_bask.14.conllu#s46_0	
47	3	while?	watch	As I watched them Stapleton rose and left the room , while Sir Henry filled his glass again and leaned back in his chair , puffing at his cigar .	file://conllu/en/doyle_bask.14.conllu#s47_0	
48	2	_	hear	I heard the creak of a door and the crisp sound of boots upon gravel .	file://conllu/en/doyle_bask.14.conllu#s48_0	
49	3	_	pass	The steps passed along the path on the other side of the wall under which I crouched .	file://conllu/en/doyle_bask.14.conllu#s49_0	
50	5	_	see	Looking over , I saw the naturalist pause at the door of an out house in the corner of the orchard .	file://conllu/en/doyle_bask.14.conllu#s50_0	
