# ID	TEXT	MARKER	TARGET	RELATION
1	Flucht : &quot; Jede geflüchtete Frau hat Erfahrungen mit sexueller Gewalt &quot;	(zusammenfassend)	2	broad
2	Sexuelle Gewalt gehört für Frauen , die alleine fliehen , fast schon zum zu dem Alltag .	(konkret)	1	specific
3	Wenn sie in Deutschland ankommen , sind sie oft traumatisiert .	(in Folge)	2	result
4	Ein Haus bietet Zuflucht .	(dafür)	3	enablement
5	In einer großen Küche sitzen vier Frauen .	_	4	EntRel
6	Jede hat ein Baby dabei , das höchstens ein Jahr alt ist .	(und)	5	conjunction
7	Eine hat ihren kleinen Sohn in den Arm gelegt .	(konkret)	6	specific
8	Er guckt mit großen Augen neugierig in den Raum .	(und)	7	conjunction
9	Seine Mutter starrt auf die Tischplatte .	(dagegen)	8	contrast
10	Bis sie merkt , dass sie beobachtet wird .	(dann)	9	after
11	Sie lächelt kurz und küsst den Kleinen .	(daraufhin)	10	after
12	Die Szene wirkt normal .	(insgesamt)	11	broad
13	Bis man mit Katrin Bahr spricht .	bis (es sei denn)	12	neg_condition
14	Sie ist Bereichs Geschäftsführerin von Condrobs , einem Träger für soziale Hilfsangebote in Bayern , und beschäftigt sich unter anderem mit dem Thema Frauen auf der Flucht .	(konkret)	7	specific
15	Die vier Frauen in der Küche sind Geflüchtete .	(konkret)	5	specific
16	Sie leben im in dem Münchner Norden in einer der wenigen dezentralen Unterkünfte für alleingeflüchtete Frauen und ihre Kinder in Bayern .	(und)	15	conjunction
18	Unlängst wurde sie offiziell eröffnet .	unlängst	16	before
19	60 Personen leben dort etwa 40 Frauen und 20 Kinder .	(nun)	18	after
20	Männer gibt es keine auch nicht als Besucher .	(aber)	19	contrast
21	Die Ausnahme ist ein Wachmann vor der Tür .	die Ausnahme	20	exception
22	&quot; Es ist nicht übertrieben zu sagen : Jede Frau , die hier ankommt , hat auf ihrer Flucht Erfahrungen mit sexueller Gewalt gemacht &quot; , sagt Bahr .	(insgesamt)	19	broad
23	&quot; Männer fliehen wegen Kriegen , weil sie politisch verfolgt werden , weil ihnen Folter oder der Tod drohen oder weil ihre Familien sie als Hoffnungsträger nach Europa schicken &quot; , erzählt sie .	(einerseits)	24	contrast
24	Bei Frauen überwiegen andere Gründe für die Flucht : &quot; Viele stehlen sich heimlich davon , weil sie keinen anderen Ausweg sehen &quot; .	(dagegen)	23	contrast
25	In ihrer Heimat haben sie Erfahrung mit sexueller Gewalt , Zwangsehen , Ehrenmorden , Sklaverei oder Zwangsprostitution gemacht .	(denn)	24	reason
26	Das treibt sie fort .	(in Folge)	25	result
27	Auf der Flucht geht das weiter .	(doch)	26	contrast
28	&quot; Dass Schlepper zum zu dem Beispiel für eine Flasche Wasser eine sexuelle Handlung fordern , ist keine Seltenheit &quot; , sagt Bahr .	zum Beispiel	27	instance
29	Und die Frauen sind alleine , sie werden nicht von ihren Familien geschützt .	und	28	conjunction
30	Wer glaube , dass das ende , sobald sie in Deutschland ankämen , irre , erzählt Bahr .	(doch)	27	contrast
31	Auch hier würden alleinstehende Frauen in Flüchtlingsunterkünften oft als minderwertig betrachtet und schlimmstenfalls missbraucht .	(denn)	30	reason
32	Das führt dazu , dass etwa 90 Prozent der Frauen , die in der Unterkunft im in dem Münchner Norden wohnen , traumatisiert sind , schätzt sie .	das führt dazu	31	result
33	&quot; Einige der Kinder sind sicher nicht freiwillig entstanden &quot; .	(etwa)	32	instance
34	Viele Frauen seien es so gewohnt , dass sie nichts sagen .	(mehrheitlich)	33	set
35	&quot; Oder sie trauen sich nicht , offen über das Erlebte zu sprechen , weil die Scham zu groß ist &quot; .	oder	34	disjunction
36	Da sie sich oft nicht zu helfen wüssten , brauche es mehr Unterkünfte nur für sie , fordert Bahr .	(zu diesem Zweck)	35	enablement
37	In Bayern sind die sieben Bezirksregierungen für die Unterbringung von Flüchtlingen zuständig .	(konkret)	36	specific
38	Auf die Frage , ob sie von einem ähnlichen Projekt wie in München in ihrem Zuständigkeitsbereich wüssten , antworten einige mit Nein .	(allerdings)	37	contra-expectation
39	In der Oberpfalz und Oberfranken etwa gibt es so etwas in Unterkünften der Regierungen nicht .	etwa	38	instance
40	Auch in Schwaben werden allein geflüchtete Frauen nicht getrennt untergebracht , sagt Karl Heinz Meyer , Pressesprecher der Regierung .	auch	39	conjunction
41	In Oberbayern , Unter und Mittelfranken gibt es in manchen Gemeinschaftsunterkünften Stockwerke oder eigene Häuser nur für alleinstehende Frauen und deren Kinder .	(konkret)	37	specific
42	Die Ausnahme ist Niederbayern , dort gibt es zwei zentrale Unterkünfte ausschließlich für Frauen .	die Ausnahme	38	exception
43	Auch der Ausschuss &quot; Rechte der Frau und Gleichstellung der Geschlechter &quot; im in dem Europaparlament fordert , dass Frauen getrennt von Männern untergebracht werden müssen .	auch	36	conjunction
44	In einer Studie , die für den Ausschuss veröffentlicht wurde , heißt es : &quot; Es ist sehr wichtig , dass Männer und Frauen getrennt beherbergt werden . &quot;	(konkret)	43	specific
45	&quot; Fehlt die Privatsphäre oder werden Männer und Frauen zusammen untergebracht , kann es zu fortwährender Gewalt gegen Frauen kommen &quot; .	(andernfalls)	44	neg_consequence
46	Vor allem die Waschräume sollten getrennt und für Frauen leicht zugänglich sein , steht in der Studie .	vor allem	44	specific
47	Wie sehr die Frauen dieses Schutzbedürfnis verspüren , kann man am an dem Andrang ablesen , den es auf das Haus in München gibt .	(allgemein)	43	set
