# text = Je vais vous parler un peu de stratégie et de son lien avec la technologie.				
Je	SBJ	pron.pper	OLD		1	Je		
vais					2	vais		
vous	OBJ_2	pron.pper	OLD		3	vous		
parler					4	parler		
un					5	un		
peu					6	peu		
de					7	de		
stratégie	other_3	indef-np.bare			8	stratégie	set_0	
et					9	et		
de					10	de		
son	other_5	pron.ppos	OLD		11	son	set_0	
lien	other_4	def-np.poss	OLD		12	lien		
avec					13	avec		
la					14	la		
technologie	other_4	def-np.the	OLD		15	technologie		
.				16	.	
		
# text = Nous avons tendance à considérer la stratégie des entreprises, comme une entité assez abstraite venant essentiellement de la pensée économique, peut-être même intemporelle.	
Nous	SBJ	pron.pper	OLD		1	Nous		
avons					2	avons		
tendance	other	indef-np.bare			3	tendance		
à					4	à		
considérer					5	considérer		
la					6	la		
stratégie	OBJ_2	def-np.the	OLD		7	stratégie		
de								
les								
entreprises	other_3	def-np.the	OLD		10	entreprises		
,								
comme								
une								
entité	other_2	indef-np.a			13	entité		
assez								
abstraite								
venant								
essentiellement								
de								
la								
pensée	other_4	def-np.the	OLD					
économique								
,					22	,		
peut-être					23	peut-être		
même					24	même		
intemporelle								
.				26	.	
		
# text = J'affirme qu'en fait, la stratégie des entreprises a toujours été le postulat d'hypothèses à propos de la technologie, que ces hypothèses sont en train de changer, et même en train de changer radicalement, et que ça va donc nous amener à un concept différent de ce que nous entendons par stratégie d'entreprise.	
J'	SBJ	pron.pper	OLD		1	J'		
affirme					2	affirme		
qu'					3	qu'		
en	OBJ_2	pron	OLD		4	en		
fait					5	fait		
,					6	,		
la					7	la		
stratégie	SBJ_2	def-np.the	OLD		8	stratégie		
de								
les								
entreprises	other_3	def-np.the	OLD		10	entreprises		
a								
toujours								
été								
le								
postulat	other	def-np.the	OLD		15	postulat		
d'								
hypothèses	other_2	indef-np.bare						
à								
propos	other_2	indef-np.bare						
de					52	de		
la								
technologie	other_3	def-np.the	OLD					
,								
que								
ces								
hypothèses	SBJ_3	def-np.dem	OLD					
sont								
en								
train	other_3	indef-np.bare						
de								
changer								
,								
et								
même								
en								
train	other_3	indef-np.bare						
de								
changer								
radicalement								
,								
et								
que								
ça	SBJ_3	pron.pds	OLD					
va								
donc								
nous	OBJ_4	pron.pper	OLD					
amener								
à								
un								
concept	other_4	indef-np.a						
différent								
de								
ce	other_6	pron.pds	OLD		53	ce		
que	OBJ_8				54	que		
nous	SBJ_8	pron.pper	OLD		55	nous		
entendons					56	entendons		
par					57	par		
stratégie	other_8	indef-np.bare			58	stratégie		
d'					59	d'		
entreprise	other_9	indef-np.bare			60	entreprise		
.				61	.	
		
# text = Je vais commencer, si vous le permettez, par un peu d'histoire.	
Je	SBJ	pron.pper	OLD		1	Je		
vais					2	vais	set_3	
commencer					3	commencer		
,					4	,		
si					5	si		
vous	SBJ_2	pron.pper	OLD		6	vous		
le	OBJ_2	pron.pper	OLD		7	le	set_3	
permettez					8	permettez		
,					9	,		
par					10	par		
un					11	un		
peu					12	peu		
d'					13	d'		
histoire	other	indef-np.a			14	histoire		
.				15	.	
		
# text = L'idée de stratégie d'entreprise doit ses origines à deux grands intellectuels : Bruce Henderson, le fondateur de BCG, et Michael Porter, professeur à la Harvard Business School.	
L'					1	L'		
idée	SBJ	def-np.the	OLD		2	idée	set_4	
de					3	de		
stratégie	other_2	indef-np.bare			4	stratégie		
d'					5	d'		
entreprise	other_3	indef-np.bare			6	entreprise		
doit					7	doit		
ses	other_2	pron.ppos	OLD		8	ses	set_4	
origines	OBJ	def-np.poss	OLD		9	origines		
à					10	à		
deux					11	deux		
grands					12	grands		
intellectuels	other	indef-np.quant			13	intellectuels		
:					14	:		
Bruce	other_2	ne	OLD		15	Bruce	set_27	
Henderson	other_3	ne	OLD		16	Henderson		
,					17	,		
le					18	le		
fondateur	other_3	def-np.poss	OLD		19	fondateur		
de					20	de		
BCG	other_4	ne	OLD		21	BCG		
,					22	,		
et					23	et		
Michael	other_3	ne	OLD		24	Michael	set_23	
Porter	other_4	ne	OLD		25	Porter		
,					26	,		
professeur	other_4	indef-np.bare			27	professeur		
à					28	à		
la					29	la		
Harvard					30	Harvard		
Business					31	Business		
School					32	School		
.				33	.	
		
# text = L'idée centrale d'Henderson était ce qu'on pourrait appeler l'idée napoléonienne du regroupement de la masse contre les faibles.	
L'					1	L'		
idée	SBJ	def-np.poss	OLD		2	idée		
centrale					3	centrale		
d'					4	d'		
Henderson	other_2	ne	OLD		5	Henderson	set_27	
était					6	était		
ce	other	pron.pds	OLD		7	ce		
qu'	OBJ_3				8	qu'		
on	SBJ_2	pron	OLD		9	on		
pourrait					10	pourrait		
appeler					11	appeler		
l'					12	l'		
idée	other	def-np.the	OLD		13	idée	set_116	
napoléonienne					14	napoléonienne		
de					15	de		
le								
regroupement	other_2	def-np.the	OLD		16	regroupement		
de					17	de		
la					18	la		
masse	other_3	def-np.the	OLD		19	masse		
contre					20	contre	set_116	
les					21	les	set_116	
faibles	other_4	def-np.the	OLD		22	faibles		
.				23	.	
		
# text = L'idée d'écraser l'ennemi.	
L'								
idée	other	def-np.the	OLD		2	idée		
d'								
écraser								
l'								
ennemi	OBJ_2	def-np.the	OLD					
.							
	
# text = Henderson a reconnu que, dans le monde des entreprises, il y a de nombreux phénomènes caractérisés par ce que les économistes appelleraient le rendement croissant -- d'échelle, d'expérience.				
Henderson	SBJ	ne	OLD		1	Henderson	set_27	
a					2	a		
reconnu								
que								
,								
dans								
le								
monde	other_2	def-np.the	OLD		3	monde		
de								
les								
entreprises	other_3	def-np.the	OLD					
,								
il								
y								
a					15	a		
de								
nombreux								
phénomènes	OBJ_2	indef-np.a						
caractérisés								
par								
ce	other_4	pron.pds	OLD					
que	OBJ_6							
les								
économistes	SBJ_6	def-np.the	OLD					
appelleraient								
le								
rendement	other_6	def-np.the	OLD					
croissant								
_								
d'								
échelle	other_7	indef-np.bare						
,								
d'								
expérience	other_7	indef-np.bare						
.				29	.	
		
# text = Plus on fait quelque chose, meilleur on devient, de façon disproportionnée.	
Plus					1	Plus		
on	SBJ	pron	OLD		2	on		
fait					3	fait	set_12	
quelque					4	quelque		
chose	OBJ	indef-np			5	chose		
,					6	,		
meilleur					7	meilleur		
on	SBJ_2	pron	OLD		8	on		
devient					9	devient		
,					10	,		
de					11	de		
façon	other_2	indef-np.bare			12	façon		
disproportionnée					13	disproportionnée		
.				14	.	
		
# text = Il a donc trouvé une logique dans l'investissement dans ces sortes de masses écrasantes, afin de réaliser un avantage concurrentiel.	
Il	SBJ	pron.pper	OLD		1	Il	set_27	
a					2	a		
donc					3	donc		
trouvé					4	trouvé	set_123	
une					5	une		
logique	OBJ	indef-np.a			6	logique	set_15	
dans					7	dans		
l'					8	l'		
investissement	other	def-np.the	OLD		9	investissement	set_15	
dans					10	dans		
ces					11	ces		
sortes	other	def-np.dem	OLD		12	sortes	set_116	
de					13	de		
masses	other_2	indef-np.bare			14	masses		
écrasantes					15	écrasantes		
,					16	,		
afin					17	afin	set_15	
de					18	de		
réaliser					19	réaliser		
un					20	un		
avantage	OBJ_3	indef-np.a			21	avantage		
concurrentiel					22	concurrentiel		
.				23	.	
		
# text = C'était la première introduction d'un concept fondamentalement militaire dans le monde des entreprises.	
C'	SBJ	pron.pds	OLD		1	C'	set_15	
était					2	était		
la					3	la		
première					4	première		
introduction	other	def-np.the	OLD		5	introduction	set_123	
d'					6	d'		
un					7	un		
concept	other	indef-np.a			8	concept		
fondamentalement					9	fondamentalement		
militaire					10	militaire		
dans					11	dans		
le					12	le		
monde	other	def-np.the	OLD		13	monde		
de					14	de		
les								
entreprises	other_2	def-np.the	OLD		15	entreprises		
.				16	.	
		
# text = Porter fut d'accord avec ce postulat, mais il l'a nuancé.	
