# ID	TEXT	MARKER	TARGET	RELATION
1	Queensferry Crossing : Brücke nun mit Fife verbunden	_	_	NoRel
2	Das £ 1,35 Mrd .	_	3	fragment
3	teure Projekt soll bis Mai 2017 fertiggestellt werden	(und)	1	conjunction
4	Ingenieure haben das Norddeck des Queensferry Crossings mit dem Viadukt verbunden was bedeutet , dass die Brücke jetzt mit Fife verbunden ist .	(zuvor)	1	before
5	Es ist das erste von vier Verschließungen der &quot; Deckgebläse &quot; , die sich der Fertigstellung um jeden der drei Türme der Brücke nähern .	(somit)	4	result
6	Der Brückenabschnitt von Fife ist jetzt 600 Meter lang und wiegt 30.000 Tonnen .	(außerdem)	5	conjunction
7	Er verfügt über 10.000 Tonnen Stahl und 20.000 Tonnen Beton sowie 46 Schrägseile .	(anders gesagt)	6	restatement
8	Das £ 1,35 Mrd. teure Projekt soll bis Mai 2017 fertiggestellt werden .	(insgesamt)	5	broad
9	Wirtschaftsminister Keith Brown stattete der Baustelle heute einen Besuch ab und war einer der Ersten , die vom von dem Land auf die Brücke gingen .	heute (im Anschluss)	4	after
10	Er sagte : &quot; Das ist ein historischer und symbolischer Moment beim bei dem Bau des Queensferry Crossings .	(insgesamt)	5	broad
11	Wir sind alle Zeugen einer Ingenieurskunst von einem wahrlich epischen Maße bei diesem Projekt mit über 30.000 Tonnen Beton und Stahl , die alleine für diesen Teil der Brücke verwendet wurden .	(genauer)	10	specific
12	Trotz der massiven Größe und Gewichts des Brücke , ist die Fertigstellung des Verschlusses zwischen dem Viadukt und dem Brückendeck eine heikle Tätigkeit , die extrem präzise Toleranzen für die Passung erfordern .	(denn)	11	reason
13	Insgesamt sind fast 79 % der gesamten Brückendecks an ihrem Platz und der letzte Abschnitt des Decks bekommt heute in Rosyth einen Betonguss für das Deck , was bedeutet , dass das gesamte Deck bereit ist , auf der Brücke an seinen Platz gehoben zu werden .	(somit)	12	result
14	Michael Martin , Projektleiter von Forth Crossing Bridge Constructors sagte : &quot; Der erste Verschluss stellt bei jedem Brückenprojekt einen erheblichen Meilenstein dar .	(ebenso)	10	similarity
15	Bei diesem fantastischen Projekt stellt der Verschluss zukunftsweisenden Hoch und Tiefbau dar .	(sogar)	14	specific
16	Nach der Installation des letzten Straßendeckabschnitts und dessen Verbindung mit dem im in dem Ausbau befindlichen Nordturmdeck , mussten wir sodann die noch bestehende Lücke auf der Nord oder Landseite schließen .	nach	5	after
17	Dies wurde durch Ziehen der nördlichen Zubringerbrücke 700 Millimeter südlich erreicht .	durch	16	means
18	Dies war eine massive und gleichzeitig sehr heikle Tätigkeit .	(insgesamt)	17	broad
19	Massiv , da das Viadukt 222 Meter lang ist , ca . 6.000 Tonnen wiegt und bei einer Steigung von ca . 3 % nach oben gezogen werden musste .	(konkret)	18	specific
20	Heikel , da die Toleranzen , auf die das Team hinarbeitet , winzig waren auf jeder Seite betrugen sie nur einige Millimeter .	(und)	19	conjunction
21	Glücklicherweise verlief alles sehr gut .	(insgesamt)	18	broad
