# ID	TEXT	MARKER	TARGET	RELATION
1	Mutter eines 6 Jährigen mit Mikrozephalie : &quot; Es wird besser &quot;	_	_	NoRel
2	Wie die meisten 6 -Jährigen liebt Edmund Picciuto das Singen , Spielzeuge und natürlich seine Mutter .	(konkret)	1	specific
3	Aber wie die wenigsten seiner Altergenossen hat Edmund Mikrozephalie , das Ergebnis einer genetischen Störung , über die seine Mutter Elizabeth Picciuto während ihrer Schwangerschaft nichts wusste .	aber	2	contra-expectation
4	Als er das erste Mal nach Hause kam , war mein erster Gedanke , Ich schaffe das nicht .	(daher)	3	result
5	Ich schaffe das nicht .	_	4	restatement
6	Darauf habe ich mich nicht eingelassen .	(denn)	4	reason
7	Was überhaupt nicht stimmt natürlich hat man sich darauf eingelassen , &quot; sagte sie .	(obwohl)	6	concession
8	Ihrem Ehemann Vincent und ihr wurde mitgeteilt , dass Edmund sie unter Umständen nie erkennen wird können und , dass er möglicherweise nicht einmal überleben wird .	(daher)	3	result
9	Manche Ärzte gingen sogar so weit , dass sie vorschlugen , ihn zu institutionalisieren .	(konkret)	8	specific
10	&quot; Meine erste Antwort darauf war ' Ich wusste nicht , dass das Leute noch immer machen , ' &quot; erklärte Picciuto .	(nein)	9	disagreement
11	Edmund kann mit Hilfe einer Gehhilfe laufen .	(heute)	2	synchrony
12	Edmund konnte bis zu seinem dritten Lebensjahr weder sitzen noch krabbeln und er kann noch immer nicht sprechen .	bis zu seinem dritten Lebensjahr (zuvor)	11	before
13	Aber er macht langsam Fortschritte .	aber	12	contra-expectation
14	Er kann mit Unterstützung laufen und Fahrradfahren .	(im Einzelnen)	13	specific
15	Er liebt es auch , mit seinen zwei Brüdern zu spielen und zu singen .	auch	14	conjunction
16	Elizabeth zeigt die Zeichensprache , die sich Edmund für &quot; Bitte sing mir etwas vor &quot; ausgedacht hat . &quot;	(konkret)	17	specific
17	&quot; Wir bringen ihm Zeichensprache bei , &quot; erzählte Picciuto CBS News .	(gleichzeitig)	14	synchrony
18	Aber es ist keine typische Zeichensprache sagt sie .	aber	17	contra-expectation
19	Edmund hat einige Zeichen alleine erfunden .	(genauer)	18	specific
20	Mikrozephalie hat eine Vielzahl an Ursachen : genetische wie bei Edmund sowie Infektionen mit Viren wie Masern oder dem Zikavirus während der Schwangerschaft .	(konkret)	3	specific
21	Die Symptome und Prognosen können stark variieren .	(konkret)	20	specific
22	Es ist noch zu früh zu sagen , wie es das Leben der mit dem Zikavirus Infizierten beeinflussen wird .	(daher)	21	result
23	Picciuto erinnert sich an den emotionalen Preis einer ungewissen Zukunft .	(gleichzeitig)	17	synchrony
24	Ich fragte ständig , was wird geschehen ?	Was?	23	hypophora
25	Was wird geschehen ?	Was?	24	restatement
26	Und sie weiß es noch immer nicht wirklich .	und (doch)	24	contrast
27	Ich habe schon seit langer Zeit nicht mehr nach der Prognose gefragt , weil ich nicht erwarte , dass sie mir jemand wirklich sagen kann .	(trotzdem)	23	contra-expectation
28	Aber Picciuto hat einen hoffnungsvollen Ratschlag für Mütter von Säuglingen mit Geburtsschäden , die durch den Zikavirus verursacht wurden .	aber	28	contra-expectation
29	Es wird besser .	(konkret)	28	specific
30	Sie wissen , dass es für Sie besser werden wird .	(anders gesagt)	29	restatement
31	Sie werden Ihr Kind lieben und Ihr Kind wird Sie lieben .	(denn)	30	reason
