# ID	TEXT	MARKER	TARGET	RELATION
1	Als kleines Mädchen stellte ich mir vor , dass ich eines Tages von Zuhause weglaufe .	als kleines Mädchen	2	synchrony
2	Seit dem sechsten Lebensjahr bewahrte ich eine Tasche mit Kleidung und Konservendosen in meinem Wandschrank auf .	(zu diesem Zweck)	1	enablement
3	In mir war eine tiefe Unruhe , eine Angst , Opfer zu werden , von einem Leben voller Routine und Langeweile .	(denn)	1	reason
4	Viele meiner frühkindlichen Erinnerungen beinhalteten komplizierte Wachträume , in denen ich Grenzen überschritt , Beeren sammelte und allerlei seltsame Leute traf , die unkonventionelle Leben auf der Straße führten .	(und)	3	Conjunction
5	Die Jahre sind vergangen , aber viele meiner Abenteuer , von denen ich als Kind fantasierte -- zu reisen ; meinen Weg zu erfinden zwischen Welten , anders als der meinen -- wurden durch meine Arbeit als Dokumentarfotografin Wirklichkeit .	die Jahre sind vergangen (seitdem)	4	after
6	Aber keine andere Erfahrung kam meinen Kindheitsfantasien so nah , wie die , wie andere Herumtreiber zu leben und ihr Leben überall in den USA zu dokumentieren .	aber	5	contra-expectation
7	Das ist der Traum vom nomadischen Leben , eine andere Art amerikanischer Traum , gelebt von jungen Landstreichern , Herumreisenden , Trampern , Nichtsesshaften und Vagabunden .	das ist (konkret)	6	specific
8	In den meisten Köpfen ist der Vagabund Teil der Vergangenheit .	(im Allgemeinen)	7	set
9	Das Wort " Landstreicher " erinnert an ein Schwarz-Weiß-Foto eines dem Wetter ausgesetzten , verrußten Mannes , der seine Beine aus einem Waggon baumeln lässt .	(konkret)	7	specific
10	Aber diese Fotos sind in Farbe : Sie porträtieren eine Gemeinschaft , die im Land herumwirbelt , heftig lebendig und schöpferisch frei .	aber	9	Contrast
11	Sie sehen das Amerika , das sonst niemand zu sehen bekommt .	(konkret)	10	specific
12	Wie ihre Vorgänger bereisen die heutigen Nomaden die Hauptverkehrsadern der Vereinigten Staaten aus Stahl und Asphalt .	wie	9	similarity
13	Am Tag springen sie auf Güterzüge oder strecken den Daumen raus , und fahren auf der Autobahn mit jedem mit , egal ob Lkw-Fahrer oder nicht berufstätige Mütter .	(indem)	12	means
14	Nachts schlafen sie unter den Sternen , gekauert an ihr Rudel aus Hunden , Katzen und Haustierratten zwischen ihren Körpern .	(und)	12	Conjunction
15	Manche Reisende haben sich dieses Leben ausgesucht , verzichten auf Materielles , herkömmliche Arbeit und Uni-Abschlüsse im Tausch gegen einen Hauch von Abenteuer .	(speziell)	12	instance
16	Andere kommen von der Schattenseite der Gesellschaft ; sie bekamen sie nie , die Chance zum sozialen Aufstieg : Ausbrecher aus Pflegefamilien , jugendliche Ausreißer auf der Flucht vor Missbrauch und unversöhnlichen Elternhäusern .	(im Gegensatz dazu)	15	contrast
17	Was andere als Geschichten von Entbehrung und wirtschaftlichem Versagen ansehen , betrachten die Reisenden durch das Prisma der Befreiung und Freiheit .	(und)	16	Conjunction
18	Lieber zehren sie vom Überfluss einer -- aus ihrer Sicht -- verschwenderischen Konsumgesellschaft , als sich mit einer unrealistischen Chance auf den herkömmlichen " American Dream " abzurackern .	(denn)	17	reason
19	Sie nutzen die Tatsache aus , dass in den USA bis zu 40 % der Lebensmittel im Abfall landen , in dem sie nach einwandfreien Nahrungsmitteln in Containern und Abfalleimern suchen .	(indem)	18	means
20	Sie opfern materiellen Komfort im Austausch gegen den Raum und die Zeit , ihr kreatives Inneres zu entdecken , um zu träumen , zu lesen , Musik zu machen , Kunst zu erschaffen und zu schreiben .	(konkret)	17	specific
21	Aber es gibt viele Aspekte an dieser Art zu leben , die alles andere als idyllisch sind .	aber	20	contra-expectation
22	Niemand verliert seine inneren Dämonen , indem er auf der Straße lebt .	(denn)	21	reason
23	Drogensucht und extremes Wetter gehören zur Wirklichkeit , Güterzüge verstümmeln oder töten , und wer auf der Straße gelebt hat , kann ein Zeugnis von der Unmenge an Gesetzen ablegen , wodurch sich Obdachlose strafbar machen .	(konkret)	22	specific
24	Wussten Sie , dass es in vielen Städten der USA nun illegal ist , auf dem Bordstein zu sitzen , sich in eine Decke zu wickeln , im eigenen Auto zu übernachten , einem Fremden Essen anzubieten ?	(etwa)	21	instance
25	Ich kenne diese Gesetze , weil ich sah , wie Freunde und andere Herumreisende ins Gefängnis geschleppt oder vorgeladen wurden , weil sie diese sogenannten " Verbrechen " begangen hatten .	_	24	EntRel
26	Vielleicht fragen Sie sich , wieso jemand ein Leben wie dieses wählt , unter der Fuchtel diskriminierender Gesetze , aus Mülltonnen zu essen , unter Brücken zu schlafen , hier und da Saisonjobs anzunehmen .	vielleicht	27	hypophora
27	Darauf gibt es so viele Antworten wie Menschen , die dieses Leben führen , aber Herumreisende antworten oft mit einem Wort : Freiheit .	[der Grund ist]	26	reason
28	Bis wir in einer Gesellschaft leben , wo jedem Menschen seine Würde bei der Arbeit garantiert wird , sodass sie arbeiten , um gut zu leben , und nicht nur um zu überleben , wird es immer auch jene geben , die die " offene Straße " aufsuchen : als Mittel zur Flucht , zur Befreiung und selbstverständlich zur Rebellion .	(und)	27	Conjunction
29	Vielen Dank	_	_	NoRel
