1	11	_	bring	A cold and melancholy walk of a couple of miles brought us to a high wooden gate , which opened into a gloomy avenue of chestnuts .	file://conllu/en/doyle_wist.02.conllu#s1_0	
2	6	_	lead	The curved and shadowed drive led us to a low , dark house , pitch black against a slate coloured sky .	file://conllu/en/doyle_wist.02.conllu#s2_0	
3	12	_	pee	From the front window upon the left of the door there peeped a glimmer of a feeble light .	file://conllu/en/doyle_wist.02.conllu#s3_0	
4	10	_	say	&quot; There 's a constable in possession , &quot; said Baynes .	file://conllu/en/doyle_wist.02.conllu#s4_0	
5	4	_	knock	&quot; I 'll knock at the window . &quot;	file://conllu/en/doyle_wist.02.conllu#s5_0	
6	2	and?	step	He stepped across the grass plot and tapped with his hand on the pane .	file://conllu/en/doyle_wist.02.conllu#s6_0	
7	23	and?	cry (cry hear see)	Through the fogged glass I dimly saw a man spring up from a chair beside the fire , and heard a sharp cry from within the room .	file://conllu/en/doyle_wist.02.conllu#s7_0	
8	2	later?	instant	An instant later a white faced , hard breathing policeman had opened the door , the candle wavering in his trembling hand .	file://conllu/en/doyle_wist.02.conllu#s8_0	
9	3	_	be (be matter)	&quot; What 's the matter , Walters ? &quot; asked Baynes sharply .	file://conllu/en/doyle_wist.02.conllu#s9_0	
10	3	and?	mop	The man mopped his forehead with his handkerchief and gave a long sigh of relief .	file://conllu/en/doyle_wist.02.conllu#s10_0	
11	3	_	be (be glad)	&quot; I am glad you have come , sir .	file://conllu/en/doyle_wist.02.conllu#s11_0	
12	3	and?	be (be evening)	It has been a long evening , and I do n't think my nerve is as good as it was . &quot;	file://conllu/en/doyle_wist.02.conllu#s12_0	
13	3	_	nerve	&quot; Your nerve , Walters ?	file://conllu/en/doyle_wist.02.conllu#s13_0	
14	5	_	think	I should not have thought you had a nerve in your body . &quot;	file://conllu/en/doyle_wist.02.conllu#s14_0	
15	4	_	sir	&quot; Well , sir , it 's this lonely , silent house and the queer thing in the kitchen .	file://conllu/en/doyle_wist.02.conllu#s15_0	
16	9	when?	think	Then when you tapped at the window I thought it had come again . &quot;	file://conllu/en/doyle_wist.02.conllu#s16_0	
17	5	_	come	&quot; That what had come again ? &quot;	file://conllu/en/doyle_wist.02.conllu#s17_0	
18	3	_	devil	&quot; The devil , sir , for all I know .	file://conllu/en/doyle_wist.02.conllu#s18_0	
19	2	_	be (be window)	It was at the window . &quot;	file://conllu/en/doyle_wist.02.conllu#s19_0	
