# ID	TEXT	MARKER	TARGET	RELATION
1	Pokémon Go , eine Jagd nach Gesundheit und Glück , die sich lohnt	(zusammenfassend)	4	broad
2	Es ist faszinierend zuzusehen , wie sich die Welt verändert .	(insgesamt)	3	broad
3	Dass Teenager und Kind zum zu dem Spielen nicht mehr nach draußen gehen , sondern es vielmehr bevorzugen , ihre Freizeit damit zu verbringen , auf Bildschirme zu starren , wurde im in dem letzten Jahrzehnt von vielen beklagt .	(zum Beispiel)	2	instance
4	Bei Pokemon Go geht es darum , Leute vom von dem Sofa zu holen und aktiver werden zu lassen .	(konkret)	1	specific
5	Die Zeit am an dem Bildschirm war anfangs auf den Fernseher , dann auf Videospiele und zuletzt auf Smartphones beschränkt .	(konkret)	3	specific
6	Daher ist es toll zu sehen , dass sich Technologie und Aktivitäten im in dem Freien nicht gegenseitig ausschließen .	daher	5	result
7	Ich beziehe mich dabei selbstverständlich auf den Pokémon Go Wahn , eine App , die auf den Charakteren beruht , die zunächst für die Videospiele in den 1990ern erschaffen wurden ( später entstanden daraus eine Zeichentrickserie , Spielkarten und andere Spin Offs ) .	ich beziehe mich dabei auf	6	specific
8	Wie viele Phänomene der Popkultur sank das Interesse vor der Veröffentlichung des Spiels in den USA , Australien und Neuseeland Anfang Juli etwas .	Anfang Juli	7	before
9	Die Markteinführung in anderen Ländern wurde durch die massive Nachfrage verschoben , die die Server überlastete .	(später)	8	after
10	Innerhalb weniger Tage hatte Pokémon Go mehr Benutzer als Tinder und fast so viele wie Twitter .	innerhalb weniger Tage	9	after
11	Wie funktioniert es ?	Wie?	7	hypophora
12	Kurz gesagt gehen die Spieler mit ihren Smartphones nach draußen und suchen nach Pokémons , die mit einem GPS nachverfolgt werden und , sobald sie einmal gefunden wurden , &quot; fotografiert &quot; ( über einen Screenshot auf dem Handy ) oder &quot; gefangen genommen &quot; werden können .	kurz gesagt	11	broad
13	Eine Generation , die das Spiel spielte , als sie noch jünger war , schloss sich dem Wahn an und sprang für die Suche vom von dem Sofa .	(auch)	10	conjunction
14	In den USA führte das Spiel zu einem beträchtlichen Anstieg an Schritten , die die &quot; durchschnittliche &quot; Person jeden Tag zurücklegt .	führte das Spiel zu	10	result
15	Cardiogram , eine App für Apple Watch , die 35.000 Benutzer nachverfolgt , teilte der Washington Post vor kurzem mit , dass innerhalb von zwei Tagen nach Markteinführung des Spiels , die Anzahl der nachverfolgten Leute , die jeden Tag 30 Minuten trainieren , von 45 Prozent auf 53 Prozent ansprang .	(konkret)	14	specific
16	Das Unternehmen weiß nicht , wer davon Pokémon Go spielt es sieht lediglich die Rohdaten zur zu der Leistungssteigerung .	(allerdings)	15	contra-expectation
17	Viele öffentliche Aufklärungskampagnen zur zu der Gesundheit , die Leute dazu bringen wollen &quot; sich 30 Minuten Zeit zu nehmen , &quot; &quot; vom von dem Sofa zu kommen &quot; und &quot; jeden Tag aktiv zu sein &quot; stießen auf taube Ohren , weil viele öffentliche Botschaften zur zu der Gesundheit langweilig sind und von Leuten kommen , die elend aussehen .	(im Allgemeinen)	3	set
18	Dennoch kann die Bedeutung von Sport nicht überbewertet werden .	dennoch	18	contra-expectation
19	Wer regelmäßig Sport treibt , reduziert seine Chancen , an Krebs oder Depressionen zu erkranken .	(denn)	19	reason
20	Körperliche Betätigung hilft bei der Gewichtskontrolle , hohem Blutdruck , Diabetes und einer langen Liste an Vorteilen , die zu lange ist , um sie hier anzuführen .	(außerdem)	20	conjunction
21	Aber das Wundervolle an Pokémon Go ist , dass es die Leute dazu bringt , etwas im in dem Freien zu tun , dass ihnen Spaß macht .	aber	17	contrast
22	Somit werden drei Säulen der Gesundheit abgedeckt Bewegung , frische Luft und Sonnenschein sowie Spaß .	somit	21	result
23	Manche Leute schließen auf der Jagd sogar neue Freundschaften .	(außerdem)	22	conjunction
24	Wie immer gibt es auch mürrische Spielverderber , die sich immer über etwas beschweren müssen .	(doch)	23	contrast
25	Und ja , jemand könnte gegen eine Tür laufen .	ja	24	agreement
26	Was soll's ?	Was soll's?	25	hypophora
27	Es hat sich ein Durchbruch ereignet .	(schließlich)	26	broad
28	Auch wenn Smartphone Apps wie Fitbit bereits früher unsere Aktivität nachverfolgen konnten , gaben sie uns keinen Grund , Sport zu treiben , wie es dieses Spiel tut .	(im Gegensatz dazu)	27	contrast
29	Das Neue wird seinen Reiz verlieren und die Verwendung wird mit der Zeit nachlassen .	(später)	28	after
30	Aufgrund von Pokemons Erfolg wird es jedoch mehr Spiele geben , die Apps und virtuelle Realität mit dem Aktivwerden in der realen Welt vereinen werden und dabei vielen Leuten auf der Jagd helfen werden , aktiver , fitter und gesünder zu sein .	jedoch	29	contra-expectation
31	Lesen Sie Dr. Joes Blog auf www.drjoetoday.com	(für weiterführende Informationen)	30	specific
