# ID	TEXT	MARKER	TARGET	RELATION
1	Assistenzärzte möchten weitere Streiks organisieren , nachdem sie Jeremy Hunts Vorschlag abgelehnt haben	(zusammenfassend)	2	broad
2	Die Minister hatten gehofft , den Streit über die Änderungen durch Annahme eines reformierten Vertrages mit den Funktionären der British Medical Association beenden zu können , aber 58 Prozent der 37.000 Assistenzärzte , die bei einer Wahl abstimmten , lehnten ihn ab .	(konkret)	1	specific
4	Die ersten Assistenzärzte sollen einen neuen Vertrag erhalten , der Änderungen zu Nacht und Wochenendarbeiten enthält , um die Pflege zu ungastlichen Uhrzeiten zu verbessern .	(gleichzeitig)	1	synchrony
5	Dr Ellen McCourt , die Vorsitzende des BMA Kommittees für Assistenzärzte teilte letzte Nacht in einer Mitteilung mit : &quot; Assistenzärzte haben zu dem vorgeschlagenen Vertrag nach wie vor ernsthafte Bedenken , insbesondere , dass es die derzeitige Belegschaftskrise anheizen und es verabsäumen wird , alle Ärzte gerecht zu behandeln . &quot;	(allerdings)	4	contra-expectation
6	Bei nur acht Wochen , die noch verbleiben , bis die erste Gruppe von Ärzten unter den neuen Vertrag fallen , müssen Fortschritte gemacht werden und die Zeit läuft aus .	(daher)	5	result
7	Bemühungen seitens des BMA zur zu der Lösung der Streitigkeiten durch Gespräche stießen bei der Regierung auf Widerwillen sich zu beteiligen und manchmal auf ohrenbetäubendes Schweigen .	(doch)	5	contrast
8	Das geschah des eines Versprechens , das Jeremy Hunt erst letzten Monat darüber gemacht hatte , dass seine Tür immer offenstehen würde .	letzten Monat	7	before
9	&quot; Jeremy Hunt muss jetzt handeln , die Aufzwingung aufheben und die Sorgen der Assistenzärzte ansprechen &quot; .	(deshalb)	8	enablement
10	Sollte er dies nicht tun , so haben es die Assistenzärzte deutlich gemacht , dass sie bereit sind , weitere Arbeitskampfmaßnahmen durchzuführen .	sollte er dies nicht tun (andernfalls)	9	neg_consequence
11	Der letzte Streik Ende April sah einen Aufschub von beinahe 13.000 Routineoperationen und 100.000 Terminen vor , da Krankenschwestern und Fachärzte einbezogen wurden , um Ärzten auf der Streikpostenkette Deckung zu gewähren .	Ende April (zuvor)	10	before
12	Die Minister hatten gehofft , den Streit über die Änderungen durch eine Annahme des reformierten Vertrages mit den Funktionären der British Medical Association beenden zu können .	(daher)	11	result
13	Die BMA möchte eine bessere Wochendentlohnung für die 54.000 Assistenzärzte , die dem Vertrag unterliegen werden .	(konkret)	12	specific
14	Daniel Mortimer , Generaldirektor der NHS Mitarbeiter , forderte die Assistenzärzte dazu auf , den Streik zu beenden .	(dagegen)	13	contrast
15	Mortimer sagte : &quot; Arbeitskampfmaßnahmen erreichen nichts der nur wenig , belasten aber bereits überbelastete Teams und Dienstleister und bereiten den Patienten , Pflegern und ihren Familien nur Sorgen , Not und Unterbrechung . &quot;	(denn)	14	reason
16	In den letzten zwei Monaten haben wir mir dem Kommittee der Assistenzärzte gesprochen und mit dem Gesundheitsministerium sowie anderen Ministerien positiv auf die Bedenken hinsichtlich der Vormundschaft und des Whistleblowings geantwortet .	in den letzten zwei Monaten (zuvor)	15	before
17	Die Arbeitgeber hofften , dass das fortgeführte positive Engagement zu anderen wichtigen Themen wie Entsendung , Flexibilität bei Schulungen , zusätzliche Schulungen für diejenigen , die von einer beruflichen Auszeit zurückkehren , Schulungsksten , gegenseitige Anerkennung des Lehrplans , Fortbildungsurlaub und das geschlechtsspezifische Lohngefälle in der Medizin ein Zeichen dafür waren , wie ernst es die Arbeitgeber , das Health Education England und das Gesundheitsministerium bezüglich der Einhaltung der Vereinbarungen mit der BMA im in dem November , Februar und Mai waren .	(außerdem)	14	conjunction
