# text = Clintons und Trumps Wirtschaftspolitik im Vergleich: It's all about the money In Infrastruktur investieren und das Handelsabkommen TTP verhindern - das wollen sowohl Clinton als auch Trump.				
Clintons	other_2	ne	OLD					
und								
Trumps	other_3	ne	OLD					
Wirtschaftspolitik	OBJ	def-np.poss	OLD					
in								
dem								
Vergleich	other	def-np.the	OLD					
:								
It's	SBJ							
all	other_2	pron.pind						
about								
the	other_2	ne	OLD					
money	OBJ	ne	OLD					
In								
Infrastruktur					15	Infrastruktur	_	
investieren								
und								
das								
Handelsabkommen	OBJ_2	def-np.the	OLD					
TTP	other_3	ne	OLD					
verhindern								
_								
das								
wollen	SBJ_2	def-np.the	OLD					
sowohl								
Clinton	other	ne	OLD					
als								
auch								
Trump	other_2	indef-np.bare			16	Trumps	_	
.							
	
# text = Uneins sind sich die beiden US-Präsidentschaftsbewerber jedoch bei der Steuer- und Energiepolitik sowie in einer Grundsatzfrage.				
Uneins								
sind								
sich	OBJ							
die								
beiden								
US	SBJ	ne	OLD					
_								
Präsidentschaftsbewerber								
jedoch								
bei								
der								
Steuer	other	def-np.the	OLD		10	Steuer	_	
_								
und								
Energiepolitik	other	indef-np.bare						
sowie								
in								
einer								
Grundsatzfrage	other	indef-np.a						
.							
	
# text = Den Unterschieden in der Wirtschaftspolitik zwischen Donald Trump und Hillary Clinton liegt ein grundsätzlicher, eher philosophischer Unterschied zugrunde.				
Den					1	Den	_	
Unterschieden	SBJ	def-np.the	OLD		2	Unterschieden	_	
in					3	in	_	
der					4	der	_	
Wirtschaftspolitik	other_2	def-np.the	OLD		5	Wirtschaftspolitik	_	
zwischen					6	zwischen	_	
Donald	other_3	ne	OLD		7	Donald	set_28	
Trump					8	Trump	_	
und					9	und	_	
Hillary	other_4	ne	OLD		10	Hillary	set_32	
Clinton					11	Clinton	_	
liegt					12	liegt	_	
ein					13	ein	_	
grundsätzlicher					14	grundsätzlicher	_	
,					15	,	_	
eher					16	eher	_	
philosophischer					17	philosophischer	_	
Unterschied	SBJ	indef-np.a			18	Unterschied	set_2	
zugrunde					19	zugrunde	_	
.				20	.	_
		
# text = Der, über die Rolle des Staates.	
Der					1	Der	set_2	
,					2	,	_	
über					3	über	_	
die					4	die	_	
Rolle	other	def-np.the	OLD		5	Rolle	set_3	
des					6	des	_	
Staates	other	def-np.the	OLD		7	Staates	_	
.				8	.	_
		
# text = Trump will die im Zweifel eher klein halten und warnt davor, wie der Staat der Wirtschaft schaden kann - mit Steuern und Regulierungen.	
Trump	SBJ	ne	OLD					
will								
die	SBJ							
in								
dem					4	dem	_	
Zweifel	other	def-np.the	OLD					
eher					6	eher	_	
klein								
halten					8	halten	_	
und								
warnt								
davor	OBJ_2	pron.padv	OLD					
,								
wie								
