# text = The £2-a-day drug that can cut heart attack threat				
The								
£								
2								
_								
a								
_								
day	other	def-np.quant	OLD					
drug	other	indef-np.bare						
that	SBJ_3							
can								
cut								
heart								
attack								
threat	OBJ_3	indef-np.bare					

# text = Thousands of heart attack patients are to benefit from a £2-a-day drug, after officials recommended it be given to more people for longer.				
Thousands	SBJ	indef-np.bare						
of								
heart								
attack								
patients	other_2	indef-np.bare						
are								
to								
benefit								
from								
a								
£								
2								
_								
a								
_								
day								
drug	other_2	indef-np.a						
,								
after								
officials	SBJ_4	indef-np.bare						
recommended								
it	OBJ_4	pron.pper	OLD					
be								
given								
to								
more								
people	other_5	indef-np.bare						
for								
longer								
.							

# text = Anti-clotting drug ticagrelor slashes the risk of repeat attacks for people with heart disease.				
Anti								
-clotting								
drug								
ticagrelor	SBJ	indef-np.bare						
slashes								
the								
risk	OBJ	def-np.the	OLD					
of								
repeat								
attacks	other_2	indef-np.bare						
for								
people	other_2	indef-np.bare						
with								
heart								
disease	other_3	indef-np.bare						
.							

# text = The drug is already given for 12 months after a heart attack, reducing the risk of a stroke or another attack.				
The								
drug	SBJ	def-np.the	OLD					
is								
already								
given								
for								
12								
months	other	indef-np.quant						
after								
a								
heart								
attack	other_2	indef-np.a						
,								
reducing								
the								
risk	OBJ_2	def-np.the	OLD					
of								
a								
stroke	other_3	indef-np.a						
or								
another								
attack	other_4	indef-np.a						
.							

# text = NHS watchdog NICE has advised that it should be given to people for four years, to further reduce the risk of cardiovascular problems.				
NHS					1	NHS		
watchdog					2	watchdog		
NICE					3	NICE		
has					4	has		
advised					5	advised		
that					6	that		
it	SBJ_2	pron.pper	OLD		7	it	set_13	
should					8	should		
be					9	be		
given					10	given		
to					11	to		
people	other_2	indef-np.bare			12	people		
for					13	for		
four					14	four		
years	other_2	indef-np.quant			15	years		
,					16	,		
to					17	to		
further					18	further		
reduce					19	reduce		
the					20	the		
risk	OBJ_3	def-np.the	OLD		21	risk		
of					22	of		
cardiovascular					23	cardiovascular		
problems	other_4	indef-np.bare			24	problems		
.				25	.	
		
# text = But now NHS watchdog NICE has advised that it should be given to people for four years, to further reduce the risk of cardiovascular problems.	
But					1	But		
now					2	now		
NHS					3	NHS		
watchdog					4	watchdog		
NICE	SBJ	ne	OLD		5	NICE		
has					6	has		
advised					7	advised		
that					8	that		
it	SBJ_2	pron.pper	OLD		9	it	set_13	
should					10	should		
be					11	be		
given					12	given		
to					13	to		
people	other_2	indef-np.bare			14	people		
for					15	for		
four					16	four		
years	other_2	indef-np.quant			17	years		
,					18	,		
to					19	to		
further					20	further		
reduce					21	reduce		
the					22	the		
risk	OBJ_3	def-np.the	OLD		23	risk		
of					24	of		
cardiovascular					25	cardiovascular		
problems	other_4	indef-np.bare			26	problems		
.				27	.	
		
# text = Some 140,000 people have a heart attack in England every year, and a quarter of these go on to have another attack or a stroke.				
Some								
140,000								
people	SBJ	indef-np.quant						
have								
a								
heart								
attack	OBJ	indef-np.a						
in								
England	other_2	ne	OLD					
every								
year	other	indef-np						
,								
and								
a								
quarter	other	def-np.poss	OLD					
of								
these								
go	other_2	def-np.dem	OLD					
on								
to								
have								
another								
attack	OBJ_3	indef-np.a						
or								
a								
stroke	other_4	indef-np.a						
.							
	
# text = Heart attacks and strokes are caused by the build-up of fatty material in artery walls to form a plaque.				
Heart								
attacks	SBJ	indef-np.bare						
and								
strokes	other_2	indef-np.bare						
are								
caused								
by								
the								
build	other	def-np.the	OLD					
_								
up								
of								
fatty								
material	other	indef-np.bare						
in								
artery								
walls	other_2	indef-np.a						
to								
form								
a								
plaque	OBJ_2	indef-np.a						
.							

# text = If the plaque breaks apart it can cause a blood clot, blocking blood to the heart causing a heart attack.				
If								
the								
plaque	SBJ_2	def-np.the	OLD					
breaks								
apart								
it	SBJ	pron.pper	OLD					
can								
cause								
a								
blood								
clot	OBJ	indef-np.a						
,								
blocking								
blood	OBJ_2	indef-np.bare						
to								
the								
heart	other_2	def-np.the	OLD					
causing								
a								
heart								
attack	OBJ_3	indef-np.a						
.							

# text = And if the clot dislodges it can travel in the blood stream and block blood flow to the brain, causing a stroke.				
And								
if								
the								
clot	SBJ_2	def-np.the	OLD					
dislodges								
it	SBJ	pron.pper	OLD					
can								
travel								
in								
the								
blood								
stream	other_2	def-np.the	OLD					
and								
block								
blood	other_3	indef-np.bare						
flow								
to								
the								
brain	other_2	def-np.the	OLD					
,								
causing								
a								
stroke	OBJ_3	indef-np.a						
.							

# text = People who have already have one attack are at a higher risk of having another.				
People	SBJ	indef-np.bare						
