# text = The first book I wrote, Theophilus, concerned all that Jesus began both to do and to teach, until the day in which he was received up, after he had given commandment through the Holy Spirit to the apostles whom he had chosen.
The				
first				
book	other	def-np.the	?OLD	
I	SBJ_2	pron.pper	?OLD	
wrote				
,				
Theophilus	other_2	ne	?OLD	
,				
concerned				
all	other_2	indef-np.bare		
that	OBJ_4			
Jesus	SBJ_4	ne	?OLD	
began				
both				
to				
do				
and				
to				
teach	other_2	indef-np.bare		
,				
until				
the				
day	other_2	def-np.the	?OLD	
in				
which				
he	SBJ_4	pron.pper	?OLD	
was				
received				
up				
,				
after				
he	SBJ_4	pron.pper	?OLD	
had				
given				
commandment	OBJ_4	indef-np.bare		
through				
the				
Holy				
Spirit	other_4	ne	?OLD	
to				
the				
apostles	other_4	def-np.the	?OLD	
whom				
he	SBJ_6	pron.pper	?OLD	
had				
chosen	OBJ_6	indef-np.bare		
.			

# text = To these he also showed himself alive after he suffered, by many proofs, appearing to them over a period of forty days, and speaking about God's Kingdom.
To				
these	other	pron.pds	?OLD	
he	SBJ	pron.pper	?OLD	
also				
showed				
himself	OBJ			
alive				
after				
he	SBJ_2	pron.pper	?OLD	
suffered				
,				
by				
many				
proofs	other	indef-np.quant		
,				
appearing				
to				
them	other_2	pron.pper	?OLD	
over				
a				
period	other_2	indef-np.a		
of				
forty				
days	other_3	indef-np.bare		
,				
and				
speaking				
about				
God	other_3	ne	?OLD	
's				
Kingdom	other_2	ne	?OLD	
.			

--
# text = Being assembled together with them, he commanded them, "Don't depart from Jerusalem, but wait for the promise of the Father, which you heard from me.
Being				
assembled				
together				
with				
them	other_2	pron.pper	?OLD	
,				
he	SBJ	pron.pper	?OLD	
commanded				
them	OBJ	pron.pper	?OLD	
,				
&quot;				
Do				
n't				
depart				
from				
Jerusalem	other_2	ne	?OLD	
,				
but				
wait				
for				
the				
promise	other_3	def-np.poss	?OLD	
of				
the				
Father	other_4	ne	?OLD	
,				
which	OBJ_6			
you	SBJ_6	pron.pper	?OLD	
heard				
from				
me	other_6	pron.pper	?OLD	
.			

--
# text = For John indeed baptized in water, but you will be baptized in the Holy Spirit not many days from now.\"
For				
John	SBJ	ne	?OLD	
indeed				
baptized				
in				
water	other	indef-np.bare		
,				
but				
you	SBJ_2	pron.pper	?OLD	
will				
be				
baptized				
in				
the				
Holy				
Spirit	other_2	ne	?OLD	
not				
many				
days	other_2	indef-np.quant		
from				
now				
.				
&quot;			

--
# text = Therefore, when they had come together, they asked him, \"Lord, are you now restoring the kingdom to Israel?\"
Therefore				
,				
when				
they	SBJ_2	pron.pper	?OLD	
had				
come				
together				
,				
they	SBJ	pron.pper	?OLD	
asked				
him	OBJ	pron.pper	?OLD	
,				
&quot;				
Lord	other	ne	?OLD	
,				
are				
you	SBJ_2	pron.pper	?OLD	
now				
restoring				
the				
kingdom	OBJ_2	def-np.the	?OLD	
to				
Israel	other_3	ne	?OLD	
?				
&quot;			

--
# text = He said to them, "It isn't for you to know times or seasons which the Father has set within his own authority.
He	SBJ	pron.pper	?OLD	
said				
to				
them	other	pron.pper	?OLD	
,				
&quot;				
It				
is				
n't				
for				
you	SBJ_3	pron.pper	?OLD	
to				
know				
times	other_3	indef-np.bare		
or				
seasons	other_4	indef-np.bare		
which	OBJ_5			
the				
Father	SBJ_5	def-np.the	?OLD	
has				
set				
within				
his	other_6	pron.ppos	?OLD	
own				
authority	other_5	def-np.poss	?OLD	
.			

# text = But you will receive power when the Holy Spirit has come upon you.
But				
you	SBJ	pron.pper	?OLD	
will				
receive				
power	OBJ	indef-np.bare		
when				
the				
Holy				
Spirit	SBJ_2	ne	?OLD	
has				
come				
upon				
you	other_2	pron.pper	?OLD	
.			

--
# text = You will be witnesses to me in Jerusalem, in all Judea and Samaria, and to the uttermost parts of the earth.\"
You	SBJ	pron.pper	?OLD	
will				
be				
witnesses	other	indef-np.bare		
to				
me	other	pron.pper	?OLD	
in				
Jerusalem	other_2	ne	?OLD	
,				
in				
all				
Judea	other	ne	?OLD	
and				
Samaria	other_2	ne	?OLD	
,				
and				
to				
the				
uttermost				
parts	other_2	def-np.the	?OLD	
of				
the				
earth	other_3	def-np.the	?OLD	
.				
&quot;			

# text = When he had said these things, as they were looking, he was taken up, and a cloud received him out of their sight.
When				
he	SBJ_2	pron.pper	?OLD	
had				
said				
these				
things	OBJ_2	def-np.dem	?OLD	
,				
as				
they	SBJ_2	pron.pper	?OLD	
were				
looking				
,				
he	SBJ	pron.pper	?OLD	
was				
taken				
up				
,				
and				
a				
cloud	SBJ_2	indef-np.a		
received				
him	OBJ_2	pron.pper	?OLD	
out				
of				
their	other_3	pron.ppos	?OLD	
sight	other_2	def-np.poss	?OLD	
.			

--
# text = While they were looking steadfastly into the sky as he went, behold, two men stood by them in white clothing, who also said, "You men of Galilee, why do you stand looking into the sky?
While				
they	SBJ	pron.pper	?OLD	
were				
looking				
steadfastly				
into				
the				
sky	other	def-np.the	?OLD	
as				
he	SBJ_2	pron.pper	?OLD	
went				
,				
behold				
,				
two				
men	other	indef-np.quant		
stood				
by				
them	other_3	pron.pper	?OLD	
in				
white				
clothing	other_3	indef-np.bare		
,				
who	SBJ_3			
also				
said				
,				
&quot;				
You	OBJ_3	pron.pper	?OLD	
men	other_4	def-np.poss	?OLD	
of				
Galilee	other_5	ne	?OLD	
,				
why				
do				
you	SBJ_6	pron.pper	?OLD	
stand				
looking				
into				
the				
sky	other_7	def-np.the	?OLD	
?			

--
# text = This Jesus, who was received up from you into the sky will come back in the same way as you saw him going into the sky."
This				
Jesus	SBJ	ne	?OLD	
,				
who	SBJ_3			
was				
received				
up				
from				
you	other_3	pron.pper	?OLD	
into				
the				
sky	other_3	def-np.the	?OLD	
will				
come				
back				
in				
the				
same				
way	other	def-np.the	?OLD	
as				
you	SBJ_2	pron.pper	?OLD	
saw				
him	SBJ_3	pron.pper	?OLD	
going				
into				
the				
sky	other_3	def-np.the	?OLD	
.				
&quot;			

# text = Then they returned to Jerusalem from the mountain called Olivet, which is near Jerusalem, a Sabbath day's journey away.
Then				
they	SBJ	pron.pper	?OLD	
returned				
to				
Jerusalem	other	ne	?OLD	
from				
the				
mountain	other_2	def-np.the	?OLD	
called				
Olivet	OBJ_2	ne	?OLD	
,				
which	SBJ_4			
is				
near				
Jerusalem	other_3	ne	?OLD	
,				
a				
Sabbath				
day	other_5	indef-np.a		
's				
journey	other_4	def-np.poss	?OLD	
away				
.			

# text = When they had come in, they went up into the upper room, where they were staying; that is Peter, John, James, Andrew, Philip, Thomas, Bartholomew, Matthew, James the son of Alphaeus, Simon the Zealot, and Judas the son of James.
When				
they	SBJ_2	pron.pper	?OLD	
had				
come				
in				
,				
they	SBJ	pron.pper	?OLD	
went				
up				
into				
the				
upper				
room	other	def-np.the	?OLD	
,				
where				
they	SBJ_3	pron.pper	?OLD	
were				
staying				
;				
that	SBJ_2	pron.pds	?OLD	
is				
Peter	other	ne	?OLD	
,				
John	other_2	ne	?OLD	
,				
James	other_2	ne	?OLD	
,				
Andrew	other_2	ne	?OLD	
,				
Philip	other_2	ne	?OLD	
,				
Thomas	other_2	ne	?OLD	
,				
Bartholomew	other_2	ne	?OLD	
,				
Matthew	other_2	ne	?OLD	
,				
James	other_2	ne	?OLD	
the				
son	other_3	def-np.poss	?OLD	
of				
Alphaeus	other_4	ne	?OLD	
,				
Simon	other_2	ne	?OLD	
the				
Zealot	other_3	ne	?OLD	
,				
and				
Judas				
the				
son	other_2	def-np.poss	?OLD	
of				
James	other_3	ne	?OLD	
.			

# text = All these with one accord continued steadfastly in prayer and supplication, along with the women, and Mary the mother of Jesus, and with his brothers.
All				
these	SBJ	indef-np.a		
with				
one				
accord	other_2	indef-np.quant		
continued				
steadfastly				
in				
prayer	other	indef-np.bare		
and				
supplication	other_2	indef-np.bare		
,				
along				
with				
the				
women	other	def-np.the	?OLD	
,				
and				
Mary	other_2	ne	?OLD	
the				
mother	other_3	def-np.poss	?OLD	
of				
Jesus	other_4	ne	?OLD	
,				
and				
with				
his	other_5	pron.ppos	?OLD	
brothers	other_4	def-np.poss	?OLD	
.			

--
# text = In these days, Peter stood up in the midst of the disciples (and the number of names was about one hundred twenty), and said, \"Brothers, it was necessary that this Scripture should be fulfilled, which the Holy Spirit spoke before by the mouth of David concerning Judas, who was guide to those who took Jesus.
In				
these				
days	other	def-np.dem	?OLD	
,				
Peter	SBJ	ne	?OLD	
stood				
up				
in				
the				
midst	other	def-np.the	?OLD	
of				
the				
disciples	other_2	def-np.the	?OLD	
(				
and				
the				
number	SBJ_2	def-np.the	?OLD	
of				
names	other_3	indef-np.bare		
was				
about				
one				
hundred				
twenty				
)				
,				
and				
said				
,				
&quot;				
Brothers	other_3	ne	?OLD	
,				
it	SBJ_3	pron.pper	?OLD	
was				
necessary				
that				
this				
Scripture	SBJ_4	def-np.dem	?OLD	
should				
be				
fulfilled				
,				
which	SBJ_5	pron.pint		
the				
Holy				
Spirit	other_6	ne	?OLD	
spoke				
before				
by				
the				
mouth	other_5	def-np.poss	?OLD	
of				
David	other_6	ne	?OLD	
concerning				
Judas	other_5	ne	?OLD	
,				
who	SBJ_7			
was				
guide	other_6	indef-np.bare		
to				
those	other_7	pron.pds	?OLD	
who	SBJ_9			
took				
Jesus	OBJ_9	ne	?OLD	
.			

# text = For he was numbered with us, and received his portion in this ministry.
For				
he	SBJ	pron.pper	?OLD	
was				
