# text = 28-Year-Old Chef Found Dead at San Francisco Mall A 28-year-old chef who had recently moved to San Francisco was found dead in the stairwell of a local mall this week.				
28								
-Year	SBJ	indef-np.quant						
_								
Old								
Chef								
Found	SBJ_3	ne	OLD					
Dead								
at								
San	other_3	ne	OLD					
Francisco								
Mall								
A								
28								
_								
year	other_6	indef-np.quant						
_								
old								
chef	other_4	indef-np.a						
who	SBJ_6							
had								
recently								
moved								
to								
San	other_6	ne	OLD					
Francisco								
was								
found					12	found	_	
dead								
in								
the								
stairwell	other	def-np.the	OLD					
of								
a								
local								
mall	other_2	indef-np.a						
this								
week	other	def-np.dem	OLD					
.							
	
--				
# text = But the victim's brother says he can't think of anyone who would want to hurt him, saying, \"Things were finally going well for him.\"				
But					1	But	_	
the					2	the	_	
victim	other_2	def-np.the	OLD		3	victim	_	
's					4	's	_	
brother	SBJ	def-np.poss	OLD		5	brother	set_23	
says					6	says	_	
he	SBJ_2	pron.pper	OLD		7	he	set_23	
ca					8	ca	_	
n't					9	n't	_	
think					10	think	_	
of					11	of	_	
anyone	other_2	pron.pind			12	anyone	_	
who	SBJ_4				13	who	_	
would					14	would	_	
want					15	want	_	
to					16	to	_	
hurt					17	hurt	_	
him	OBJ_5	pron.pper	OLD		18	him	set_15	
,					19	,	_	
saying					20	saying	_	
,					21	,	_	
&quot;					22	''	_	
Things	OBJ_2	indef-np.bare			23	Things	_	
were					24	were	_	
finally					25	finally	_	
going					26	going	_	
well					27	well	_	
for					28	for	_	
him	other_4	pron.pper	OLD		29	him	set_15	
.					30	.	_	
&quot;				31	''	_
		
# text = The body found at the Westfield Mall Wednesday morning was identified as 28-year-old San Francisco resident Frank Galicia, the San Francisco Medical Examiner's Office said.	
The					1	The	_	
body	SBJ	def-np.the	OLD		2	body	_	
found					3	found	_	
at					4	at	_	
the					5	the	_	
Westfield					6	Westfield	_	
Mall					7	Mall	_	
Wednesday					8	Wednesday	_	
morning	other_3	def-np.the	OLD		9	morning	_	
was					10	was	_	
identified					11	identified	_	
as								
28								
_								
year	other_4	indef-np.quant						
_								
old								
San	other_2	ne	OLD					
Francisco								
resident								
Frank								
Galicia								
,								
the					20	the	_	
San					21	San	_	
Francisco					22	Francisco	_	
Medical					23	Medical	_	
Examiner	other_3	ne	OLD					
's					25	's	_	
Office	SBJ_2	ne	OLD					
said					27	said	_	
.				28	.	_
		
# text = The San Francisco Police Department said the death was ruled a homicide and an investigation is ongoing.	
The					1	The	_	
San					2	San	_	
Francisco					3	Francisco	_	
Police					4	Police	_	
Department	SBJ	ne	OLD		5	Department	_	
said					6	said	_	
the					7	the	_	
death	SBJ_2	def-np.the	OLD		8	death	_	
was					9	was	_	
ruled					10	ruled	_	
a					11	a	_	
homicide	SBJ_3	indef-np.a			12	homicide	_	
and					13	and	_	
an					14	an	_	
investigation	other_4	indef-np.a			15	investigation	_	
is					16	is	_	
ongoing					17	ongoing	_	
.				18	.	_
		
# text = The victim's brother, Louis Galicia, told ABC station KGO in San Francisco that Frank, previously a line cook in Boston, had landed his dream job as line chef at San Francisco's Sons & Daughters restaurant six months ago.	
The					1	The	_	
victim	other_2	def-np.the	OLD		2	victim	set_15	
's					3	's	_	
brother	SBJ	def-np.poss	OLD		4	brother	set_23	
,					5	,	_	
Louis	other_2	ne	OLD		6	Louis	_	
Galicia					7	Galicia	_	
,					8	,	_	
told					9	told	_	
ABC					10	ABC	_	
station					11	station	_	
KGO	other	ne	OLD		12	KGO	_	
in					13	in	_	
San	other_2	ne	OLD		14	San	_	
Francisco					15	Francisco	_	
that					16	that	_	
Frank	SBJ_2	ne	OLD		17	Frank	set_15	
,					18	,	_	
previously					19	previously	_	
a					20	a	_	
line					21	line	_	
cook	other_3	indef-np.a			22	cook	_	
in					23	in	_	
Boston	other_3	ne	OLD		24	Boston	_	
,					25	,	_	
had					26	had	_	
landed					27	landed	_	
his	other_3	pron.ppos	OLD		28	his	set_15	
dream					29	dream	_	
