# ID	TEXT	MARKER	TARGET	RELATION
1	Frankie Dettori erreicht auf Predilection seinen 3.000ten Gewinn bei Newmarket	_	_	NoRel
2	Dettori sprüht Champagner nach einem Double bei Newmarket , der ihm 3.000ten Gewinn bringt	(später)	1	after
3	Der Jockey Frankie Dettori sicherte am an dem Freitag seinen 3.000ten britischen Gewinn bei Newmarket .	(anders gesagt)	1	restatement
4	Er setzte auf Predilection , die von John Gosden trainiert wird , auf seiner lokalen Rennstrecke mit seinem zweiten Gewinn der Nacht einen Meilenstein .	(dabei)	3	specific
5	Der 45 jährige Italiener ist der sechste Jockey , der den Meilenstein im in dem Flachrennen erreicht .	(damit)	4	result
6	Er folgt Sir Gordon Richards , Doug Smith , Lester Piggott , Pat Eddry und Willie Carson .	(konkret)	5	specific
7	Der dreimalige Sieger Dettori , der davor auf Ghayyar gewann , sagte : &quot; Es ist etwas Besonderes . &quot;	(konkret)	5	specific
8	Ich bin sehr emotional , weil meine Familie auch hier ist	(und)	7	conjunction
9	Ich bin sehr glücklich darüber , dass es bei Newmarket geschehen ist , weil ich hier vor 30 Jahren gelandet bin .	(außerdem)	8	conjunction
10	Es ist kein großes Treffen , es ist nicht Royal Ascot es ist ein banaler Freitag abend mit 20.000 Leuten .	(obwohl)	9	concession
11	Ich bin erleichtert und sehr bescheiden .	(doch)	10	contrast
12	Dettori nimmt den Jubel auf , als er auf Predilection den Sieg holt	(dabei)	4	synchrony
13	Zwei Jockeys haben den Meilenstein im in dem Hindernisrennen erreicht Jockey Richard Johnson und der pensionierte 20-malige Sieger Sir Anthony McCoy , der mehr als 4.300 Siege in einer rekordbrechenden Karriere erreichte .	(insgesamt)	5	broad
14	Lester Piggott , der neunmalige Derbysieger hatte 4.493 Karrieresiege	(außerdem)	13	conjunction
15	Frankie ist einer der besten Jockey der Moderne und es ist keine Überraschung , dass er diesen Meilenstein erreicht hat , den nur wenige vor ihm erreicht haben .	(insgesamt)	12	broad
16	Er hat Stil und ist stark , aber es ist sein taktischer Intellekt , der ihn von den anderen im in dem Gewichtskontrollraum unterscheidet .	(außerdem)	15	conjunction
17	Er ist ein fantastischer Botschafter für Rennen , sein Enthusiasmus und Charisma begeistert Fans schon seit Jahren für diese Sportart .	(und)	16	conjunction
18	Ich sagte Frankie vor einigen Wochen bei Epsom , dass er bereits 6.000 Gewinne geholt hätte , wenn er nicht nur ein Wochenend und Großturnierjockey wäre !	(auch wenn)	15	concession
19	Frankie hat in GB bereits fast 30 Jahre Gewinner geritten , was toll ist .	(insgesamt)	18	broad
20	Er hat eine lebendige Persönlichkeit , was für ein britisches Rennen gut ist , aber darüber hinaus ist er ein unglaublicher Jockey .	(und)	19	conjunction
21	Frankie Dettori feierte den Meilenstein mit einem typischen Flying Dismount	(danach)	4	after
22	Von Flying Finishes zu Flying Dismounts , Frankie Dettori ist seit zwei Jahrzehnten das Aushängeschild des britischen Flachrennens .	(insgesamt)	21	broad
23	Es war nervenaufreibend .	(konkret)	22	specific
24	Eine ganze Reihe an Großturniergewinnen , einschließlich seiner berühmten &quot; Glorreichen Sieben &quot; 1996 in Ascot , aber er überlebte auch einen Flugzeugabsturz und erhielt ein Drogenverbot .	(auch wenn)	23	expectation-raiser
25	Vor drei Jahren hatte er anfangs Schwierigkeiten , als er von seiner sechsmonatigen Sperre zurückkehrte , aber er zeigte eine beeindruckende charakterliche Stärke , um seinen Zweiflern zu trotzen und zu seiner Bestform zurückzukehren .	vor drei Jahren (später)	24	after
26	Und er ist noch lange nicht am an dem Ende Dettori hat früher einmal gesagt , dass er bei Wettbewerben bis zu seinem mindestens 50.ten Lebensjahr weitermachen will .	und	25	conjunction
