# text = In the beginning God created the heavens and the earth.
In				
the				
beginning				
God	SBJ	ne	?OLD	
created				
the				
heavens	OBJ	def-np.the	?OLD	
and				
the				
earth	other_2	def-np.the	?OLD	
.			

# text = Now the earth was formless and empty.
Now				
the				
earth	SBJ	def-np.the	?OLD	
was				
formless				
and				
empty				
.			

# text = Darkness was on the surface of the deep.
Darkness	SBJ	indef-np.bare		
was				
on				
the				
surface	other	def-np.the	?OLD	
of				
the				
deep	other	def-np.the	?OLD	
.			

# text = God's Spirit was hovering over the surface of the waters.
God	other_2	ne	?OLD	
's				
Spirit	SBJ	ne	?OLD	
was				
hovering				
over				
the				
surface	other	def-np.the	?OLD	
of				
the				
waters	other_2	def-np.the	?OLD	
.			

--
# text = God said, \"Let there be light,\" and there was light.
God	SBJ	ne	?OLD	
said				
,				
&quot;				
Let				
there	OBJ_2	pron	?OLD	
be				
light				
,				
&quot;				
and				
there				
was				
light	SBJ_2	indef-np.bare		
.			

# text = God saw the light, and saw that it was good.
God	SBJ	ne	?OLD	
saw				
the				
light	OBJ	def-np.the	?OLD	
,				
and				
saw				
that				
it	SBJ_3	pron.pper	?OLD	
was				
good				
.			

# text = God divided the light from the darkness.
God	SBJ	ne	?OLD	
divided				
the				
light	OBJ	def-np.the	?OLD	
from				
the				
darkness	other	def-np.the	?OLD	
.			

--
# text = God called the light "day," and the darkness he called "night."
God	SBJ	ne	?OLD	
called				
the				
light	OBJ	def-np.the	?OLD	
&quot;				
day	other	indef-np.bare		
,				
&quot;				
and				
the				
darkness	other	def-np.the	?OLD	
he	SBJ_3	pron.pper	?OLD	
called				
&quot;				
night	other_3	indef-np.bare		
.				
&quot;			

# text = There was evening and there was morning, one day.
There				
was				
evening	SBJ	indef-np.bare		
and				
there				
was				
morning	SBJ_3	indef-np.bare		
,				
one				
day	other_4	indef-np.quant		
.			

--
# text = God said, "Let there be an expanse in the middle of the waters, and let it divide the waters from the waters."
God	SBJ	ne	?OLD	
said				
,				
&quot;				
Let				
there	OBJ_2	pron	?OLD	
be				
an				
expanse	other_2	indef-np.a		
in				
the				
middle	other_3	def-np.the	?OLD	
of				
the				
waters	other_4	def-np.the	?OLD	
,				
and				
let				
it	OBJ_2	pron.pper	?OLD	
divide				
the				
waters	OBJ_3	def-np.the	?OLD	
from				
the				
waters	other_4	def-np.the	?OLD	
.				
&quot;			

# text = God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.
God	SBJ	ne	?OLD	
made				
the				
expanse	OBJ	def-np.the	?OLD	
,				
and				
divided				
the				
waters	OBJ_2	def-np.the	?OLD	
which	SBJ_4			
were				
under				
the				
expanse	other_3	def-np.the	?OLD	
from				
the				
waters	other_4	def-np.the	?OLD	
which	SBJ_6			
were				
above				
the				
expanse	other_5	def-np.the	?OLD	
;				
and				
it	SBJ_2	pron.pper	?OLD	
was				
so				
.			

--
# text = God called the expanse \"sky.\"
God	SBJ	ne	?OLD	
called				
the				
expanse				
&quot;				
sky	OBJ	def-np.the	?OLD	
.				
&quot;			

# text = There was evening and there was morning, a second day.
There				
was				
evening	SBJ	indef-np.bare		
and				
there				
was				
morning	SBJ_3	indef-np.bare		
,				
a				
second				
day	other_4	indef-np.a		
.			

--
# text = God said, "Let the waters under the sky be gathered together to one place, and let the dry land appear;" and it was so.
God	SBJ	ne	?OLD	
said				
,				
&quot;				
Let				
the				
waters	OBJ_2	def-np.the	?OLD	
under				
the				
sky	other_2	def-np.the	?OLD	
be				
gathered				
together				
to				
one				
place	other_3	indef-np.quant		
,				
and				
let				
the				
dry				
land				
appear	OBJ_2	def-np.the	?OLD	
;				
&quot;				
and				
it	SBJ_2	pron.pper	?OLD	
was				
so				
.			

--
# text = God called the dry land "earth," and the gathering together of the waters he called "seas."
God	SBJ	ne	?OLD	
called				
the				
dry				
land				
&quot;				
earth	OBJ	def-np.the	?OLD	
,				
&quot;				
and				
the				
gathering				
together				
of				
the				
