# text = "Even in purely nonreligious terms, homosexuality represents a misuse of the sexual faculty.	1	''	_	
&quot;								
Even					2	Even	_	
in					3	in	_	
purely					4	purely	_	
nonreligious					5	nonreligious	_	
terms	other	indef-np.bare			6	terms	_	
,					7	,	_	
homosexuality	SBJ	indef-np.bare			8	homosexuality	set_3	
represents					9	represents	set_219	
a					10	a	_	
misuse	OBJ	indef-np.a			11	misuse	_	
of					12	of	_	
the					13	the	_	
sexual					14	sexual	_	
faculty	other_2	def-np.the	OLD		15	faculty	_	
.				16	.	_
		
# text = It is a pathetic little second-rate substitute for reality -- a pitiable flight from life.	
It	SBJ	pron.pper	OLD					
is								
a								
pathetic								
little								
second								
_								
rate								
substitute	other	indef-np.a			7	substitute	set_219	
for								
reality	other	indef-np.bare						
_								
a								
pitiable								
flight	other	indef-np.a						
from								
life	other_2	indef-np.bare						
.							
	
--				
# text = As such, it deserves no compassion, it deserves no treatment as minority martyrdom, and it deserves not to be deemed anything but a pernicious sickness."				
As					1	As	_	
such					2	such	_	
,					3	,	_	
it	SBJ	pron.pper	OLD		4	it	set_3	
deserves					5	deserves	set_219	
no					6	no	_	
compassion	OBJ	indef-np.quant			7	compassion	_	
,					8	,	_	
it	SBJ_2	pron.pper	OLD		9	it	set_3	
deserves					10	deserves	_	
no					11	no	_	
treatment	OBJ_2	indef-np.quant			12	treatment	_	
as					13	as	_	
minority					14	minority	_	
martyrdom	other_2	indef-np.bare			15	martyrdom	_	
,					16	,	_	
and					17	and	_	
it	SBJ_2	pron.pper	OLD		18	it	set_3	
deserves					19	deserves	_	
not					20	not	_	
to					21	to	_	
be					22	be	_	
deemed					23	deemed	_	
anything	OBJ_3	pron	OLD		24	anything	_	
but					25	but	_	
a					26	a	_	
pernicious					27	pernicious	_	
sickness	other_4	indef-np.a			28	sickness	_	
.					29	.	_	
&quot;				30	''	_
		
--	
# text = That's from "Time" magazine in 1966, when I was three years old.				
That	SBJ	pron.pds	OLD					
's					4	''	_	
from								
&quot;								
Time								
&quot;								
magazine	other	indef-np.quant			5	magazine	_	
in								
1966								
,								
when								
I	SBJ_2	pron.pper	OLD					
was								
three								
years	other_2	indef-np.quant						
old								
.							
	
# text = And last year, the president of the United States came out in favor of gay marriage.				
And					1	And	_	
last					2	last	_	
year	other	indef-np.bare			3	year	_	
,					4	,	_	
the					5	the	_	
president	SBJ	def-np.poss	OLD		6	president	_	
of					7	of	_	
the					8	the	_	
United					9	United	_	
