# ID	TEXT	MARKER	TARGET	RELATION
1	Royal Bank of Scotland für Kunden außerhalb Schottlands nicht mehr verfügbar	_	_	NoRel
2	Die Marke RBS soll laut dem Vorstandschef der Bank nurmehr auf eine Backoffice Rolle reduziert werden .	(daher)	1	result
3	Die Royal Bank of Scotland wird für Kunden außerhalb Schottlands nicht mehr verfügbar sein .	(anders gesagt)	1	restatement
4	Ross McEwan teilte der BBC Scotland mit , dass die Marke RBS mit den globalen Ambitionen der Bank verbunden waren .	(früher)	2	before
5	Die Bank hat sich seitdem distanziert , als sie vor acht Jahren fast kollabierte und gerettet werden musste .	seitdem	4	after
6	In dieser Zeit haben Markenstrategen &quot; RBS &quot; dazu verwendet , andere Endverbraucherfinanzmarken zu schützen .	in dieser Zeit	5	synchrony
7	Sie unterstützte den internationalen Sport mit Millionen Pfund an Sponsoring , vom von dem Six Nations Rugby bis hin zum zu dem Wimbledon Sieger Andy Murray .	(zum Beispiel)	6	instance
8	Aber jetzt hat sie sich dazu entschieden , mehr nationale Marken in den Fokus zu rücken .	aber	7	contrast
9	Die Royal Bank of Scotland wird nur für Kunden in Schottland verfügbar sein , aber wird nicht initialisiert werden .	(daher)	8	result
10	In England und Wales werden alle RSB Referenzen , der dezentrale Hauptsitz und die Börsennotierung zu NatWest wechseln .	(zu diesem Zweck)	8	enablement
11	Die Marke Ulster Bank wird bereits für Kunden in der Republik Irland und Nordirland verwendet .	(gleichzeitig)	8	synchrony
12	Es gibt andere , kleinere Marken für das Privatkundengeschäft , die mehr Bedeutung erhalten werden Coutts , Adam &amp; Co , Drummond und Holt's Military Bank .	(und)	11	conjunction
13	McEwan wurde während einer Besichtigungstour von Kunden und Mitarbeitern in Inverness-shire interviewt .	McEwan	4	EntRel
14	Er teilte der BBC Scotland mit : &quot; Die Marke RSB wird zu unserer Investorenmarke sowie zu der Marke , unter der unsere Mitarbeiter beschäftigt sein werden , da wir jetzt mehr zu einer Bank von Marken werden . &quot;	(dadurch)	8	achievement
15	Als die Bank selber zu einer globalen Marke wurde , wurde RBS zur zu der globalen Marke .	(früher)	14	before
16	Ich sage jetzt , dass wir keine globalen Ziele , sondern lokale Ziele verfolgen .	(aber jetzt)	15	contrast
17	Jede dieser Marken wird in ihren eigenen Gemeinden für etwas vollkommen anderes stehen und unsere Mitarbeiter werden unter diesen Marken mit den Kunden arbeiten .	(daher)	16	result
18	RBS hat bereits ausgesagt , dass es sein Six Nations Sponsoring nicht mehr fortführen wird und , dass es die Wahrnehmbarkeit der verschiedenen Marken in seinem Sport Sponsoring erhöhen wird .	(zum Beispiel)	16	instance
19	&quot; Es ist Zeit für uns , sich zur zu der Bank der Marken zu entwickeln , denn wie konzentrieren wir uns im in dem Inneren ( wir haben gefragt ) darauf , dies zu einer besseren Bank für Kunden zu machen ? &quot; sagte der Vorstandschef .	(zu diesem Zweck)	17	enablement
20	Es wäre vor drei Jahren sehr zynisch gewesen , wenn wir gesagt hätten , dass wir für unsere Kunden eine tolle Bank sein werden und diese Marken lanciert hätten .	vor drei Jahren	19	before
21	Aber mit unserer Arbeit , dem Fokus auf Kundenbedürfnisse und nicht unsere eigenen , denke ich , wird man viele Veränderungen sehen .	aber	20	contrast
22	Wir können diese Marken wieder lancieren , daher denke ich , dass die Zeit gekommen ist .	(dadurch)	21	achievement
