# ID	TEXT	MARKER	TARGET	RELATION
1	Polizei : 3 Opfer in Serienmörderfall beim bei dem Musikhören im in dem Auto erschossen	_	_	NoRel
2	Laut Polizeiberichten , die am an dem Donnerstag veröffentlicht wurden , wurden zwei Frauen und ein 12 Jahre altes Mädchen erschossen , die in einem der tödlichsten Angriffe seit einem Jahrzehnt im in dem ersten Serienmörderfall von Phoenix umgekommen sind , während sie sich im in dem Auto unterhielten und Musik hörten .	(konkret)	1	specific
3	Angela Rochelle Liner , Stefanie R. Ellis and Ellis Tochter Maleah wurden am an dem 12 .	_	4	fragment
4	Juni erschossen , während das Auto in einer Einfahrt geparkt war , sagten die Behörden .	(nämlich)	2	restatement
5	Der Täter feuerte acht Schüsse aus einer Handfeuerwaffe , während er auf der Beifahrerseite des Autos stand und floh anschließend mit einem anderen Fahrzeug , ist im in dem Bericht zu lesen .	(dabei)	2	specific
6	Die Polizei teilte mit , dass der dreifache Mord nicht das Ergebnis eines Raubüberfalles gewesen zu sein scheint , da der Angreifer nicht die Handtaschen oder die $ 2.900 mitnahm , die sich im in dem Besitz einer der erwachsenen Opfer befanden .	(allerdings)	5	contra-expectation
7	Der Polizeisprecher von Phoenix Sgt .	_	8	fragment
8	Jonathan Howard sagte , dass die Schießerei die Ermittler dazu verleitete , einen näheren Blick darauf zu werden , ob sie mit vier vorherigen Angriffen verbunden ist .	(in Folge)	6	result
9	Insgesamt wurden vorwiegend in hispanischen Wohngegenden innerhalb von vier Monaten in neun Angriffen sieben Personen getötet und zwei weitere verletzt .	insgesamt	8	broad
10	&quot; Es geschieht in einer Wohngegend vor einem Haus , &quot; teilte Howard der KHPO , einer Tochtergesellschaft von CBS , Anfang des Monats mit .	_	9	restatement
11	Es wird angenommen , dass der Verdächtige mehrere Fahrzeuge benutzt hat , einschließlich eines braunen Nissans aus den späten 1990ern , einem schwarzen BMW aus den späten 1990ern und einem weißen Cadillac oder Lincoln .	(konkret)	9	specific
12	Die Ermittler weigerten sich , die Beweise offenzulegen , die sie zu der Schlußfolgerung geführt haben , dass die Angriffe verknüpft sind und von dem selben Mörder begangen wurden .	(allerdings)	8	contra-expectation
13	Ellis , 33 , wurde aufgrund ihrer Verletzungen hospitalisiert und verstarb später .	(danach)	2	after
14	Liner , 31 , und Ellis Tochter Maleah verstarben noch vor Ort .	(währenddessen)	13	synchrony
15	Ein Zeuge teilte der Polizei mit , dass es für sie nicht ungewöhnlich war , in einem geparkten Auto zu sitzen und Musik zu hören .	_	2	EntRel
16	Die Behörden veröffentlichten auch einen Polizeibericht über die Schießerei , die auf einen leeren Pickup Truck eine halbe Stunde vor dem dreifachen Mord abzielte und von dem ausgegangen wird , dass es das Werk des Serienmörders war .	auch	4	conjunction
17	Ermittler fanden Patronenhülsen und sicherten eine Kugel aus dem Sitz sowie Kugelfragmente aus dem Motorraum .	(konkret)	16	specific
