# text = Durante algum tempo interessei-me pelo efeito placebo, o que pode parecer uma coisa estranha para interessar um mágico, a menos que a vejam nos termos que eu vejo, ou seja, uma coisa falsa em que alguém acredita o suficiente ao ponto de se tornar real.				
Durante								
algum								
tempo	other	indef-np						
interessei								
me	OBJ	pron.pper	OLD					
por								
o								
efeito	other	def-np.the	OLD					
placebo								
,								
o	other_2	pron.pds	OLD					
que	SBJ_5							
pode								
parecer								
uma								
coisa	OBJ_5	indef-np.a						
estranha								
para								
interessar								
um								
mágico	OBJ_6	indef-np.a						
,								
a					19	a		
menos								
que								
a	OBJ_7	pron.pper	OLD					
vejam								
em								
os								
termos	other_7	def-np.the	OLD					
que	SBJ_9							
eu	OBJ_9	pron.pper	OLD					
vejo	other_8	indef-np.bare						
,								
ou								
seja								
,								
uma								
coisa	other_9	indef-np.a						
falsa								
em								
que								
alguém	SBJ_11	pron.pind						
acredita								
o								
suficiente	OBJ_11	def-np.the	OLD					
a								
o								
ponto	OBJ_11	def-np.the	OLD					
de								
se								
tornar								
real								
.							
	
# text = Por outras palavras, os comprimidos de açúcar têm um efeito mensurável em certo tipo de estudos — o efeito placebo — apenas porque a pessoa pensa que o lhe está a acontecer é um tratamento farmacêutico ou algum tipo de... para o alívio da dor, por exemplo.				
Por					1	Por		
outras					2	outras		
palavras	other_2	indef-np			3	palavras		
,					4	,		
os					5	os		
comprimidos	SBJ_2	def-np.poss	OLD		6	comprimidos		
de					7	de		
açúcar	other_3	indef-np.bare			8	açúcar		
têm					9	têm		
um					10	um		
efeito	OBJ_2	def-np.poss	OLD		11	efeito		
mensurável					12	mensurável		
em					13	em		
certo					14	certo		
tipo	other_3	def-np.poss	OLD		15	tipo		
de					16	de		
estudos	other_4	indef-np.bare			17	estudos		
—					18	—		
o					19	o		
efeito	SBJ	def-np.the	OLD		20	efeito	set_0	
placebo					21	placebo		
—					22	—		
apenas					23	apenas		
porque					24	porque		
a					25	a		
pessoa	SBJ_3	def-np.the	OLD		26	pessoa	set_4	
pensa					27	pensa		
que					28	que		
o					29	o		
lhe	OBJ_4	pron.pper	OLD		30	lhe	set_4	
está					31	está		
a					32	a		
acontecer					33	acontecer		
é					34	é		
um					35	um		
tratamento	other	indef-np.a			36	tratamento		
farmacêutico					37	farmacêutico		
ou					38	ou		
algum					39	algum		
tipo	other	def-np.poss	OLD		40	tipo		
de					41	de		
...					42	...		
para					43	para		
o					44	o		
alívio	other_2	def-np.poss	OLD		45	alívio		
de					46	.		
a								
dor	other_3	def-np.the	OLD		47	dor		
,								
por					49	por		
exemplo	other_2	indef-np.bare						
.							
	
# text = Se acreditarem mesmo nisso, há um efeito mensurável chamado efeito placebo.				
Se								
acreditarem								
mesmo								
em								
isso	other_2	pron.pds	OLD					
,								
há					58	há		
um								
efeito	OBJ	def-np.poss	OLD					
mensurável								
chamado								
efeito	other_2	indef-np.bare						
placebo								
.							
	
# text = Uma coisa falsa torna-se numa coisa real.				
Uma								
coisa	SBJ	indef-np.a						
falsa								
torna								
se								
em								
uma								
coisa	OBJ	indef-np.a						
real								
.				1	.		
*torna*					4	torna	set_7	
	
# text = devido à perceção que se tem disso.				
devido					1	devido		
a								
a								
perceção	other	def-np.the	OLD					
