# text = Golfer Langer is awarded the Sport Pyramid His experience on horseback is negligible.				
Golfer	SBJ	ne	OLD					
Langer								
is								
awarded								
the								
Sport								
Pyramid								
His	other_3	pron.ppos	OLD					
experience	SBJ_2	def-np.poss	OLD					
on								
horseback	other_3	indef-np.bare						
is								
negligible								
.							

# text = At the end of a golfing tournament in South Africa, Bernhard Langer and a colleague went for a ride along the beach for a bit of fun.				
At					1	At	_	
the					2	the	_	
end	other	def-np.the	OLD		3	end	_	
of					4	of	_	
a					5	a	_	
golfing					6	golfing	_	
tournament	other_2	indef-np.a			7	tournament	_	
in					8	in	_	
South					9	South	_	
Africa	other_3	ne	OLD		10	Africa	_	
,					11	,	_	
Bernhard	other_2	ne	OLD		12	Bernhard	set_14	
Langer					13	Langer	_	
and					14	and	_	
a					15	a	_	
colleague	other_2	indef-np.a			16	colleague	_	
went					17	went	_	
for					18	for	_	
a					19	a	_	
ride	other	indef-np.a			20	ride	_	
along					21	along	_	
the					22	the	_	
beach	other_2	def-np.the	OLD		23	beach	_	
for					24	for	_	
a					25	a	_	
bit	other	indef-np.a			26	bit	_	
of					27	of	_	
fun	other_2	indef-np.bare			28	fun	_	
.				29	.	_
		
# text = It was a first for the 58-year-old.	
It	SBJ	pron.pper	OLD		1	It	_	
was					2	was	_	
a					3	a	_	
first					4	first	_	
for								
the								
58					10	58	_	
_								
year	other_2	indef-np.quant						
_								
old								
.				12	.	_
		
--	
# text = CHIO: "Golden Sport Pyramid" for Bernhard Langer				
CHIO					1	CHIO	_	
:					2	:	_	
&quot;					3	''	_	
Golden					4	Golden	_	
Sport					5	Sport	_	
Pyramid	other	ne	OLD		6	Pyramid	_	
&quot;					7	''	_	
for					8	for	_	
Bernhard	other_2	ne	OLD		9	Bernhard	set_14	
Langer				10	Langer	_
		
# text = After a few minutes, the horse decided it wanted to go home, and raced back to its feeding trough at full tilt.				
After								
a								
few								
minutes	other	indef-np.a						
,								
the								
horse	SBJ	def-np.the	OLD					
decided								
it	SBJ_2	pron.pper	OLD					
wanted								
to								
go								
home								
,								
and								
raced								
back								
to								
its	other_5	pron.ppos	OLD					
feeding	other_4	def-np.poss	OLD					
trough								
at								
full								
tilt	other_6	indef-np.bare						
.							
	
# text = After a kilometre at this speed I was scared.				
After					1	After	_	
a					2	a	_	
kilometre	other	indef-np.a			3	kilometre	_	
at					4	at	_	
this					5	this	_	
speed	other_2	def-np.dem	OLD		6	speed	_	
I	SBJ	pron.pper	OLD		7	I	_	
was					8	was	_	
scared					9	scared	_	
.				10	.	_
		
--	
# text = "It wasn't a good experience," said Langer.	1	''	_	
&quot;								
It	SBJ_2	pron.pper	OLD		2	It	set_2	
was					3	was	_	
n't					4	n't	_	
a					5	a	_	
good					6	good	_	
experience	other	indef-np.a			7	experience	_	
,					8	,	_	
&quot;					9	''	_	
said					10	said	_	
Langer	SBJ	ne	OLD		11	Langer	set_14	
.				12	.	_
		
# text = And with that, his riding career came to an end again.	
And					1	And	_	
with					2	with	_	
that	other	pron.pds	OLD		3	that	_	
,					4	,	_	
his	other_2	pron.ppos	OLD		5	his	set_14	
riding					6	riding	_	
career	SBJ	def-np.poss	OLD		7	career	_	
came					8	came	_	
to					9	to	_	
an					10	an	_	
end	other	indef-np.a			11	end	_	
again					12	again	_	
.				13	.	_
		
# text = On Saturday, Germany's best golfer of all time - with 101 tournament wins under his belt - was once again near horses.	
On					1	On	_	
Saturday	other	ne	OLD		2	Saturday	_	
,					3	,	_	
Germany	other_2	ne	OLD		4	Germany	_	
's					5	's	_	
best					6	best	_	
golfer	SBJ	def-np.poss	OLD		7	golfer	set_14	
of					8	of	_	
all					9	all	_	
time	other_2	indef-np.a			10	time	_	
_					11	_	_	
with					12	with	_	
101					13	101	_	
tournament	other_2	indef-np.quant			14	tournament	_	
wins					15	wins	_	
under					16	under	_	
his	other_2	pron.ppos	OLD		17	his	set_14	
belt	other	def-np.poss	OLD		18	belt	_	
_					19	_	_	
was					20	was	_	
once					21	once	_	
