# ID	TEXT	MARKER	TARGET	RELATION
1	Weshalb wir Simone , Gabby und Laurie brauchen	weshalb	33	result
2	Das ist , was ich mir unter der Frauenolympiamannschaft im in dem Turnen vorstelle und das aus mehr als einem Grund .	(kurz gesagt)	1	broad
3	Erstens bin ich seit 1984 bei jeder Sommerolympiade dabei und die USA waren noch nie so dominant .	erstens	2	specific
4	Und zweitens : Diese Mannschaft hat drei Turnerinnen , Simone Biles , Gabby Douglas und Lauren &quot; Laurie &quot; Hernandez , die für viele junge Mädchen anderer Hautfarbe inspirierend wirkten .	und zweitens	3	conjunction
5	Die Struktur dieser Mannschaft , die Aly Raisman , die Jüdin ist und Madison Kocian , die Katholikin ist , abrunden , macht jeden stolz .	(konkret)	4	specific
6	Diese Mannschaft spiegelt endlich die USA wider .	(nämlich)	5	restatement
7	Es hat die schwarze und hispanische weibliche Anwesenheit an der Spitze dieser Sportart verfestigt .	(konkret)	4	specific
8	In den letzten vier Jahren war die Nummer eins unter der weiblichen Turnerinnen eine Afro Amerikanerin .	in den letzten vier Jahren	7	before
9	Letztes Jahr waren Simone und Gabby und .	letztes Jahr	8	after
10	Das zeigt Stärke .	(nämlich)	9	restatement
11	Bei den letzten Olympischen Spielen war Gabby Douglas eine überraschende Olympiagewinnerin und Amerika jubelte .	bei den letzten Olympischen Spielen	9	synchrony
12	Jetzt war die Welt in der Lage , Zeuge der unglaublichen Leistung der dreifachen Weltmeisterin Simone Biles , Douglas und Laurie Hernandez zu sein , wie sie unerwartete , doch meisterhafte Gymastikroutinen lieferten .	jetzt	11	after
14	Mannschaftmitglied Aly Raisman gewann Silber .	(außerdem)	12	conjunction
15	Wir erleben die Spitze dieser Sportart , aber so sehen Turnklassen im in dem ganzen Land nicht aus .	(dadurch)	12	achievement
16	Simone , Gabby und Laurie schlugen alle den gleichen Weg wie Aly und Madison ein , um es ins in das olympische Team zu schaffen .	(früher)	12	before
17	Sie sind die &quot; Letzten Fünf &quot; , weil die nächste Olympiamannschaft nur vier Turnerinnen in der Mannschaft haben wird .	(jetzt)	16	after
18	Außerdem ist das das letzte Jahr mit Marta Karolyi als Trainerin .	außerdem	17	conjunction
19	Aber die Realität sieht so aus , dass Turnen ein teurer Sport ist und Turner in erster Linie in privaten Turnvereinen , die von Eltern aufrechterhalten werden , die für die Trainings , Einrichtungs , Reise Bekleidungs , Wettbewerbs und Hotelkosten ( für die Trainer und deren Turner und Familien ) aufkommen .	aber	15	contrast
20	Die Liste lässt sich beliebig fortsetzen .	(insgesamt)	19	broad
21	Die Mehrheit dieser Turnvereine liegen in wohlhabenden Vororten , die das Geschäft unterstützen können .	(konkret)	19	specific
22	In diesen Vereinen erhalten die Turner ihr gesamtes Training und das ist für die Familien ein teures und langfristiges Engagement .	(konkret)	21	specific
23	Aimee Boorman , Trainerin von Simone Biles , und Maggie Haney , Trainerin von Laurie Hernandez , haben beide ihre Athleten trainiert , seitdem sie mit dem Turnen angefangen haben .	(währenddessen)	16	synchrony
24	Wir müssen den Gemeinden aun unzähligen , jungen Mädchen , die von Simone , Gabby und Laurie inspiriert werden , ein leistbareres und leichter zugängliches Turntrainung ermöglichen .	(aber)	22	contrast
25	Ich habe meine Turnstiftung von 20 Jahren gegründet .	(zu diesem Zweck)	24	goal
26	Bei meinen Veranstaltungen haben wir kostenloses und erschwingliches Turnen in Harlem für über 15.000 urbane Jugendliche ( vor allem schwarze und hispanische ) geboten und nationale und internationale Sieger trainiert .	(konkret)	25	specific
28	Turnen entwickelt Stärke , Flexibilität und Koordination für den Körper sowie harte Arbeit , Disziplin und Bestimmtheit für den Geist .	(generell)	26	set
29	Diese Kombination bietet lebenslange Vorteile für die Gesundheit sowie für den schulischen und beruflichen Erfolg .	(als Folge)	28	result
30	Es ist die Inspiration dieser Mannschaft , die tausende junge Mädchen dazu bringen , sich für das Turnen zu interessieren und das ist toll .	(speziell)	28	instance
31	Es ist so wichtig , am an dem Sport teilzunehmen , vor allem für Mädchen .	(daher)	29	result
32	Das ist eine so spannende Zeit .	(insgesamt)	30	broad
33	Danke Simone , Aly , Laurie , Gabby und Madison für diese echte Darstellung von &quot; Girl Power &quot; durch das Holen des olympischen Mannschaftsgolds und danke , fass ihr so viele junge Mädchen mit unterschiedlichem Hintergrund motiviert , um ihren Weg zu beginnen , gesunde , starke und erfolgreiche junge Frauen zu werden .	(wegen, mit umformulierung)	1	reason
