# ID	TEXT	MARKER	TARGET	RELATION
1	Simone Biles schafft Gold im in dem Damenturnen	_	_	NoRel
2	Vergessen Sie den Druck .	(und)	3	conjunction
3	Vergessen Sie den Hype .	(und)	2	conjunction
4	Simone Biles ist auf all das immun .	(denn)	2	reason
5	Dynamisch auf dem Sprungpferd .	(konkret)	4	specific
6	Mühelos auf dem Balken .	(und)	5	conjunction
7	Atemberaubend auf dem Boden .	(und)	6	conjunction
8	Auf ganzer Linie brilliant .	(insgesamt)	7	broad
9	Und jetzt endlich auch Olympiasiegerin .	und jetzt (infolgedessen)	8	result
10	Die 19- jährige amerikanische Turnerin erklomm am an dem Donnerstag zum zu dem Mehrkampftitel und vergrößerte die Lücke zwischen sich und dem Rest der Welt vor aller Augen unter dem Scheinwerferlicht der Olympischen Spiele .	(konkret)	9	specific
11	Ihr Gesamtergebnis von 62,198 lag eindeutig vor der Silbermedaillengewinner und &quot; Final Five &quot; Mannschaftskameradin Aly Raisman und der russischen Bronzemedaillengewinnerin Aliya Mustafina .	(konkret)	10	specific
12	Die Amerikanerinnen Simone Biles turnt auf dem Schwebebalken während des Einzelmehrkampffinales der Frauen im in dem Kunstturnen bei den Olympischen Sommerspielen in Rio de Janeiro 2016 , Brasilien , Donnerstag .	(indem)	10	means
13	Biles ist die vierte heterosexuelle Amerikanerin , die einen Mehrkampftitel gewinnt und insgesamt die fünfte , während sie ihren Ruf festigt , die Beste ihrer Generation oder sogar überhaupt zu sein .	(insgesamt)	12	broad
14	Sie brach in Tränen aus , als ihr Endergebnis gezeigt wurde und ihre lange Reise in diesem Moment ein Ende fand .	(danach)	12	after
15	Dieser Erfolg stellt sie in dieselbe Liga wie einzigartige Athleten wie Michael Phelps , die ihre Sportarten zu neuen Höhen gebracht habe :	(dadurch)	13	result
16	Biles hat die letzten drei Jahre ihre Sportart dominiert , 15 Weltmeistermedaillen einschließlich 10 Goldmedaillen mit so erstaunlichen Übungen gewonnen , die eine Mischung aus Ehrgeiz und Präzision beinhalten , dass die Olympiasiegerin von 1984 Mary Lou Retton von ihr sagte , dass sie &quot; die beste Turnerin ist , die ich jemals gesehen habe . &quot;	(zuvor)	15	before
17	Es erwartete sie eine letzte Prüfung in Brasilien , ein Wettbewerb , der nicht so sehr zwischen Biles und dem Rest der Athleten ging , sondern vielmehr zwischen ihr und einer Last überdimensionierter Erwartungen .	(anschließend)	16	after
18	Nicht mit einer Handvoll Gold zurück zur zu der Familie in Spring , Texas zurückkehren , wäre als Enttäuschung angesehen werden .	(konkret)	17	specific
19	Die Amerikanerinnen Simone Biles , links , und Aly Raisman umarmen sich , nachdem sie jeweils Gold und Silber im in dem Einzelmehrkampffinale der Frauen im in dem Kunstturnen bei den Olympischen Sommerspielen 2016 in Rio de Janeiro , Brasilien , Donnerstag , gewonnen haben	(im Anschluss)	11	after
20	Biles holte die erste Medaille am an dem Dienstag , während sie auf der Abschiedsfeier der sich in Ruhestand begehenden Mannschaftskoordinatorin Martha Karolyi als Ausrufezeichen diente .	am Dienstag (zuvor)	1	before
21	Obwohl Biles darauf bestand , während ihres langen Wegs auf die Spitze , nie die Zukunft geplant zu haben , ist das nicht wirklich wahr .	Biles	20	EntRel
22	Ein Teil ihrer Bodenübungen die ihren typischen Tumbling Pass enthalten ist auf lateinamerikanische Musik abgestimmt , das zuhause auf der Straße außerhalb der Olympiaarena in Rio passen würde .	(konkret)	21	specific
23	Das ist kein Zufall .	(und)	22	conjunction
24	Dieses Mädchen , das von ihren Großeltern als kleines Kind adoptiert und von Trainerin Aimee Boormans Mutter während eines Schulausflugs in die Turnhalle entdeckt wurde , in der Boorman trainierte , wurde zur zu der Kraft .	(denn)	23	reason
25	Sie hat seit dem Sommer 2013 keinen Mehrkampfwettbewerb mehr verloren , eine Siegesserie , die so lange anhalten wird , wie es Biles wünscht .	seit dem Sommer 2013	24	after
26	Auch wenn Mustafina durch zwei Drehungen leicht führte , trügte das Bild .	(zuvor)	27	before
27	Schwebebalken und Bodenturnen in denen Biles den Weltmeistertitel hält lauerten .	(denn)	26	reason
28	Sie holte wieder mit 15,433 auf dem Schwebebalken wieder auf und setzte mit einem 15,933 auf dem Boden noch einen darauf .	(dadurch)	27	achievement
29	Raisman umarmte sie sanft als sie ihr Endergbnis erwarteten eine reine Formalität und Tränen strömten auf Biles glänzend roten , weißen und blauen Eyeliner , als die Vision , die sie einst in ihrem Sammelbuch beschrieb , zur zu der Wirklichkeit wurde .	(im Anschluss)	28	after
30	Die Leistung Raismans war eine Rache für das letzte Mal vor vier Jahren , als sie um den dritten Platz kämpfte , aber die Bronzemedaille in einem Tiebrake an Mustafina ging .	(außerdem)	28	conjunction
31	Dieses Mal hatte die 22 jährige Mannschaftskapitänin , die von den Amerikanern &quot; Oma &quot; genannt wird , einen Vorsprung .	(konkret)	30	specific
32	Nach ihrer Bodenübung warf sie dem Publikum Kusshände zu , überwältigt von einem Comeback , das manchmal zweifelhaft erschien .	(im Anschluss)	31	after
33	Was Biles betrifft , so hat der sich schnell ausbreitende Tweet der 19- Jährigen von Anfang dieser Woche eine ganz neue Bedeutung :	(insgesamt)	1	broad
