# text = Pokémon				
Pokémon	other	ne	OLD	1	Pokémon	
		
# text = Go a worthy hunt for health and happiness	
Go					1	Go	set_15	
a								
worthy								
hunt	OBJ	indef-np.a						
for								
health	other_2	indef-np.bare						
and								
happiness	other_3	indef-np.bare					
	
# text = It is fascinating to see how the world turns.				
It					1	It		
is					2	is		
fascinating					3	fascinating		
to					4	to		
see					5	see		
how					6	how		
the					7	the		
world					8	world		
turns	other_2	def-np.the	OLD		9	turns		
.				10	.	
		
# text = That teenagers and children do not get outside to play any more, preferring to spend their free time looking at screens, has been the lament of many for the the past decade.	
That					1	That		
teenagers	SBJ	def-np.dem	OLD		2	teenagers	set_0	
and					3	and		
children	other_2	indef-np.bare			4	children		
do					5	do		
not					6	not		
get					7	get		
outside					8	outside		
to					9	to		
play					10	play		
any					11	any		
more					12	more		
,					13	,		
preferring					14	preferring		
to					15	to		
spend					16	spend		
their	other_5	pron.ppos	OLD		17	their	set_0	
free					18	free		
time	OBJ_4	def-np.poss	OLD		19	time		
looking					20	looking		
at					21	at		
screens	other_5	indef-np.bare			22	screens		
,					23	,		
has					24	has		
been					25	been		
the					26	the		
lament	other	def-np.the	OLD		27	lament		
of					28	of		
many					29	many		
for					30	for		
the					31	the		
the					32	the		
past					33	past		
decade	other_2	def-np.the	OLD		34	decade		
.				35	.	
		
# text = Pokemon	
Pokemon	other	ne	OLD	1	Pokemon	set_15
		
# text = Go is getting people off the couch and into some activity.	
Go	SBJ	ne	OLD					
is								
getting					3	getting		
people	OBJ	indef-np.bare						
off								
the								
couch	other	def-np.the	OLD					
and								
into								
some								
activity	other	indef-np.quant						
.							
	
# text = Screen time was initially limited to the television then video games and more recently smartphones.				
Screen					1	Screen		
time	SBJ	indef-np.bare			2	time		
was					3	was		
initially					4	initially		
limited					5	limited		
to					6	to		
the					7	the		
television	other	def-np.the	OLD		8	television		
then					9	then		
video					10	video		
games	other_2	indef-np.bare			11	games		
and					12	and		
more					13	more		
recently					14	recently		
smartphones	other_3	indef-np.bare			15	smartphones		
.				16	.	
		
# text = So it is great to see that technology and being active outdoors are not mutually exclusive.	
So					1	So		
it					2	it		
is					3	is		
great					4	great		
to					5	to		
see					6	see		
that					7	that		
technology	OBJ_2	def-np.dem	OLD		8	technology		
and					9	and		
being					10	being		
active					11	active		
outdoors					12	outdoors		
are					13	are		
not					14	not		
mutually					15	mutually		
exclusive					16	exclusive		
.				17	.	
		
# text = I am of course referring to the craze that is Pokémon Go, an app based on the characters first created for video games in the 1990s (it later spawned a cartoon series, playing cards and other spin offs).	
I	SBJ	pron.pper	OLD		1	I		
am					2	am		
of					3	of		
course					4	course		
referring					5	referring		
to					6	to		
the					7	the		
craze	other	def-np.the	OLD		8	craze		
that	SBJ_3				9	that		
is					10	is		
Pokémon	other_2	ne	OLD		11	Pokémon	set_15	
Go					12	Go		
,					13	,		
an					14	an		
app	other_3	indef-np.a			15	app		
based					16	based		
on					17	on		
the					18	the		
characters	other_4	def-np.the	OLD		19	characters		
first					20	first		
created					21	created		
for					22	for		
video					23	video		
games	other_6	indef-np.bare			24	games		
in					25	in		
the					26	the		
1990s	other_7	def-np.the	OLD		27	1990s		
(					28	(		
it	SBJ_4	pron.pper	OLD		29	it		
later					30	later		
spawned					31	spawned		
a					32	a		
cartoon					33	cartoon		
series	OBJ_4	indef-np.a			34	series		
,					35	,		
playing					36	playing		
cards	OBJ_5	indef-np.bare			37	cards		
and					38	and		
other					39	other		
spin					40	spin		
offs	other_6	indef-np.bare			41	offs		
)					42	)		
.				43	.	
		
# text = Like many pop cultural phenomena it had gone off the boil somewhat before this new game was made available in the US, Australia and New Zealand in early July.	
Like					1	Like		
many					2	many		
pop	other_3	indef-np.bare			3	pop		
cultural					4	cultural		
phenomena	other	indef-np.quant			5	phenomena		
it	SBJ	pron.pper	OLD		6	it	set_15	
had					7	had		
gone					8	gone		
off					9	off		
the					10	the		
boil	other	def-np.the	OLD		11	boil		
somewhat					12	somewhat		
before					13	before		
this					14	this		
new					15	new		
game	SBJ_2	def-np.dem	OLD		16	game	set_15	
was					17	was		
made					18	made		
available					19	available		
in					20	in		
the					21	the		
US	other_2	ne	OLD		22	US		
,					23	,		
Australia	other_3	ne	OLD		24	Australia		
and					25	and		
New					26	New		
Zealand	other_3	ne	OLD		27	Zealand		
in					28	in		
early					29	early		
July	other_2	ne	OLD		30	July		
.				31	.	
		
# text = The launch in other countries was then delayed by the massive response, which overloaded servers.	
The					1	The		
launch	SBJ	def-np.the	OLD		2	launch		
in					3	in		
other					4	other		
countries	other_2	indef-np.bare			5	countries		
was					6	was		
then					7	then		
delayed					8	delayed		
by					9	by		
the					10	the		
massive					11	massive		
response	other	def-np.the	OLD		12	response	set_2	
,					13	,		
which	SBJ_3				14	which	set_2	
overloaded					15	overloaded		
servers	other_2	indef-np.bare			16	servers		
.				17	.	
		
# text = Within days, Pokémon	
Within					1	Within		
days	other	indef-np.bare			2	days		
,					3	,		
Pokémon	other	ne	OLD	4	Pokémon	set_15
		
# text = Go had more users than Tinder and nearly as many as Twitter.	
Go	SBJ	ne	OLD					
had					2	had		
more								
users	OBJ	indef-np.bare						
than					5	than		
Tinder	other_2	indef-np.quant						
and								
nearly								
as								
many					10	many		
as								
Twitter	other_4	ne	OLD					
.							
	
# text = So how does it work?				
So					1	So		
how					2	how		
does					3	does		
it	SBJ	pron.pper	OLD		4	it	set_15	
work					5	work		
?				6		
		
# text = In a nutshell, players on smartphones go out looking for Pokémons, which are tracked with a GPS and, once found, can be 'photographed' (via a screenshot on your phone) or 'captured'.	
In					1	In		
a					2	a		
nutshell	other	indef-np.a			3	nutshell		
,					4	,		
players	SBJ	indef-np.bare			5	players		
on					6	on		
smartphones	other_2	indef-np.bare			7	smartphones		
go					8	go		
out					9	out		
looking					10	looking		
for					11	for		
Pokémons	other_2	indef-np.bare			12	Pokémons		
,					13	,		
which	SBJ_4				14	which		
are					15	are		
tracked					16	tracked		
with					17	with		
a					18	a		
GPS	other_4	indef-np.a			19	GPS		
and					20	and		
,					21	,		
once					22	once		
found					23	found		
,								
can								
be								
'					28	'		
photographed								
'								
(								
via								
a								
screenshot	other	indef-np.a			32	screenshot		
on								
your	other_3	pron.ppos	OLD					
phone	other_2	def-np.poss	OLD					
)								
or					37	or		
'					39	'		
captured								
'								
.				40	.	
		
# text = A generation who played the game when younger have joined the craze, jumping off the couch for the search.	
A					1	A		
generation	SBJ	indef-np.a			2	generation		
who	SBJ_3				3	who		
played					4	played		
the					5	the		
game	OBJ_3	def-np.the	OLD		6	game	set_15	
when					7	when		
younger					8	younger		
have					9	have		
joined					10	joined		
the					11	the		
craze	OBJ	def-np.the	OLD		12	craze		
,					13	,		
jumping					14	jumping		
off					15	off		
the					16	the		
couch	other_2	def-np.the	OLD		17	couch		
for					18	for		
the					19	the		
search	other_2	def-np.the	OLD		20	search		
.				21	.	
		
--	
# text = In the US, the game has led to a significant increase in the number of steps taken by the "average" person each day.				
In					1	In		
the					2	the		
US	other	ne	OLD		3	US		
,					4	,		
the					5	the		
game	SBJ	def-np.the	OLD		6	game	set_15	
has					7	has		
led					8	led		
to					9	to		
a					10	a		
significant					11	significant		
increase	other	indef-np.a			12	increase		
in					13	in		
the					14	the		
number	other_2	def-np.the	OLD		15	number		
of					16	of		
steps	other_3	indef-np.bare			17	steps		
taken					18	taken		
by					19	by		
the					20	the		
&quot;					21	''		
average					22	average		
&quot;					23	''		
person	other_5	def-np.the	OLD		24	person		
each					25	each		
day	other_5	indef-np			26	day		
.				27	.	
		
# text = Cardiogram, an app for the Apple Watch that tracks 35,000 users, told the Washington Post recently that within two days of the game launching, the number of people it tracked who did 30 minutes of exercise each day jumped from 45 per cent to 53 per cent.	
Cardiogram	SBJ	ne	OLD		1	Cardiogram	set_4	
,					2	,		
an					3	an		
app	other_2	indef-np.a			4	app		
for					5	for		
the					6	the		
Apple					7	Apple		
Watch	other_3	ne	OLD		8	Watch		
that	SBJ_5				9	that	set_4	
tracks					10	tracks		
35,000					11	35,000		
users	OBJ_5	indef-np.quant			12	users		
,					13	,		
told					14	told		
the					15	the		
Washington					16	Washington		
Post	OBJ	ne	OLD		17	Post		
recently					18	recently		
that					19	that		
within					20	within		
two					21	two		
days	other	indef-np.quant			22	days		
of					23	of		
the					24	the		
game	other_2	def-np.the	OLD		25	game	set_15	
launching					26	launching		
,					27	,		
the					28	the		
number	OBJ	def-np.the	OLD		29	number		
of					30	of		
people	other_2	indef-np.bare			31	people		
it	SBJ_4	pron.pper	OLD		32	it	set_4	
tracked					33	tracked		
who	OBJ_5	pron.pint			34	who		
did					35	did		
30					36	30		
minutes	SBJ_5	indef-np.quant			37	minutes		
of					38	of		
exercise	other_6	indef-np.bare			39	exercise		
each					40	each		
day	other_6	indef-np			41	day		
jumped					42	jumped		
from					43	from		
45					44	45		
per					45	per		
cent	other_5	indef-np.quant			46	cent		
to					47	to		
53					48	53		
per					49	per		
cent	other_5	indef-np.quant			50	cent		
.				51	.	
		
# text = The company does not know who is playing Pokémon Go - it just sees raw data on exercise levels.	
The					1	The		
company	SBJ	def-np.the	OLD		2	company	set_5	
does					3	does		
not					4	not		
know					5	know		
who	SBJ_2				6	who		
is					7	is		
playing					8	playing		
Pokémon					9	Pokémon		
Go	OBJ_2	ne	OLD		10	Go	set_15	
_					11			
it	SBJ_2	pron.pper	OLD		12	it	set_5	
just					13	just		
sees					14	sees		
raw					15	raw		
data	OBJ_2	indef-np.bare			16	data		
on					17	on		
exercise					18	exercise		
levels	other_3	indef-np.bare			19	levels		
.				20	.	
		
--	
# text = Many public health campaigns to get people to "find 30," "get off the couch" and "be active everyday" have fallen on deaf ears because most public health messages are boring and delivered by people who look miserable.				
Many					1	Many		
public					2	public		
health	SBJ	indef-np.quant			3	health		
campaigns					4	campaigns		
to					5	to		
get					6	get		
people	OBJ_2	indef-np.bare			7	people		
to					8	to		
&quot;					9	''		
find					10	find		
30					11	30		
,					12	,		
&quot;					13	''		
&quot;					14	''		
get					15	get		
off					16	off		
the					17	the		
couch	other_5	def-np.the	OLD		18	couch		
&quot;					19	''		
and					20	and		
&quot;					21	''		
be					22	be		
active					23	active		
everyday	SBJ_2	indef-np.bare			24	everyday		
&quot;					25	''		
have					26	have		
fallen					27	fallen		
on					28	on		
deaf					29	deaf		
ears	other_2	indef-np.bare			30	ears		
because					31	because		
most					32	most		
public					33	public		
health					34	health		
messages	SBJ_2	indef-np.bare			35	messages		
are					36	are		
boring					37	boring		
and					38	and		
delivered					39	delivered		
by					40	by		
people	other_3	indef-np.bare			41	people		
who	SBJ_5				42	who		
look					43	look		
miserable					44	miserable		
.				45	.	
		
# text = Yet the importance of exercise cannot be understated.	
Yet					1	Yet		
the					2	the		
importance	SBJ	def-np.the	OLD		3	importance		
of					4	of		
exercise	other_2	indef-np.bare			5	exercise		
can					6	can		
not					7	not		
be					8	be		
understated					9	understated		
.				10	.	
		
# text = Those who exercise regularly reduce their chances of getting cancer or depression.	
Those	SBJ	pron.pds	OLD		1	Those	set_13	
who	SBJ_3				2	who		
exercise					3	exercise		
regularly					4	regularly		
reduce					5	reduce		
their	other_2	pron.ppos	OLD		6	their	set_13	
chances	OBJ	def-np.poss	OLD		7	chances		
of					8	of		
getting					9	getting		
cancer	OBJ_2	indef-np.bare			10	cancer		
or					11	or		
depression	other_3	indef-np.bare			12	depression		
.				13	.	
		
# text = Activity helps with weight management, high blood pressure, diabetes and a long list of benefits too long to list here.	
Activity	SBJ	indef-np.bare			1	Activity		
helps					2	helps		
with					3	with		
weight					4	weight		
management	other	indef-np.bare			5	management		
,					6	,		
high					7	high		
blood					8	blood		
pressure	other_2	indef-np.bare			9	pressure		
,					10	,		
diabetes	other_3	indef-np.bare			11	diabetes		
and					12	and		
a					13	a		
long					14	long		
list	other_2	indef-np.a			15	list		
of					16	of		
benefits	other_3	indef-np.bare			17	benefits		
too					18	too		
long					19	long		
to					20	to		
list					21	list		
here					22	here		
.				23	.	
		
# text = But the beauty of Pokémon	
But					1	But		
the					2	the		
beauty	other	def-np.poss	OLD		3	beauty		
of					4	of		
Pokémon	other	ne	OLD	5	Pokémon	set_15
		
# text = Go is it gets people outside doing something they enjoy.	
Go	SBJ	ne	OLD					
is								
it	SBJ	pron.pper	OLD					
get					4	get		
s								
people	OBJ	indef-np.bare						
outside								
doing								
something	OBJ_3	pron	OLD					
they	SBJ_5	pron.pper	OLD					
enjoy					11	enjoy		
.							
	
# text = Thus you are covering three pillars of health - movement, fresh air and sunshine, and fun.				
Thus					1	Thus		
you	SBJ	pron.pper	OLD		2	you		
are					3	are		
covering					4	covering		
three					5	three		
pillars	OBJ	indef-np.quant			6	pillars		
of					7	of		
health					8	health		
_					9			
movement	other_2	indef-np.bare			10	movement		
,					11	,		
fresh					12	fresh		
air	other_2	indef-np.bare			13	air		
and					14	and		
sunshine	other_2	indef-np.bare			15	sunshine		
,					16	,		
and					17	and		
fun	other	indef-np.bare			18	fun		
.				19	.	
		
# text = Some people are even making new friends on the hunt.	
Some					1	Some		
people	SBJ	indef-np.quant			2	people		
are					3	are		
even					4	even		
making					5	making		
new					6	new		
friends	OBJ	indef-np.bare			7	friends		
on					8	on		
the					9	the		
hunt	other	def-np.the	OLD		10	hunt		
.				11	.	
		
# text = As usual there are po-faced killjoys looking for something to complain about.	
As					1	As		
usual					2	usual		
there					3	there		
are					4	are		
po-faced					5	po-faced		
killjoys	SBJ	indef-np.bare			6	killjoys		
looking					7	looking		
for					8	for		
something	other_3	pron	OLD		9	something		
to					10	to		
complain					11	complain		
about					12	about		
.				13	.	
		
# text = And yes somebody might walk into a door.	
And					1	And		
yes					2	yes		
somebody	SBJ	pron	OLD		3	somebody		
might					4	might		
walk					5	walk		
into					6	into		
a					7	a		
door	other	indef-np.a			8	door		
.				9	.	
		
# text = So what?	
So					1	So		
what	other	pron.pint			2	what		
?				3		
		
# text = A breakthrough has occurred.	
A					1	A		
breakthrough	SBJ	indef-np.a			2	breakthrough		
has					3	has		
occurred					4	occurred		
.				5	.	
		
# text = For while smartphone apps like Fitbit could previously track our activity, they didn't give us a reason to exercise like this game does.	
For					1	For		
while					2	while		
smartphone					3	smartphone		
apps	SBJ_2	indef-np.quant			4	apps	set_6	
like					5	like		
Fitbit	other_3	indef-np.bare			6	Fitbit		
could					7	could		
previously					8	previously		
track					9	track		
our	other_3	pron.ppos	OLD		10	our		
activity	OBJ_2	def-np.poss	OLD		11	activity		
,					12	,		
they	SBJ	pron.pper	OLD		13	they	set_6	
