# text = Ich bin Jane McGonigal.				
Ich	SBJ	pron.pper	OLD		1	Ich		
bin					2	bin		
Jane	other	ne	OLD		3	Jane		
McGonigal					4	McGonigal		
.				5	.	
		
# text = Ich entwerfe Computerspiele.	
Ich	SBJ	pron.pper	OLD		1	Ich		
entwerfe					2	entwerfe		
Computerspiele	OBJ	indef-np.bare			3	Computerspiele		
.				4	.	
		
# text = Ich entwickle jetzt seit 10 Jahren Online-Spiele.	
Ich	SBJ	pron.pper	OLD		1	Ich		
entwickle					2	entwickle		
jetzt					3	jetzt		
seit					4	seit		
10					5	10		
Jahren	other	indef-np.quant			6	Jahren		
Online								
_								
Spiele					8	Spiele		
.				10	.	
		
# text = Und mein Ziel für das nächste Jahrzehnt ist, es genauso leicht zu machen, die Welt in der Realität zu retten, wie sie in Online-Spielen zu retten ist.	
Und					1	Und		
mein	other_2	pron.ppos	OLD		2	mein		
Ziel	OBJ	indef-np.bare			3	Ziel	set_79	
für					4	für		
das					5	das		
nächste					6	nächste		
Jahrzehnt	other	def-np.the	OLD		7	Jahrzehnt		
ist					8	ist		
,					9	,		
es	SBJ_2	pron.pper	OLD		10	es		
genauso					11	genauso		
leicht					12	leicht		
zu					13	zu		
machen					14	machen		
,					15	,		
die					16	die		
Welt	OBJ_3	def-np.the	OLD		17	Welt	set_0	
in					18	in		
der					19	der		
Realität	other_3	def-np.the	OLD		20	Realität		
zu					21	zu		
retten					22	retten		
,					23	,		
wie					24	wie		
sie	SBJ_2	pron	OLD		25	sie	set_0	
in					26	in		
Online					27	Online		
_								
Spielen	other_2	indef-np.bare			27	Spielen		
zu					28	zu		
retten					29	retten		
ist					30	ist		
.				31	.	
		
# text = Ich habe einen Plan dafür.	
Ich	SBJ	pron.pper	OLD		1	Ich		
habe					2	habe		
einen					3	einen		
Plan	OBJ	indef-np.a			4	Plan		
dafür					5	dafür	set_79	
.				6	.	
		
# text = Ich möchte mehr Menschen überzeugen, einschließlich Ihnen allen, mehr Zeit mit dem Spielen größerer und tollerer Spiele zu verbringen.	
Ich	SBJ	pron.pper	OLD		1	Ich		
möchte					2	möchte		
mehr					3	mehr		
Menschen	SBJ	indef-np.bare			4	Menschen		
überzeugen					5	überzeugen		
,					6	,		
einschließlich					7	einschließlich		
Ihnen	other	pron.pper	OLD		8	Ihnen		
allen	other_2	pron.pind			9	allen		
,					10	,		
mehr					11	mehr		
Zeit	OBJ_2	indef-np.bare			12	Zeit		
mit					13	mit		
dem					14	dem		
Spielen	other_3	def-np.the	OLD		15	Spielen		
größerer					16	größerer		
und					17	und		
tollerer					18	tollerer		
Spiele	other_4	indef-np.bare			19	Spiele		
zu					20	zu		
verbringen					21	verbringen		
.				22	.	
		
# text = Derzeit verbringen wir 3 Milliarden Stunden pro Woche mit Online-Spielen.	
Derzeit					1	Derzeit		
verbringen					2	verbringen		
wir	SBJ	pron	OLD		3	wir		
3					4	3		
Milliarden	other_2	indef-np.quant			5	Milliarden		
Stunden	OBJ	indef-np.bare			6	Stunden	set_80	
pro					7	pro		
Woche	other_2	indef-np.bare			8	Woche		
mit								
Online					10	Online		
_								
Spielen	other	indef-np.bare			10	Spielen		
.				11	.	
		
--	
# text = Einige von Ihnen denken vielleicht: \"Das ist eine ganze Menge Zeit für Spiele.\"				
Einige	SBJ	pron.pind			1	Einige		
von					2	von		
Ihnen	other	pron.pper	OLD		3	Ihnen		
denken					4	denken		
vielleicht					5	vielleicht		
:					6	:		
&quot;					7	''		
Das	SBJ_2	pron.pds	OLD		8	Das	set_80	
ist					9	ist		
eine					10	eine		
ganze					11	ganze		
Menge	other	indef-np.a			12	Menge		
Zeit	other_2	indef-np.bare			13	Zeit		
für					14	für		
Spiele	other_3	indef-np.bare			15	Spiele		
.					16	.		
&quot;				17	''	
		
# text = Vielleicht etwas zu viel Zeit, wenn man bedenkt wie viele Probleme wir dringend in der realen Welt zu lösen haben.	
Vielleicht					1	Vielleicht		
etwas					2	etwas		
zu	other	pron.pind			3	zu		
viel	other	pron.pind			4	viel		
Zeit	other	indef-np.quant			5	Zeit		
,					6	,		
wenn					7	wenn		
man	SBJ_2	pron.pind			8	man		
bedenkt					9	bedenkt		
wie					10	wie		
viele					11	viele		
Probleme	OBJ_3	indef-np.quant			12	Probleme		
wir	SBJ_3	pron	OLD		13	wir		
dringend					14	dringend		
in					15	in		
der					16	der		
realen					17	realen		
Welt	other_3	def-np.the	OLD		18	Welt		
zu					19	zu		
lösen					20	lösen		
haben					21	haben		
.				22	.	
		
# text = Tatsächlich aber, meiner Forschung am Institut für die Zukunft zufolge, ist genau das Gegenteil zutreffend.	
Tatsächlich								
aber								
,								
meiner	other_2	pron.ppos	OLD					
Forschung	other	indef-np.bare						
an								
dem								
Institut	other_2	def-np.the	OLD					
für								
die								
Zukunft	other_3	def-np.the	OLD					
zufolge								
,								
ist								
genau					14	genau		
das					15	das		
Gegenteil	SBJ	def-np.the	OLD					
zutreffend					17	zutreffend		
.							
	
# text = Drei Milliarden Stunden pro Woche sind nicht annähernd genug, um die dringendsten Probleme der Welt zu lösen.				
Drei					1	Drei		
Milliarden	other_2	indef-np.quant			2	Milliarden		
Stunden	other	indef-np.bare			3	Stunden	set_136	
pro					4	pro		
Woche	other_2	indef-np.bare			5	Woche		
sind					6	sind		
nicht					7	nicht		
annähernd					8	annähernd		
genug					9	genug		
,					10	,		
um					11	um		
die					12	die		
dringendsten					13	dringendsten		
Probleme	OBJ_2	def-np.the	OLD		14	Probleme		
