# ID	TEXT	MARKER	TARGET	RELATION
1	28- jähriger Koch in San Francisco Mall tot aufgefunden	(zusammengefasst)	2	broad
2	Ein 28- jähriger Koch , der vor kurzem nach San Francisco gezogen ist , wurde im in dem Treppenhaus eines örtlichen Einkaufzentrums tot aufgefunden .	(konkret)	1	specific
3	Der Bruder des Opfers sagte aus , dass er sich niemanden vorstellen kann , der ihm schaden wollen würde , &quot; Endlich ging es bei ihm wieder bergauf . &quot;	_	2	EntRel
4	Der am an dem Mittwoch morgen in der Westfield Mall gefundene Leichnam wurde als der 28 Jahre alte Frank Galicia aus San Francisco identifiziert , teilte die gerichtsmedizinische Abteilung in San Francisco mit .	(daraufhin)	2	after
5	Das San Francisco Police Department sagte , dass der Tod als Mord eingestuft wurde und die Ermittlungen am an dem Laufen sind .	(und)	4	conjunction
6	Der Bruder des Opfers , Louis Galicia , teilte dem ABS Sender KGO in San Francisco mit , dass Frank , der früher als Koch in Boston gearbeitet hat , vor sechs Monaten seinen Traumjob als Koch im in dem Sons &amp; Daughters Restaurant in San Francisco ergattert hatte .	früher	2	before
7	Ein Sprecher des Sons &amp; Daughters sagte , dass sie über seinen Tod &quot; schockiert und am an dem Boden zerstört seien &quot; .	_	6	EntRel
8	&quot; Wir sind ein kleines Team , das wie eine enge Familie arbeitet und wir werden ihn schmerzlich vermissen , &quot; sagte der Sprecher weiter .	weiter	7	conjunction
9	Unsere Gedanken und unser Beileid sind in dieser schweren Zeit bei Franks Familie und Freunden .	(und)	8	conjunction
10	Louis Galicia gab an , dass Frank zunächst in Hostels lebte , aber dass , &quot; die Dinge für ihn endlich bergauf gingen . &quot;	zunächst (früher)	2	before
11	&quot; Er fand eine Wohnung , er hatte eine Freundin , &quot; teilte Louis Garcia KGO mit .	(später)	10	after
12	Louis Galicia sagte , dass er sich niemanden vorstellen könne , der seinem jüngeren Bruder schaden wollen würde .	(daher)	13	result
13	Er war ein freundlicher Mensch mit einem großen Herzen .	(denn)	12	reason
14	Seine Art mit seiner Familie zu verbinden war es , uns immer etwas zu kochen , uns das Abendessen zuzubereiten , &quot; sagte Louis Galicia .	(und)	13	conjunction
15	Er wollte nie an irgendeiner Art von Auseinandersetzung teilnehmen .	(und)	14	conjunction
16	Er war der Bruder , der mit dem Strom schwamm .	(folglich)	15	result
17	&quot; Bei allem , was in der Welt schief läuft , war er dieser ungeschliffene Diamant , der jeden Tag hell leuchtete , &quot; sagte er .	(schließlich)	16	broad
18	Jeder , der Informationen zu dem Fall hat , wird gebeten das Hinweistelefon des SFPD unter der Nummer 415-575-4444 anzurufen .	_	2	EntRel
