1	3	_	book	The first book I wrote , Theophilus , concerned all that Jesus began both to do and to teach , until the day in which he was received up , after he had given commandment through the Holy Spirit to the apostles whom he had chosen .	file://conllu/en/bibl.en_web.ACT.conllu#s1_0	
2	27	after?	speak (speak show)	To these he also showed himself alive after he suffered , by many proofs , appearing to them over a period of forty days , and speaking about God 's Kingdom .	file://conllu/en/bibl.en_web.ACT.conllu#s2_0	
3	8	_	command	Being assembled together with them , he commanded them , &quot; Do n't depart from Jerusalem , but wait for the promise of the Father , which you heard from me .	file://conllu/en/bibl.en_web.ACT.conllu#s3_0	
4	4	indeed?	baptize	For John indeed baptized in water , but you will be baptized in the Holy Spirit not many days from now . &quot;	file://conllu/en/bibl.en_web.ACT.conllu#s4_0	
5	10	therefore?	ask	Therefore , when they had come together , they asked him , &quot; Lord , are you now restoring the kingdom to Israel ? &quot;	file://conllu/en/bibl.en_web.ACT.conllu#s5_0	
6	2	_	say	He said to them , &quot; It is n't for you to know times or seasons which the Father has set within his own authority .	file://conllu/en/bibl.en_web.ACT.conllu#s6_0	
7	4	when?	receive	But you will receive power when the Holy Spirit has come upon you .	file://conllu/en/bibl.en_web.ACT.conllu#s7_0	
8	3	_	be (be witness)	You will be witnesses to me in Jerusalem , in all Judea and Samaria , and to the uttermost parts of the earth . &quot;	file://conllu/en/bibl.en_web.ACT.conllu#s8_0	
9	15	when?	take	When he had said these things , as they were looking , he was taken up , and a cloud received him out of their sight .	file://conllu/en/bibl.en_web.ACT.conllu#s9_0	
10	4	while?	look	While they were looking steadfastly into the sky as he went , behold , two men stood by them in white clothing , who also said , &quot; You men of Galilee , why do you stand looking into the sky ?	file://conllu/en/bibl.en_web.ACT.conllu#s10_0	
11	14	as?	come	This Jesus , who was received up from you into the sky will come back in the same way as you saw him going into the sky . &quot;	file://conllu/en/bibl.en_web.ACT.conllu#s11_0	
12	3	then?	return	Then they returned to Jerusalem from the mountain called Olivet , which is near Jerusalem , a Sabbath day 's journey away .	file://conllu/en/bibl.en_web.ACT.conllu#s12_0	
