1	2	_	be (be man)	Blessed is the man who does n't walk in the counsel of the wicked , nor stand in the way of sinners , nor sit in the seat of scoffers ; but his delight is in Yahweh 's law .	file://conllu/en/bibl.en_web.PSA.conllu#s1_0	
2	5	_	meditate	On his law he meditates day and night .	file://conllu/en/bibl.en_web.PSA.conllu#s2_0	
3	3	also?	be (be tree)	He will be like a tree planted by the streams of water , that brings forth its fruit in its season , whose leaf also does not wither .	file://conllu/en/bibl.en_web.PSA.conllu#s3_0	
4	1	_	whatever	Whatever he does shall prosper .	file://conllu/en/bibl.en_web.PSA.conllu#s4_0	
5	3	but?	be (be so)	The wicked are not so , but are like the chaff which the wind drives away .	file://conllu/en/bibl.en_web.PSA.conllu#s5_0	
6	6	therefore?	stand	Therefore the wicked shall not stand in the judgment , nor sinners in the congregation of the righteous .	file://conllu/en/bibl.en_web.PSA.conllu#s6_0	
7	3	for?	know	For Yahweh knows the way of the righteous , but the way of the wicked shall perish .	file://conllu/en/bibl.en_web.PSA.conllu#s7_0	
8	5	and?	rage	Why do the nations rage , and the peoples plot a vain thing ?	file://conllu/en/bibl.en_web.PSA.conllu#s8_0	
9	6	and?	take	The kings of the earth take a stand , and the rulers take counsel together , against Yahweh , and against his Anointed , saying , &quot; Let 's break their bonds apart , and cast their cords from us . &quot;	file://conllu/en/bibl.en_web.PSA.conllu#s9_0	
10	8	_	laugh	He who sits in the heavens will laugh .	file://conllu/en/bibl.en_web.PSA.conllu#s10_0	
11	4	_	have	The Lord will have them in derision .	file://conllu/en/bibl.en_web.PSA.conllu#s11_0	
12	22	then?	set (set speak)	Then he will speak to them in his anger , and terrify them in his wrath : &quot; Yet I have set my King on my holy hill of Zion . &quot;	file://conllu/en/bibl.en_web.PSA.conllu#s12_0	
13	3	_	tell	I will tell of the decree .	file://conllu/en/bibl.en_web.PSA.conllu#s13_0	
14	2	_	say	Yahweh said to me , &quot; You are my son .	file://conllu/en/bibl.en_web.PSA.conllu#s14_0	
15	4	_	become	Today I have become your father .	file://conllu/en/bibl.en_web.PSA.conllu#s15_0	
16	1	and?	ask	Ask of me , and I will give the nations for your inheritance , the uttermost parts of the earth for your possession .	file://conllu/en/bibl.en_web.PSA.conllu#s16_0	
17	3	_	break	You shall break them with a rod of iron .	file://conllu/en/bibl.en_web.PSA.conllu#s17_0	
18	3	_	dash	You shall dash them in pieces like a potter 's vessel . &quot;	file://conllu/en/bibl.en_web.PSA.conllu#s18_0	
19	3	therefore?	be (be wise)	Now therefore be wise , you kings .	file://conllu/en/bibl.en_web.PSA.conllu#s19_0	
20	5	_	judge	Be instructed , you judges of the earth .	file://conllu/en/bibl.en_web.PSA.conllu#s20_0	
21	1	and?	serve	Serve Yahweh with fear , and rejoice with trembling .	file://conllu/en/bibl.en_web.PSA.conllu#s21_0	
22	26	lest?	kind	Give sincere homage to the Son , lest he be angry , and you perish in the way , for his wrath will soon be kindled .	file://conllu/en/bibl.en_web.PSA.conllu#s22_0	
23	2	_	be (be those)	Blessed are all those who take refuge in him .	file://conllu/en/bibl.en_web.PSA.conllu#s23_0	
24	8	when?	fle	A Psalm by David , when he fled from Absalom his son .	file://conllu/en/bibl.en_web.PSA.conllu#s24_0	
25	7	_	increase	Yahweh , how my adversaries have increased !	file://conllu/en/bibl.en_web.PSA.conllu#s25_0	
26	2	_	be (be many)	Many are those who rise up against me .	file://conllu/en/bibl.en_web.PSA.conllu#s26_0	
27	12	_	be	Many there are who say of my soul , &quot; There is no help for him in God . &quot;	file://conllu/en/bibl.en_web.PSA.conllu#s27_0	
28	1	_	Selah	Selah .	file://conllu/en/bibl.en_web.PSA.conllu#s28_0	
29	6	but?	be (be shield)	But you , Yahweh , are a shield around me , my glory , and the one who lifts up my head .	file://conllu/en/bibl.en_web.PSA.conllu#s29_0	
30	11	and?	answer (answer cry)	I cry to Yahweh with my voice , and he answers me out of his holy hill .	file://conllu/en/bibl.en_web.PSA.conllu#s30_0	
31	1	_	Selah	Selah .	file://conllu/en/bibl.en_web.PSA.conllu#s31_0	
32	2	and?	lay	I laid myself down and slept .	file://conllu/en/bibl.en_web.PSA.conllu#s32_0	
33	2	for?	awaken	I awakened ; for Yahweh sustains me .	file://conllu/en/bibl.en_web.PSA.conllu#s33_0	
34	4	_	be (be afraid)	I will not be afraid of tens of thousands of people who have set themselves against me on every side .	file://conllu/en/bibl.en_web.PSA.conllu#s34_0	
35	1	_	Arise	Arise , Yahweh !	file://conllu/en/bibl.en_web.PSA.conllu#s35_0	
36	1	_	save	Save me , my God !	file://conllu/en/bibl.en_web.PSA.conllu#s36_0	
37	4	for?	struck	For you have struck all of my enemies on the cheek bone .	file://conllu/en/bibl.en_web.PSA.conllu#s37_0	
38	3	_	break	You have broken the teeth of the wicked .	file://conllu/en/bibl.en_web.PSA.conllu#s38_0	
39	2	_	belong	Salvation belongs to Yahweh .	file://conllu/en/bibl.en_web.PSA.conllu#s39_0	
40	3	_	be (be people)	Your blessing be on your people .	file://conllu/en/bibl.en_web.PSA.conllu#s40_0	
41	1	_	Selah	Selah .	file://conllu/en/bibl.en_web.PSA.conllu#s41_0	
42	4	for?	musician	For the Chief Musician ; on stringed instruments .	file://conllu/en/bibl.en_web.PSA.conllu#s42_0	
43	2	_	Psalm	A Psalm by David .	file://conllu/en/bibl.en_web.PSA.conllu#s43_0	
44	1	when?	answer	Answer me when I call , God of my righteousness .	file://conllu/en/bibl.en_web.PSA.conllu#s44_0	
45	1	_	give	Give me relief from my distress .	file://conllu/en/bibl.en_web.PSA.conllu#s45_0	
46	1	and?	have	Have mercy on me , and hear my prayer .	file://conllu/en/bibl.en_web.PSA.conllu#s46_0	
47	12	_	turn	You sons of men , how long shall my glory be turned into dishonor ?	file://conllu/en/bibl.en_web.PSA.conllu#s47_0	
48	3	_	love	Will you love vanity , and seek after falsehood ?	file://conllu/en/bibl.en_web.PSA.conllu#s48_0	
49	1	_	Selah	Selah .	file://conllu/en/bibl.en_web.PSA.conllu#s49_0	
50	6	but?	set (set know)	But know that Yahweh has set apart for himself him who is godly :	file://conllu/en/bibl.en_web.PSA.conllu#s50_0	
51	3	when?	hear	Yahweh will hear when I call to him .	file://conllu/en/bibl.en_web.PSA.conllu#s51_0	
52	8	and?	sin	Stand in awe , and do n't sin .	file://conllu/en/bibl.en_web.PSA.conllu#s52_0	
53	1	still?	search	Search your own heart on your bed , and be still .	file://conllu/en/bibl.en_web.PSA.conllu#s53_0	
54	1	_	Selah	Selah .	file://conllu/en/bibl.en_web.PSA.conllu#s54_0	
55	1	_	offer	Offer the sacrifices of righteousness .	file://conllu/en/bibl.en_web.PSA.conllu#s55_0	
56	1	_	put	Put your trust in Yahweh .	file://conllu/en/bibl.en_web.PSA.conllu#s56_0	
57	7	_	show (show say)	Many say , &quot; Who will show us any good ? &quot;	file://conllu/en/bibl.en_web.PSA.conllu#s57_0	
58	3	_	let	Yahweh , let the light of your face shine on us .	file://conllu/en/bibl.en_web.PSA.conllu#s58_0	
59	3	_	put	You have put gladness in my heart , more than when their grain and their new wine are increased .	file://conllu/en/bibl.en_web.PSA.conllu#s59_0	
60	6	for?	lay	In peace I will both lay myself down and sleep , for you , Yahweh alone , make me live in safety .	file://conllu/en/bibl.en_web.PSA.conllu#s60_0	
61	4	for?	musician	For the Chief Musician , with the flutes .	file://conllu/en/bibl.en_web.PSA.conllu#s61_0	
62	2	_	Psalm	A Psalm by David .	file://conllu/en/bibl.en_web.PSA.conllu#s62_0	
63	2	_	ear	Give ear to my words , Yahweh .	file://conllu/en/bibl.en_web.PSA.conllu#s63_0	
64	1	_	consider	Consider my meditation .	file://conllu/en/bibl.en_web.PSA.conllu#s64_0	
65	20	for?	pray (pray listen)	Listen to the voice of my cry , my King and my God ; for to you do I pray .	file://conllu/en/bibl.en_web.PSA.conllu#s65_0	
66	8	_	hear	Yahweh , in the morning you shall hear my voice .	file://conllu/en/bibl.en_web.PSA.conllu#s66_0	
67	6	before?	lay	In the morning I will lay my requests before you , and will watch expectantly .	file://conllu/en/bibl.en_web.PSA.conllu#s67_0	
68	3	for?	be (be God)	For you are not a God who has pleasure in wickedness .	file://conllu/en/bibl.en_web.PSA.conllu#s68_0	
69	4	_	live	Evil ca n't live with you .	file://conllu/en/bibl.en_web.PSA.conllu#s69_0	
70	5	_	stand	The arrogant shall not stand in your sight .	file://conllu/en/bibl.en_web.PSA.conllu#s70_0	
71	2	_	hate	You hate all workers of iniquity .	file://conllu/en/bibl.en_web.PSA.conllu#s71_0	
72	3	_	destroy	You will destroy those who speak lies .	file://conllu/en/bibl.en_web.PSA.conllu#s72_0	
73	2	_	abhor	Yahweh abhors the bloodthirsty and deceitful man .	file://conllu/en/bibl.en_web.PSA.conllu#s73_0	
74	8	for?	abundance	But as for me , in the abundance of your loving kindness	file://conllu/en/bibl.en_web.PSA.conllu#s74_0	
75	3	_	come	I will come into your house .	file://conllu/en/bibl.en_web.PSA.conllu#s75_0	
76	3	_	bow	I will bow toward your holy temple in reverence of you .	file://conllu/en/bibl.en_web.PSA.conllu#s76_0	
77	1	because?	lead	Lead me , Yahweh , in your righteousness because of my enemies .	file://conllu/en/bibl.en_web.PSA.conllu#s77_0	
78	1	before?	make	Make your way straight before my face .	file://conllu/en/bibl.en_web.PSA.conllu#s78_0	
79	3	for?	be	For there is no faithfulness in their mouth .	file://conllu/en/bibl.en_web.PSA.conllu#s79_0	
80	3	_	be (be destruction)	Their heart is destruction .	file://conllu/en/bibl.en_web.PSA.conllu#s80_0	
81	3	_	be (be tomb)	Their throat is an open tomb .	file://conllu/en/bibl.en_web.PSA.conllu#s81_0	
82	2	_	flatter	They flatter with their tongue .	file://conllu/en/bibl.en_web.PSA.conllu#s82_0	
83	1	_	hold	Hold them guilty , God .	file://conllu/en/bibl.en_web.PSA.conllu#s83_0	
84	1	_	let	Let them fall by their own counsels ; Thrust them out in the multitude of their transgressions , for they have rebelled against you .	file://conllu/en/bibl.en_web.PSA.conllu#s84_0	
