# text = Mutter eines 6-Jährigen mit Mikrozephalie: \"Es wird besser\" Wie die meisten 6-Jährigen liebt Edmund Picciuto das Singen, Spielzeuge und natürlich seine Mutter.				
Mutter	SBJ	indef-np.bare						
eines								
6								
_								
Jährigen	other	indef-np.a						
mit								
Mikrozephalie	other	indef-np.bare						
:								
&quot;								
Es								
wird								
besser								
&quot;								
Wie								
die								
meisten								
6								
-Jährigen	SBJ_2	def-np.quant	OLD					
liebt								
Edmund	SBJ_2	ne	OLD					
Picciuto								
das								
Singen	OBJ_2	def-np.the	OLD					
,					10	,		
Spielzeuge	other_3	indef-np.bare						
und								
natürlich								
seine								
Mutter	other_3	indef-np						
.							
	
# text = Aber wie die wenigsten seiner Altergenossen hat Edmund Mikrozephalie, das Ergebnis einer genetischen Störung, über die seine Mutter Elizabeth Picciuto während ihrer Schwangerschaft nichts wusste.				
Aber					1	Aber		
wie					2	wie		
die					3	die		
wenigsten	other	def-np.the	OLD		4	wenigsten		
seiner	other_3	pron.pper	OLD		5	seiner	set_27	
Altergenossen	other_2	indef-np			6	Altergenossen		
hat					7	hat		
Edmund	SBJ	ne	OLD		8	Edmund	set_27	
Mikrozephalie					9	Mikrozephalie		
,					10	,		
das					11	das		
Ergebnis	OBJ	def-np.the	OLD		12	Ergebnis		
einer					13	einer		
genetischen					14	genetischen		
Störung	other_2	indef-np.a			15	Störung	set_2	
,					16	,		
über					17	über		
die	other_3	pron	OLD		18	die	set_2	
seine					19	seine	set_27	
Mutter	SBJ_3	indef-np			20	Mutter	set_28	
Elizabeth	other_4	ne	OLD		21	Elizabeth		
Picciuto					22	Picciuto		
während					23	während		
ihrer					24	ihrer	set_28	
Schwangerschaft	other_3	indef-np			25	Schwangerschaft		
nichts	OBJ_3	pron	OLD		26	nichts		
wusste					27	wusste		
.				28	.	
		
# text = Als er das erste Mal nach Hause kam, war mein erster Gedanke, Ich schaffe das nicht.	
Als					1	Als		
er	SBJ_2	pron.pper	OLD		2	er	set_27	
das					3	das		
erste					4	erste		
Mal	other_2	def-np.the	OLD		5	Mal		
nach					6	nach		
Hause	other_2	indef-np.bare			7	Hause		
kam					8	kam		
,					9	,		
war					10	war		
mein	other	pron.ppos	OLD		11	mein		
erster					12	erster		
Gedanke	other	indef-np.bare			13	Gedanke		
,					14	,		
Ich	SBJ_2	pron.pper	OLD		15	Ich		
schaffe					16	schaffe		
das					17	das		
nicht					18	nicht		
.				19	.	
		
# text = Ich schaffe das nicht.	
Ich	SBJ	pron.pper	OLD		1	Ich		
schaffe					2	schaffe		
das					3	das		
nicht					4	nicht		
.				5	.	
		
# text = Darauf habe ich mich nicht eingelassen.	
Darauf					1	Darauf		
habe					2	habe		
