ID	PRED_ID	MARKER_AUTO	PREDICATE	TEXT	SENTENCE	MARKER	TARGET	RELATION	COMMENT
1	_	_	_	Ich bin in Sierra Leone geboren und aufgewachsen , einem kleinen und sehr schönen Land in Westafrika , einem Land reich sowohl an Bodenschätzen als auch an kreativen Talenten .	_	(in den 90ern)	2	Synchrony	
2	_	_	_	Allerdings ist Sierra Leone berüchtigt für einen jahrzehntelangen Rebellenkrieg in den 90ern , in dem ganze Dörfer niedergebrannt wurden .	_	allerdings	1	contra-expectation	(orig: Comparison.Concession.Arg2-as-denier)
3	_	_	_	Schätzungsweise 8 000 Männern , Frauen und Kindern wurden in dieser Zeit Arme und Beine amputiert .	_	in dieser Zeit	2	Synchrony	(orig: Temporal.Synchronous)
4	_	(and)	_	Meine Familie und ich brachten uns vor einem dieser Angriffe in Sicherheit , als ich 12 war .	_	(daher)	2	result	(orig: Expansion.Conjunction)
5	_	_	_	In diesem Moment nahm ich mir vor , alles zu tun , um sicherzustellen , dass meine eigenen Kinder nicht dasselbe erleben müssen , was wir erlebt haben .	_	in diesem Moment	4	Synchrony	(orig: Temporal.Synchronous)
6	_	_	_	Vielmehr sollten sie Teil von einem Sierra Leone sein , in dem Krieg und Amputationen nicht als Strategie zur Machtgewinnung genutzt werden .	_	vielmehr	5	favoured-alternative	(orig: Expansion.Level-of-detail.Arg2-as-detail)
7	_	_	_	Ich beobachtete Menschen , die ich kannte , liebte , wie sie sich von dieser Verwüstung erholten , aber eine Sache quälte mich zutiefst , und zwar , dass viele der Amputierten in diesem Land nicht ihre Prothesen benutzten .	_	(später)	4	after	
8	_	_	_	Der Grund , wie ich später herausfand , waren die Prothesenschäfte , die Schmerzen verursachten , weil sie nicht gut passten .	_	der Grund	7	reason	(orig: Contingency.Cause.Reason)
9	_	_	_	Der Prothesenschaft ist der Teil , in welchen der Amputierte seinen Stumpf steckt , der mit der eigentlichen Prothese verbunden ist .	_	(konkret)	8	specific	
10	_	_	_	Selbst in den Industrieländern dauert es drei Wochen bis hin zu Jahren , bis sich ein Patient an den Schaft gewöhnt , wenn überhaupt .	_	(ebenso)	8	similarity	
11	_	(because)	_	Prothesenbauer benutzen immer noch konventionelle Methoden , wie Pressen und Gießen , um Unibody-Prothesenschäfte herzustellen .	_	(aus dem Grund)	10	reason	(orig: Contingency.Cause.Reason)
12	_	(and)	_	Solche Schäfte üben oft unerträglichen Druck auf die Glieder der Patienten aus und verursachen Druckwunden und Blasen .	_	(konkret)	11	specific	(orig: Expansion.Level-of-detail.Arg2-as-detail)
13	_	(because)	_	Ganz gleich , wie leistungsfähig die Knöchelprothese ist , wenn der Prothesenschaft unbequem ist , werden Sie die Prothese nicht nutzen , und das ist heutzutage einfach inakzeptabel .	_	(folglich)	12	result	(orig: Expansion.Level-of-detail.Arg2-as-detail)
14	_	_	_	Damals , als ich Professor Hugh Herr vor zweieinhalb Jahren traf , und er mich fragte , ob ich eine Lösung für dieses Problem hätte , sagte ich : " Nein , noch nicht , aber ich würde sie liebend gerne finden . "	_	(daher)	13	result	main predicate: würde (gerne Lösung) finden als kausale Folge der Nichtnutzung. Alternativ: purpose-Bezug (goal: mit dem Ziel) oder temporal (davor) zu Anchor 15?
15	_	_	_	Also habe ich für meine Doktorarbeit am MIT Media Lab maßgefertige Prothesenschäfte entworfen , schnell und günstig , mit mehr Tragekomfort als herkömmliche Prothesen .	_	also	14	enablement	(orig: Contingency.Cause.Result)
16	_	(after that)	_	Mittels Magnetresonanztomografie ( MRT ) erfasste ich die genaue Form der Anatomie des Patienten , benutzte die Berechnungstechnologie FEM , um besser vorherzusehen , welche inneren Belastungen bei normaler Nutzung entstehen , und lies danach einen Prothesenschaft herstellen .	_	(zu diesem Zweck)	15	enablement	(orig: Temporal.Asynchronous.Precedence)
17	_	(specifically)	_	Wir benutzen 3D-Drucker , um Prothesenschäfte aus mehreren Materialen herzustellen , die den Druck dort verringern , wo es die Anatomie des Patienten nötig macht .	_	(anschließend)	16	after	(orig: Expansion.Level-of-detail.Arg2-as-detail)
18	_	_	_	Kurz gesagt , wir benutzen Daten , um neuartige Schäfte schnell und günstig herzustellen .	_	kurz gesagt	17	broad	(orig: Expansion.Level-of-detail.Arg1-as-detail)
19	_	(for instance)	_	In einem Versuch , den wir vor kurzem am Media Lab durchführten , hat einer unserer Patienten , ein US-Veteran , der seit über 20 Jahren amputiert ist und schon dutzende Prothesen getragen hat , Folgendes über unsere ausgedruckten Prothesen gesagt : " Sie ist so weich , als würde man auf Kissen laufen , und verdammt sexy . "	_	(als Beispiel)	18	instance	(orig: Expansion.Instantiation)
20	_	_	_	( Lachen ) Heutzutage sollten Behinderungen niemanden mehr daran hindern , ein sinnsvolles Leben zu führen .	_	(generell)	19	set	
21	_	(and)	_	Meine Hoffnung und mein Wunsch ist es , dass die Werkzeuge und Prozesse , die wir in unserer Forschungsgruppe entwickeln , genutzt werden können , um hochfunktionale Prothesen herzustellen , für die , die sie brauchen .	_	(daher)	20	result	(orig: Expansion.Conjunction)
22	_	(and)	_	Für mich ist es ein Anfang , um die Seelen derer zu heilen , die vom Krieg und Krankheiten betroffen sind , ist für mich komfortable und erschwingliche Schnittstellen für ihre Körper herzustellen .	_	(indem)	21	means	(orig: Expansion.Conjunction)
23	_	(and)	_	Ob in Sierra Leone oder in Boston , ich hoffe , dass dies nicht nur ihren Sinn für menschliches Können wiederherstellt , sondern verändert .	_	(hierdurch)	21	achievement	(orig: Expansion.Conjunction)
24	_	_	_	Vielen Dank	_	_	_	NoRel	NoRel, weil kein einzelner Satz (deiktisch) zuzuordnen?
