# text = Royal Bank of Scotland to disappear for customers outside Scotland				
Royal					1	Royal		
Bank	other	ne	OLD		2	Bank		
of					3	of		
Scotland	other	ne	OLD		4	Scotland		
to					5	to		
disappear					6	disappear		
for					7	for		
customers	other_2	indef-np.bare			8	customers		
outside					9	outside		
Scotland	other_3	ne	OLD	10	Scotland	
		
# text = The brand RBS is to be reduced to a back office role, according to the bank's chief executive.	
The					1	The		
brand					2	brand		
RBS	SBJ	def-np.the	OLD		3	RBS	set_9	
is					4	is		
to					5	to		
be					6	be		
reduced					7	reduced		
to					8	to		
a					9	a		
back					10	back		
office					11	office		
role	other_2	indef-np.a			12	role		
,					13	,		
according					14	according		
to					15	to		
the					16	the		
bank	other_4	def-np.the	OLD		17	bank		
's					18	's		
chief					19	chief		
executive					20	executive		
.				21	.	
		
# text = Royal Bank of Scotland will disappear for customers outside Scotland.	
Royal					1	Royal		
Bank	SBJ	ne	OLD		2	Bank		
of					3	of		
Scotland	other_2	ne	OLD		4	Scotland		
will					5	will		
disappear					6	disappear		
for					7	for		
customers	other	indef-np.bare			8	customers		
outside					9	outside		
Scotland	other_2	ne	OLD		10	Scotland		
.				11	.	
		
# text = Ross McEwan told BBC Scotland that the RBS brand was associated with the bank's global ambitions.	
Ross	SBJ	ne	OLD		1	Ross		
McEwan					2	McEwan		
told					3	told		
BBC	OBJ	ne	OLD		4	BBC		
Scotland					5	Scotland		
that					6	that		
the					7	the	set_9	
RBS					8	RBS	set_9	
brand	SBJ_2	def-np.the	OLD		9	brand		
was					10	was		
associated					11	associated		
with					12	with		
the					13	the		
bank	other_3	def-np.the	OLD		14	bank		
's					15	's		
global					16	global		
ambitions	other_2	def-np.poss	OLD		17	ambitions	set_1	
.				18	.	
		
# text = It has retreated from them since it nearly collapsed eight years ago and had to be bailed out.	
It	SBJ	pron.pper	OLD		1	It	set_9	
has					2	has		
retreated					3	retreated		
from					4	from		
them	other	pron.pper	OLD		5	them	set_1	
since					6	since		
it	SBJ_2	pron.pper	OLD		7	it	set_9	
nearly					8	nearly		
collapsed					9	collapsed		
eight					10	eight		
years	other_3	indef-np.quant			11	years		
ago					12	ago	set_3	
and					13	and		
had					14	had		
to					15	to		
be					16	be		
bailed					17	bailed		
out					18	out		
.				19	.	
		
# text = During that time, brand strategists have used 'RBS' to protect other consumer finance brands.	
During					1	During		
that					2	that		
time	other	def-np.dem	OLD		3	time	set_3	
,					4	,		
brand					5	brand		
strategists	SBJ	indef-np.bare			6	strategists		
have					7	have		
used					8	used		
'					9	'		
RBS	OBJ	indef-np.bare			10	RBS	set_9	
'					11	'		
to					12	to		
protect					13	protect		
other					14	other		
consumer					15	consumer		
finance					16	finance		
brands	OBJ_2	indef-np.bare			17	brands		
.				18	.	
		
# text = It was backed with millions of pounds in sponsorship of international sport, from Six Nations rugby to Wimbledon champion Andy Murray.	
It	SBJ	pron.pper	OLD		1	It	set_9	
was					2	was		
backed					3	backed		
with					4	with		
millions	other	indef-np.bare			5	millions		
of					6	of		
pounds	other_2	indef-np.bare			7	pounds		
in					8	in		
sponsorship	other	indef-np.bare			9	sponsorship		
of					10	of		
international					11	international		
sport	other_2	indef-np.bare			12	sport		
,					13	,		
from					14	from		
Six					15	Six		
Nations	other	ne	OLD		16	Nations		
rugby					17	rugby		
to					18	to		
Wimbledon					19	Wimbledon		
champion					20	champion		
Andy					21	Andy		
Murray	other_2	ne	OLD		22	Murray		
.				23	.	
		
# text = But now, it has been judged right to let more national brands come to the fore.	
But					1	But		
now					2	now		
,					3	,		
it	SBJ	pron.pper	OLD		4	it	set_9	
has					5	has		
been					6	been		
judged					7	judged		
right					8	right		
to					9	to		
let					10	let		
more					11	more		
national					12	national		
brands	OBJ_2	indef-np.bare			13	brands		
come					14	come		
to					15	to		
the					16	the		
fore	other_3	def-np.the	OLD		17	fore		
.				18	.	
		
# text = Royal Bank of Scotland will be used with Scottish customers, but will not be initialised.	
Royal					1	Royal		
Bank	SBJ	ne	OLD		2	Bank		
of					3	of		
Scotland	other_2	ne	OLD		4	Scotland		
will					5	will		
be					6	be		
used					7	used		
with					8	with		
Scottish					9	Scottish		
customers	other	indef-np.bare			10	customers		
,					11	,		
but					12	but		
will					13	will		
not					14	not		
be					15	be		
initialised					16	initialised		
.				17	.	
		
# text = In England and Wales, all RBS references, outside head office and the stock exchange listing, will be changed to NatWest.	
In					1	In		
England	other	ne	OLD		2	England		
and					3	and		
Wales	other_2	indef-np.bare			4	Wales		
,					5	,		
all					6	all		
RBS					7	RBS	set_9	
references	other_2	indef-np.a			8	references		
,					9	,		
outside					10	outside		
head					11	head		
office	other_2	indef-np.bare			12	office		
and					13	and		
the					14	the		
stock					15	stock		
exchange					16	exchange		
listing	other_2	def-np.the	OLD		17	listing		
,					18	,		
will					19	will		
be					20	be		
changed					21	changed		
to					22	to		
NatWest	other	ne	OLD		23	NatWest		
.				24	.	
		
# text = The Ulster	
The					1	The		
Ulster	other	ne	OLD	2	Ulster	
		
# text = Bank brand is already used for customers in the Republic of Ireland and Northern Ireland.	
Bank								
brand	SBJ	ne	OLD					
is								
already								
used					5	used		
for					6	for		
customers	other	indef-np.bare						
in								
the								
Republic	other_2	ne	OLD		10	Republic		
of					11	of		
Ireland	other_3	ne	OLD					
and								
Northern								
Ireland	other_3	ne	OLD					
.							
	
# text = There are other, smaller brands for private banking, which will get more prominence - Coutts, Adam & Co, Drummond, and Holt's Military Bank.				
There					1	There		
are					2	are		
other					3	other		
,					4	,		
smaller					5	smaller		
brands	SBJ	indef-np.bare			6	brands	set_5	
for					7	for		
private					8	private		
banking	other_2	indef-np.bare			9	banking		
,					10	,		
which	SBJ_3				11	which	set_5	
will					12	will		
get					13	get		
more					14	more		
prominence					15	prominence		
_					16			
Coutts	OBJ_3	indef-np.bare			17	Coutts		
,					18	,		
Adam	other_4	ne	OLD		19	Adam		
&amp;					20	&amp;		
Co	other_4	ne	OLD		21	Co		
,					22	,		
Drummond	other_4	ne	OLD		23	Drummond		
,					24	,		
and					25	and		
Holt	other_5	ne	OLD		26	Holt		
's					27	's		
Military					28	Military		
Bank	other_4	ne	OLD		29	Bank		
.				30	.	
		
# text = Mr McEwan was interviewed during a tour of customers and staff in Inverness-shire.	
Mr	SBJ	ne	OLD		1	Mr	set_6	
McEwan					2	McEwan		
was					3	was		
interviewed					4	interviewed		
during					5	during		
a					6	a		
tour	other	indef-np.a			7	tour		
of					8	of		
customers	other_2	indef-np.bare			9	customers		
and					10	and		
staff	other_3	indef-np.bare			11	staff		
in								
Inverness								
_								
shire	other	indef-np.bare			14	shire		
.				14	.	
		
--	
# text = He told BBC Scotland: \"The RBS brand will end up becoming our investor brand and the one that our staff are employed with, because we are now becoming much more a bank of brands.\"				
He	SBJ	pron.pper	OLD		1	He	set_6	
told					2	told		
BBC	OBJ	ne	OLD		3	BBC		
Scotland					4	Scotland		
:					5	:		
&quot;					6	''		
The					7	The		
RBS					8	RBS		
brand	SBJ_2	def-np.the	OLD		9	brand	set_9	
will					10	will		
end					11	end		
up					12	up		
becoming					13	becoming		
our	other_4	pron.ppos	OLD		14	our		
investor					15	investor		
brand	OBJ_3	def-np.poss	OLD		16	brand		
and					17	and		
the					18	the		
one	other_4	def-np.the	OLD		19	one		
that					20	that		
our	other_7	pron.ppos	OLD		21	our		
staff	SBJ_6	def-np.poss	OLD		22	staff		
are					23	are		
employed					24	employed		
with					25	with		
,					26	,		
because					27	because		
we	SBJ_2	pron.pper	OLD		28	we		
are					29	are		
now					30	now		
becoming					31	becoming		
much					32	much		
more					33	more		
a					34	a		
bank	OBJ_2	indef-np.a			35	bank		
of					36	of		
brands	other_3	indef-np.bare			37	brands		
.					38	.		
&quot;				39	''	
		
# text = As the bank itself became a global brand, RBS became the global brand.	
As					1	As		
the					2	the		
bank	SBJ_2	def-np.the	OLD		3	bank		
itself	other_3	pron.pper	OLD		4	itself		
became					5	became		
a					6	a		
global					7	global		
brand	other_2	indef-np.a			8	brand		
,					9	,		
RBS	SBJ	ne	OLD		10	RBS	set_9	
became					11	became		
the					12	the		
global					13	global		
brand	other	def-np.the	OLD		14	brand		
.				15	.	
		
# text = I'm now saying we no longer have global aspirations, we have local aspirations.	
I	SBJ	pron.pper	OLD		1	I		
'm					2	'm		
now					3	now		
saying					4	saying		
we	SBJ_2	pron.pper	OLD		5	we		
no					6	no		
longer					7	longer		
have					8	have		
global					9	global		
aspirations	OBJ_2	indef-np.bare			10	aspirations		
,					11	,		
we	SBJ_3	pron.pper	OLD		12	we		
have					13	have		
local					14	local		
aspirations	OBJ_3	indef-np.bare			15	aspirations		
.				16	.	
		
# text = Each one of those brands will stand for something quite different in their own communities, and our staff will work with customers under those brands.	
Each					1	Each		
one	SBJ	def-np.poss	OLD		2	one	set_7	
of					3	of		
those					4	those		
brands	other_2	def-np.dem	OLD		5	brands		
will					6	will		
stand					7	stand		
for					8	for		
something	OBJ	pron	OLD		9	something		
quite					10	quite		
different					11	different		
in					12	in		
their	other_3	pron.ppos	OLD		13	their	set_7	
own					14	own		
communities	other_2	def-np.poss	OLD		15	communities		
,					16	,		
and					17	and		
our	other_4	pron.ppos	OLD		18	our		
staff	SBJ_3	def-np.poss	OLD		19	staff		
will					20	will		
work					21	work		
with					22	with		
customers	other_3	indef-np.bare			23	customers		
under					24	under		
those					25	those		
brands	other_4	def-np.dem	OLD		26	brands		
.				27	.	
		
# text = RBS had already stated that it would not to continue its Six Nations sponsorship, and it has been raising the profile of different brands in its sports sponsorship.	
RBS					1	RBS	set_9	
had					2	had		
already					3	already		
stated					4	stated		
that					5	that		
it	SBJ_2	pron.pper	OLD		6	it	set_9	
would					7	would		
not					8	not		
to					9	to		
continue					10	continue		
its	other_3	pron.ppos	OLD		11	its	set_9	
Six					12	Six		
Nations					13	Nations		
sponsorship	OBJ_2	def-np.poss	OLD		14	sponsorship		
,					15	,		
and					16	and		
it	SBJ_2	pron.pper	OLD		17	it	set_9	
has					18	has		
been					19	been		
raising					20	raising		
the					21	the		
profile	OBJ_2	def-np.the	OLD		22	profile		
of					23	of		
different					24	different		
brands	other_3	indef-np.bare			25	brands		
in					26	in		
its	other_3	pron.ppos	OLD		27	its	set_9	
sports					28	sports		
sponsorship	other_2	def-np.poss	OLD		29	sponsorship		
.				30	.	
		
--	
# text = "The time is right for us to move to the bank of brands, because underneath (we've been asking) how do we focus on making this a better bank for customers?"	1	''		
&quot;								
The					2	The		
time	SBJ	def-np.the	OLD		3	time		
is					4	is		
right					5	right		
for					6	for		
us	other	pron.pper	OLD		7	us		
to					8	to		
move					9	move		
to					10	to		
the					11	the		
bank	other_2	def-np.the	OLD		12	bank		
of					13	of		
brands	other_3	indef-np.bare			14	brands		
,					15	,		
because					16	because		
underneath					17	underneath		
(					18	(		
we	SBJ_2	pron.pper	OLD		19	we		
've					20	've		
been					21	been		
asking					22	asking		
)					23	)		
how					24	how		
do					25	do		
we	SBJ_3	pron.pper	OLD		26	we		
focus					27	focus		
on					28	on		
making					29	making		
this	OBJ_4	pron.pds	OLD		30	this		
a					31	a		
better					32	better		
bank	OBJ_4	indef-np.a			33	bank		
for					34	for		
customers	other_5	indef-np.bare			35	customers		
?					36			
&quot;				37	''	
		
# text = said the chief executive.	
said					1	said		
the								
chief								
executive	OBJ							
.							
	
# text = It would have been very cynical three years ago if we'd said we're going to be a great bank for customers and put those brands out there.				
It	SBJ	pron.pper	OLD		1	It		
would					2	would		
have					3	have		
been					4	been		
very					5	very		
cynical					6	cynical		
three					7	three		
years	other_2	indef-np.quant			8	years		
ago					9	ago		
if					10	if		
we	SBJ_2	pron.pper	OLD		11	we		
'd					12	'd		
said					13	said		
we	SBJ_3	pron.pper	OLD		14	we		
're					15	're		
going					16	going		
to					17	to		
be					18	be		
a					19	a		
great					20	great		
bank	other_3	indef-np.a			21	bank		
for					22	for		
customers	other_4	indef-np.bare			23	customers		
and					24	and		
put					25	put		
those					26	those		
brands	OBJ_5	def-np.dem	OLD		27	brands		
out					28	out		
there					29	there		
.				30	.	
		
# text = But with the work we've been doing, focussing on the customers needs, not our own, I think you're seeing a lot of change.	
But					1	But		
with					2	with		
the					3	the		
work	other	def-np.the	OLD		4	work		
we	SBJ_3	pron.pper	OLD		5	we		
've					6	've		
been					7	been		
doing					8	doing		
,					9	,		
focussing					10	focussing		
on					11	on		
the					12	the		
customers					13	customers		
needs	other_3	def-np.the	OLD		14	needs		
,					15	,		
not					16	not		
our	other_3	pron.ppos	OLD		17	our		
own					18	own		
,					19	,		
I	SBJ	pron.pper	OLD		20	I		
think					21	think		
you	SBJ_2	pron.pper	OLD		22	you		
're					23	're		
seeing					24	seeing		
a					25	a		
lot	OBJ_2	indef-np.a			26	lot		
of					27	of		
change	other_3	indef-np.bare			28	change		
.				29	.	
		
# text = We can bring those brands back up again, so I think the time is right.	
We	SBJ	pron.pper	OLD		1	We		
can					2	can		
bring					3	bring		
those					4	those		
brands	OBJ	def-np.dem	OLD		5	brands		
back					6	back		
up					7	up		
again					8	again		
,					9	,		
so					10	so		
I	SBJ_2	pron.pper	OLD		11	I		
think					12	think		
the					13	the		
time	SBJ_3	def-np.the	OLD		14	time		
is					15	is		
right					16	right		
.				17	.	
		


