# text = The book of the genealogy of Jesus Christ, the son of David, the son of Abraham.
The				
book	other	def-np.the	?OLD	
of				
the				
genealogy	other	def-np.poss	?OLD	
of				
Jesus	other_2	ne	?OLD	
Christ				
,				
the				
son	other	def-np.poss	?OLD	
of				
David	other_2	ne	?OLD	
,				
the				
son	other	def-np.poss	?OLD	
of				
Abraham	other_2	ne	?OLD	
.			

# text = Abraham became the father of Isaac.
Abraham	SBJ	ne	?OLD	
became				
the				
father	other	def-np.poss	?OLD	
of				
Isaac	other_2	ne	?OLD	
.			

# text = Isaac became the father of Jacob.
Isaac	SBJ	ne	?OLD	
became				
the				
father	other	def-np.poss	?OLD	
of				
Jacob	other_2	ne	?OLD	
.			

# text = Jacob became the father of Judah and his brothers.
Jacob	SBJ	ne	?OLD	
became				
the				
father	other	def-np.poss	?OLD	
of				
Judah	other_2	ne	?OLD	
and				
his	other_3	pron.ppos	?OLD	
brothers	other_2	def-np.poss	?OLD	
.			

# text = Judah became the father of Perez and Zerah by Tamar.
Judah	SBJ	ne	?OLD	
became				
the				
father	OBJ	def-np.poss	?OLD	
of				
Perez	other_2	ne	?OLD	
and				
Zerah	other_3	ne	?OLD	
by				
Tamar	other_2	ne	?OLD	
.			

# text = Perez became the father of Hezron.
Perez	SBJ	ne	?OLD	
became				
the				
father	OBJ	def-np.poss	?OLD	
of				
Hezron	other_2	ne	?OLD	
.			

# text = Hezron became the father of Ram.
Hezron	SBJ	ne	?OLD	
became				
the				
father	other	def-np.poss	?OLD	
of				
Ram	other_2	ne	?OLD	
.			

# text = Ram became the father of Amminadab.
Ram	SBJ	ne	?OLD	
became				
the				
father	other	def-np.poss	?OLD	
of				
Amminadab	other_2	ne	?OLD	
.			

# text = Amminadab became the father of Nahshon.
Amminadab	SBJ	ne	?OLD	
became				
the				
father	other	def-np.poss	?OLD	
of				
Nahshon	other_2	ne	?OLD	
.			

# text = Nahshon became the father of Salmon.
Nahshon	SBJ	ne	?OLD	
became				
the				
father	other	def-np.poss	?OLD	
of				
Salmon	other_2	ne	?OLD	
.			

# text = Salmon became the father of Boaz by Rahab.
Salmon	SBJ	ne	?OLD	
became				
the				
father	OBJ	def-np.poss	?OLD	
of				
Boaz	other_2	ne	?OLD	
by				
Rahab	other_2	ne	?OLD	
.			

# text = Boaz became the father of Obed by Ruth.
Boaz	SBJ	ne	?OLD	
became				
the				
father	OBJ	def-np.poss	?OLD	
of				
Obed	other_2	ne	?OLD	
by				
Ruth	other_2	ne	?OLD	
.			

# text = Obed became the father of Jesse.
Obed	SBJ	ne	?OLD	
became				
the				
father	other	def-np.poss	?OLD	
of				
Jesse	other_2	ne	?OLD	
.			

# text = Jesse became the father of King David.
Jesse	SBJ	pron.pds	?OLD	
became				
the				
